Ukazatel,Území,Typ údaje,Odvětví,Roky,value
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2004,85.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2005,88.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2006,90.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2007,94.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2008,98.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2009,95.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2010,97.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2011,101.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2012,103.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2013,104.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2014,103.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2016,96.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2017,98.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2018,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2019,102.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2020,102.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2021,111.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2022,139.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2023,145.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Průmysl celkem bez C10, C11, C12",2024,146.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2000,80.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2001,82.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2002,82.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2003,81.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2004,86.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2005,89.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2006,90.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2007,94.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2008,98.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2009,95.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2010,96.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2011,101.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2012,103.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2013,104.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2014,103.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2016,96.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2017,98.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2018,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2019,103.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2020,103.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2021,110.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2022,137.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2023,144.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Těžba ner. surovin + zpracovatelský průmysl + elektřina,2024,145.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2000,82.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2001,85.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2002,83.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2003,82.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2004,89.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2005,91.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2006,91.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2007,96.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2008,98.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2009,91.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2010,93.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2011,99.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2012,101.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2013,101.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2014,102.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2016,97.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2017,99.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2018,101.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2019,102.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2020,101.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2021,114.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2022,140.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2023,139.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty,2024,136.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2000,63.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2001,63.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2002,63.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2003,63.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2004,68.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2005,75.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2006,80.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2007,86.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2008,96.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2009,94.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2010,100.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2011,109.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2012,113.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2013,115.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2014,108.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2016,92.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2017,95.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2018,100.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2019,106.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2020,104.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2021,114.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2022,171.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2023,188.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Energie,2024,192.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2000,90.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2001,92.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2002,93.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2003,93.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2004,94.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2005,95.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2006,96.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2007,97.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2008,97.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2009,98.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2010,96.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2011,96.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2012,96.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2013,97.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2014,99.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2016,99.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2017,98.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2018,98.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2019,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2020,103.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2021,104.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2022,111.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2023,117.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Výrobky investiční povahy,2024,121.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2000,85.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2001,87.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2002,86.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2003,86.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2004,91.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2005,92.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2006,93.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2007,96.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2008,98.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2009,94.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2010,94.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2011,98.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2012,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2013,99.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2014,101.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2016,98.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2017,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2018,100.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2019,101.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2020,101.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2021,110.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2022,127.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2023,129.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Meziprodukty + výrobky investiční povahy,2024,129.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2000,83.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2001,87.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2002,87.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2003,87.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2004,90.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2005,90.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2006,90.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2007,92.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2008,95.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2009,94.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2010,92.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2011,96.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2012,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2013,101.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2014,102.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2016,98.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2017,100.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2018,100.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2019,104.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2020,106.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2021,107.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2022,125.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2023,137.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Spotřební zboží (dlouhodobé + krátkodobé),2024,137.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2000,91.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2001,94.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2002,95.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2003,95.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2004,95.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2005,96.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2006,96.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2007,97.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2008,98.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2009,99.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2010,97.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2011,98.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2012,99.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2013,99.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2014,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2016,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2017,99.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2018,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2019,102.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2020,103.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2021,107.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2022,123.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2023,133.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Spotřební zboží bez C10, C11, C12",2024,134.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2000,84.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2001,87.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2002,88.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2003,88.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2004,89.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2005,91.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2006,92.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2007,94.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2008,95.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2009,97.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2010,97.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2011,97.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2012,97.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2013,98.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2014,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2016,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2017,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2018,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2019,102.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),Zboží dlouhodobé spotřeby,2020,104.7
