Území,Ukazatel,Očištění,Typ indexu,CZ-NACE,Roky,value
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2022,97.687082275
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2021,103.9922830498
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2020,93.420301676
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2019,99.6285837617
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2018,101.4454102107
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2017,104.6954210175
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2016,100.9276759392
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2015,97.2646020928
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2014,97.0001855715
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2013,98.4871140941
Česko,Index průmyslové produkce,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",Meziroční index,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2012,99.4563998613
