Území;Ukazatel;Očištění;Typ indexu;CZ-NACE;Kumulace měsíců;value
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden 2023;97.7520392624
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – prosinec 2022;102.0693065127
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – listopad 2022;101.8795703772
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – říjen 2022;102.0432340929
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – září 2022;101.9590989811
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – srpen 2022;101.2089352926
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červenec 2022;100.5585272704
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červen 2022;100.5529455633
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – květen 2022;100.0341326277
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – duben 2022;99.5274940366
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – březen 2022;100.522059263
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – únor 2022;100.9143045667
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden 2022;101.5179857812
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – prosinec 2021;106.4873174093
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – listopad 2021;107.2222812671
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – říjen 2021;107.931766474
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – září 2021;109.5601129655
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – srpen 2021;111.4033297755
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červenec 2021;113.1585342835
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červen 2021;114.2549447976
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – květen 2021;114.7512318979
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – duben 2021;112.7659313267
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – březen 2021;104.1158643917
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – únor 2021;99.4443213592
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden 2021;100.9158695917
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – prosinec 2020;92.9933610879
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – listopad 2020;92.2840751948
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – říjen 2020;91.2097359095
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – září 2020;90.0486005607
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – srpen 2020;88.9409966039
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červenec 2020;87.9914089189
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červen 2020;86.8365224637
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – květen 2020;86.2539809021
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – duben 2020;88.6891302014
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – březen 2020;95.7478857429
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – únor 2020;99.8608402618
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden 2020;99.3373161844
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – prosinec 2019;99.4763171234
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – listopad 2019;99.6828526237
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – říjen 2019;99.8932215508
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – září 2019;99.9072422242
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – srpen 2019;100.1185753095
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červenec 2019;100.3681746041
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červen 2019;100.5976387067
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – květen 2019;101.4756877673
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – duben 2019;101.189063912
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – březen 2019;100.4723006001
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – únor 2019;100.3765280573
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden 2019;99.3923379532
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – prosinec 2018;103.0007346935
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – listopad 2018;103.1937188996
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – říjen 2018;103.4242003733
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – září 2018;103.4955063295
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – srpen 2018;103.6211477766
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červenec 2018;103.8245189451
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červen 2018;103.3679470505
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – květen 2018;102.7187789925
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – duben 2018;103.1494192624
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – březen 2018;104.346215232
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – únor 2018;104.2206938955
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden 2018;105.6034944747
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – prosinec 2017;106.5831707771
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – listopad 2017;106.3563902627
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – říjen 2017;106.191920647
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – září 2017;106.3456487416
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – srpen 2017;106.1037078678
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červenec 2017;106.0758401138
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červen 2017;106.2862373371
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – květen 2017;106.7248663526
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – duben 2017;105.3237494685
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – březen 2017;104.4694819295
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – únor 2017;104.4962795668
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden 2017;105.1409792638
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – prosinec 2016;102.5326280773
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – listopad 2016;102.4456809379
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – říjen 2016;102.2271476135
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – září 2016;102.2519120427
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – srpen 2016;102.2152234111
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červenec 2016;101.7123219096
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červen 2016;102.7113851837
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – květen 2016;102.5077010236
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – duben 2016;103.2671398893
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – březen 2016;103.7935036282
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – únor 2016;104.302800142
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden 2016;103.9769392886
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – prosinec 2015;104.5169838036
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – listopad 2015;105.022982478
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – říjen 2015;105.3370209639
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – září 2015;105.2671309064
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – srpen 2015;105.5401841273
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červenec 2015;105.3832040807
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červen 2015;105.0797132734
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – květen 2015;105.0152806547
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – duben 2015;104.8794596044
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – březen 2015;104.8496605073
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – únor 2015;105.2911986649
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden 2015;105.4860252579
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – prosinec 2014;105.100604412
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – listopad 2014;105.1195620703
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – říjen 2014;105.1147608897
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – září 2014;105.3784681595
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – srpen 2014;105.3000444785
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červenec 2014;106.4350402075
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červen 2014;106.6137215661
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – květen 2014;106.8037613956
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – duben 2014;107.134972622
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – březen 2014;107.1872391077
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – únor 2014;106.2393006824
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden 2014;105.8735166187
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – prosinec 2013;100.1548737606
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – listopad 2013;99.6361813923
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – říjen 2013;98.9057231671
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – září 2013;98.1286986259
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – srpen 2013;97.6660829052
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červenec 2013;96.7742919562
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červen 2013;96.6848034674
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – květen 2013;96.4164846595
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – duben 2013;96.0462236216
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – březen 2013;95.6659393139
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – únor 2013;95.3456145619
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden 2013;95.3934278351
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – prosinec 2012;99.0958803012
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – listopad 2012;99.4309822624
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – říjen 2012;100.1756751946
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – září 2012;100.6588573692
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – srpen 2012;100.889719866
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červenec 2012;101.2248153892
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červen 2012;101.0775383389
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – květen 2012;101.3245699963
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – duben 2012;101.7387584765
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – březen 2012;101.7768707274
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – únor 2012;101.7390082395
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden 2012;100.4181745202
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – prosinec 2011;105.641125898
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – listopad 2011;105.7645454144
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – říjen 2011;105.9481320177
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – září 2011;106.5930981526
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – srpen 2011;107.4960141821
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červenec 2011;108.2181270658
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červen 2011;108.9198529263
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – květen 2011;109.3615482899
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – duben 2011;109.0805227808
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – březen 2011;110.1734412239
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – únor 2011;111.8239686452
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden 2011;112.1847740792
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – prosinec 2010;108.4775967489
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – listopad 2010;108.5734051434
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – říjen 2010;108.275594991
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – září 2010;108.0167185641
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – srpen 2010;107.5168695253
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červenec 2010;107.1702344712
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;leden – červen 2010;106.5803512283
