Ukazatel,"ČR, regiony",Pohlaví,Věk (roky),Roky,value
Naděje dožití (ex),Česko,muži,12,2005,61.3227040456
Naděje dožití (ex),Česko,muži,12,2006,61.8756308526
Naděje dožití (ex),Česko,muži,12,2007,62.0792680097
Naděje dožití (ex),Česko,muži,12,2008,62.3786050447
Naděje dožití (ex),Česko,muži,12,2009,62.507356262
Naděje dožití (ex),Česko,muži,12,2010,62.7215046458
Naděje dožití (ex),Česko,muži,12,2011,63.0325088975
Naděje dožití (ex),Česko,muži,12,2012,63.2784098895
Naděje dožití (ex),Česko,muži,12,2013,63.4696080311
Naděje dožití (ex),Česko,muži,12,2014,64.0025499651
Naděje dožití (ex),Česko,muži,12,2015,63.9215286743
Naděje dožití (ex),Česko,muži,12,2016,64.3734775531
Naděje dožití (ex),Česko,muži,12,2017,64.3434086629
Naděje dožití (ex),Česko,muži,12,2018,64.3779074058
Naděje dožití (ex),Česko,muži,12,2019,64.6414629571
Naděje dožití (ex),Česko,muži,12,2020,63.5858441944
Naděje dožití (ex),Česko,muži,12,2021,62.368805034
Naděje dožití (ex),Česko,muži,12,2022,64.395720001
Naděje dožití (ex),Česko,muži,12,2023,65.14163364
Naděje dožití (ex),Česko,muži,12,2024,65.4154580348
Naděje dožití (ex),Česko,muži,13,2001,59.5192372185
Naděje dožití (ex),Česko,muži,13,2002,59.5893685355
Naděje dožití (ex),Česko,muži,13,2003,59.5310354426
Naděje dožití (ex),Česko,muži,13,2004,60.0129624442
Naděje dožití (ex),Česko,muži,13,2005,60.3334781817
Naděje dožití (ex),Česko,muži,13,2006,60.8847415127
Naděje dožití (ex),Česko,muži,13,2007,61.0882500698
Naděje dožití (ex),Česko,muži,13,2008,61.3900223964
Naděje dožití (ex),Česko,muži,13,2009,61.5185337461
Naděje dožití (ex),Česko,muži,13,2010,61.7300307109
Naděje dožití (ex),Česko,muži,13,2011,62.0388022509
Naděje dožití (ex),Česko,muži,13,2012,62.2883223075
Naděje dožití (ex),Česko,muži,13,2013,62.4767209107
Naděje dožití (ex),Česko,muži,13,2014,63.0079509572
Naděje dožití (ex),Česko,muži,13,2015,62.9271689894
Naděje dožití (ex),Česko,muži,13,2016,63.379335505
Naděje dožití (ex),Česko,muži,13,2017,63.3492997107
Naděje dožití (ex),Česko,muži,13,2018,63.3828645267
Naděje dožití (ex),Česko,muži,13,2019,63.6506285234
Naděje dožití (ex),Česko,muži,13,2020,62.5900497072
Naděje dožití (ex),Česko,muži,13,2021,61.3764833929
Naděje dožití (ex),Česko,muži,13,2022,63.4024244737
Naděje dožití (ex),Česko,muži,13,2023,64.14810334
Naděje dožití (ex),Česko,muži,13,2024,64.4228581879
Naděje dožití (ex),Česko,muži,14,2001,58.5318341599
Naděje dožití (ex),Česko,muži,14,2002,58.6015868883
Naděje dožití (ex),Česko,muži,14,2003,58.5452842636
Naděje dožití (ex),Česko,muži,14,2004,59.0228929746
Naděje dožití (ex),Česko,muži,14,2005,59.345717754
Naděje dožití (ex),Česko,muži,14,2006,59.8953346132
Naděje dožití (ex),Česko,muži,14,2007,60.0979760851
Naděje dožití (ex),Česko,muži,14,2008,60.4014041068
Naděje dožití (ex),Česko,muži,14,2009,60.5316650502
Naděje dožití (ex),Česko,muži,14,2010,60.739132901
Naděje dožití (ex),Česko,muži,14,2011,61.0461062383
Naděje dožití (ex),Česko,muži,14,2012,61.298943121
Naděje dožití (ex),Česko,muži,14,2013,61.4835265137
Naděje dožití (ex),Česko,muži,14,2014,62.0152546956
Naděje dožití (ex),Česko,muži,14,2015,61.9331175201
Naděje dožití (ex),Česko,muži,14,2016,62.3860328069
Naděje dožití (ex),Česko,muži,14,2017,62.3560460282
Naděje dožití (ex),Česko,muži,14,2018,62.3888395815
Naděje dožití (ex),Česko,muži,14,2019,62.6575687399
Naděje dožití (ex),Česko,muži,14,2020,61.5955960582
Naděje dožití (ex),Česko,muži,14,2021,60.3853594675
Naděje dožití (ex),Česko,muži,14,2022,62.4105618512
Naděje dožití (ex),Česko,muži,14,2023,63.15564613
Naděje dožití (ex),Česko,muži,14,2024,63.4320257016
Naděje dožití (ex),Česko,muži,15,2001,57.547631983
Naděje dožití (ex),Česko,muži,15,2002,57.6174920793
Naděje dožití (ex),Česko,muži,15,2003,57.5624247568
Naděje dožití (ex),Česko,muži,15,2004,58.0348879176
Naděje dožití (ex),Česko,muži,15,2005,58.3602702101
Naděje dožití (ex),Česko,muži,15,2006,58.9089075552
Naděje dožití (ex),Česko,muži,15,2007,59.109594653
Naděje dožití (ex),Česko,muži,15,2008,59.4138674183
Naděje dožití (ex),Česko,muži,15,2009,59.547168243
Naděje dožití (ex),Česko,muži,15,2010,59.7498946821
Naděje dožití (ex),Česko,muži,15,2011,60.0554144329
Naděje dožití (ex),Česko,muži,15,2012,60.3109942736
Naděje dožití (ex),Česko,muži,15,2013,60.49111157
Naděje dožití (ex),Česko,muži,15,2014,61.026126574
Naděje dožití (ex),Česko,muži,15,2015,60.9401088689
Naděje dožití (ex),Česko,muži,15,2016,61.3941258888
Naděje dožití (ex),Česko,muži,15,2017,61.3642440344
Naděje dožití (ex),Česko,muži,15,2018,61.3968821144
Naděje dožití (ex),Česko,muži,15,2019,61.6636406052
Naděje dožití (ex),Česko,muži,15,2020,60.6033783989
Naděje dožití (ex),Česko,muži,15,2021,59.3959417564
Naděje dožití (ex),Česko,muži,15,2022,61.4208406289
Naděje dožití (ex),Česko,muži,15,2023,62.164728
Naděje dožití (ex),Česko,muži,15,2024,62.4436302209
Naděje dožití (ex),Česko,muži,16,2001,56.5682686838
Naděje dožití (ex),Česko,muži,16,2002,56.6385508905
Naděje dožití (ex),Česko,muži,16,2003,56.5834566514
Naděje dožití (ex),Česko,muži,16,2004,57.0513234665
Naděje dožití (ex),Česko,muži,16,2005,57.3784064023
Naděje dožití (ex),Česko,muži,16,2006,57.9270687508
Naděje dožití (ex),Česko,muži,16,2007,58.1250617308
Naděje dožití (ex),Česko,muži,16,2008,58.4298465642
Naděje dožití (ex),Česko,muži,16,2009,58.5654167586
Naděje dožití (ex),Česko,muži,16,2010,58.764316327
Naděje dožití (ex),Česko,muži,16,2011,59.0684172495
Naděje dožití (ex),Česko,muži,16,2012,59.3260490314
Naděje dožití (ex),Česko,muži,16,2013,59.5019431945
Naděje dožití (ex),Česko,muži,16,2014,60.0418586465
Naděje dožití (ex),Česko,muži,16,2015,59.9495968188
Naděje dožití (ex),Česko,muži,16,2016,60.4047942672
Naděje dožití (ex),Česko,muži,16,2017,60.3750510559
Naděje dožití (ex),Česko,muži,16,2018,60.4087384568
Naděje dožití (ex),Česko,muži,16,2019,60.6717458337
Naděje dožití (ex),Česko,muži,16,2020,59.6136157356
Naděje dožití (ex),Česko,muži,16,2021,58.408843717
Naděje dožití (ex),Česko,muži,16,2022,60.4341632965
Naděje dožití (ex),Česko,muži,16,2023,61.17605292
Naděje dožití (ex),Česko,muži,16,2024,61.4583616433
Naděje dožití (ex),Česko,muži,17,2001,55.5955147849
Naděje dožití (ex),Česko,muži,17,2002,55.6661319986
Naděje dožití (ex),Česko,muži,17,2003,55.6093541155
Naděje dožití (ex),Česko,muži,17,2004,56.0753027618
Naděje dožití (ex),Česko,muži,17,2005,56.4015678043
Naděje dožití (ex),Česko,muži,17,2006,56.9514665565
Naděje dožití (ex),Česko,muži,17,2007,57.1468956155
Naděje dožití (ex),Česko,muži,17,2008,57.4523722877
Naděje dožití (ex),Česko,muži,17,2009,57.5868075625
Naděje dožití (ex),Česko,muži,17,2010,57.784782315
Naděje dožití (ex),Česko,muži,17,2011,58.0873425471
Naděje dožití (ex),Česko,muži,17,2012,58.3459237357
Naděje dožití (ex),Česko,muži,17,2013,58.5197593904
Naděje dožití (ex),Česko,muži,17,2014,59.0635351539
Naděje dožití (ex),Česko,muži,17,2015,58.9636394032
Naděje dožití (ex),Česko,muži,17,2016,59.419616511
Naděje dožití (ex),Česko,muži,17,2017,59.3899840818
Naděje dožití (ex),Česko,muži,17,2018,59.426688147
Naděje dožití (ex),Česko,muži,17,2019,59.6860305508
Naděje dožití (ex),Česko,muži,17,2020,58.6265064932
Naděje dožití (ex),Česko,muži,17,2021,57.4246887217
Naděje dožití (ex),Česko,muži,17,2022,59.4515084481
Naděje dožití (ex),Česko,muži,17,2023,60.19044664
Naděje dožití (ex),Česko,muži,17,2024,60.4768261124
Naděje dožití (ex),Česko,muži,18,2001,54.6305861221
Naděje dožití (ex),Česko,muži,18,2002,54.7009212349
Naděje dožití (ex),Česko,muži,18,2003,54.6407986429
Naděje dožití (ex),Česko,muži,18,2004,55.1093861295
Naděje dožití (ex),Česko,muži,18,2005,55.430951124
Naděje dožití (ex),Česko,muži,18,2006,55.9832644732
Naděje dožití (ex),Česko,muži,18,2007,56.1773528592
Naděje dožití (ex),Česko,muži,18,2008,56.4837424703
Naděje dožití (ex),Česko,muži,18,2009,56.6118082764
Naděje dožití (ex),Česko,muži,18,2010,56.8126191698
Naděje dožití (ex),Česko,muži,18,2011,57.1141602763
Naděje dožití (ex),Česko,muži,18,2012,57.3718064148
Naděje dožití (ex),Česko,muži,18,2013,57.5480392451
Naděje dožití (ex),Česko,muži,18,2014,58.0924162526
Naděje dožití (ex),Česko,muži,18,2015,57.9843670992
Naděje dožití (ex),Česko,muži,18,2016,58.4401101755
Naděje dožití (ex),Česko,muži,18,2017,58.4104753072
Naděje dožití (ex),Česko,muži,18,2018,58.4524475183
Naděje dožití (ex),Česko,muži,18,2019,58.7108459269
