Ukazatel,Území,Typ indexu,Klasifikace produkce,Roky,value
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní kovy, vč. subdodavatelských prací",2016,93.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní kovy, vč. subdodavatelských prací",2017,102.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní kovy, vč. subdodavatelských prací",2018,107.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní kovy, vč. subdodavatelských prací",2019,106.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní kovy, vč. subdodavatelských prací",2020,101.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní kovy, vč. subdodavatelských prací",2021,128.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní kovy, vč. subdodavatelských prací",2022,165.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní kovy, vč. subdodavatelských prací",2023,149.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Základní kovy, vč. subdodavatelských prací",2024,141.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2016,99.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2017,101.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2018,103.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2019,105.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2020,106.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2021,117.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2022,137.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2023,139.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Kovodělné výrobky, kromě strojů a zařízení, vč. subdodavatelských prací",2024,137.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2016,99.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2017,99.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2018,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2019,101.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2020,102.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2021,103.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2022,110.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2023,114.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Počítače, elektronické a optické přístroje a zařízení, vč. souvisejících služeb a prací",2024,119.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektrická zařízení, vč. subdodavatelských prací",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektrická zařízení, vč. subdodavatelských prací",2016,98.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektrická zařízení, vč. subdodavatelských prací",2017,99.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektrická zařízení, vč. subdodavatelských prací",2018,99.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektrická zařízení, vč. subdodavatelských prací",2019,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektrická zařízení, vč. subdodavatelských prací",2020,101.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektrická zařízení, vč. subdodavatelských prací",2021,106.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektrická zařízení, vč. subdodavatelských prací",2022,112.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektrická zařízení, vč. subdodavatelských prací",2023,115.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektrická zařízení, vč. subdodavatelských prací",2024,114.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Stroje a zařízení j. n., vč. souvisejících služeb a prací",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Stroje a zařízení j. n., vč. souvisejících služeb a prací",2016,100.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Stroje a zařízení j. n., vč. souvisejících služeb a prací",2017,100.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Stroje a zařízení j. n., vč. souvisejících služeb a prací",2018,101.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Stroje a zařízení j. n., vč. souvisejících služeb a prací",2019,103.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Stroje a zařízení j. n., vč. souvisejících služeb a prací",2020,106.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Stroje a zařízení j. n., vč. souvisejících služeb a prací",2021,109.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Stroje a zařízení j. n., vč. souvisejících služeb a prací",2022,122.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Stroje a zařízení j. n., vč. souvisejících služeb a prací",2023,132.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Stroje a zařízení j. n., vč. souvisejících služeb a prací",2024,136.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2016,97.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2017,95.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2018,93.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2019,93.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2020,96.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2021,95.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2022,96.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2023,100.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Motorová vozidla (kromě motocyklů), přívěsy a návěsy, vč. subdodavatelských prací",2024,103.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2016,99.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2017,101.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2018,104.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2019,104.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2020,105.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2021,106.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2022,116.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2023,124.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní dopravní prostředky a zařízení, vč. souvisejících služeb a prací",2024,127.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nábytek, vč. souvisejících služeb a prací",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nábytek, vč. souvisejících služeb a prací",2016,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nábytek, vč. souvisejících služeb a prací",2017,98.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nábytek, vč. souvisejících služeb a prací",2018,99.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nábytek, vč. souvisejících služeb a prací",2019,101.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nábytek, vč. souvisejících služeb a prací",2020,103.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nábytek, vč. souvisejících služeb a prací",2021,109.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nábytek, vč. souvisejících služeb a prací",2022,123.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nábytek, vč. souvisejících služeb a prací",2023,129.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Nábytek, vč. souvisejících služeb a prací",2024,132.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2016,101.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2017,101.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2018,102.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2019,104.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2020,106.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2021,109.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2022,117.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2023,119.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Ostatní výrobky zpracovatelského průmyslu, vč. subdodavatelských prací",2024,122.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Opravy, údržba a instalace strojů a zařízení",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Opravy, údržba a instalace strojů a zařízení",2016,100.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Opravy, údržba a instalace strojů a zařízení",2017,103.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Opravy, údržba a instalace strojů a zařízení",2018,106.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Opravy, údržba a instalace strojů a zařízení",2019,111.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Opravy, údržba a instalace strojů a zařízení",2020,116.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Opravy, údržba a instalace strojů a zařízení",2021,120.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Opravy, údržba a instalace strojů a zařízení",2022,130.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Opravy, údržba a instalace strojů a zařízení",2023,143.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Opravy, údržba a instalace strojů a zařízení",2024,150.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektřina, plyn, pára a klimatizovaný vzduch",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektřina, plyn, pára a klimatizovaný vzduch",2016,95.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektřina, plyn, pára a klimatizovaný vzduch",2017,94.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektřina, plyn, pára a klimatizovaný vzduch",2018,96.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektřina, plyn, pára a klimatizovaný vzduch",2019,104.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektřina, plyn, pára a klimatizovaný vzduch",2020,112.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektřina, plyn, pára a klimatizovaný vzduch",2021,114.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektřina, plyn, pára a klimatizovaný vzduch",2022,172.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektřina, plyn, pára a klimatizovaný vzduch",2023,199.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Elektřina, plyn, pára a klimatizovaný vzduch",2024,207.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Přírodní voda; úprava a rozvod vody, obchod s vodou, prostřednictvím sítí",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Přírodní voda; úprava a rozvod vody, obchod s vodou, prostřednictvím sítí",2016,101.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Přírodní voda; úprava a rozvod vody, obchod s vodou, prostřednictvím sítí",2017,102.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Přírodní voda; úprava a rozvod vody, obchod s vodou, prostřednictvím sítí",2018,104.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Přírodní voda; úprava a rozvod vody, obchod s vodou, prostřednictvím sítí",2019,107.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Přírodní voda; úprava a rozvod vody, obchod s vodou, prostřednictvím sítí",2020,114.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Přírodní voda; úprava a rozvod vody, obchod s vodou, prostřednictvím sítí",2021,121.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Přírodní voda; úprava a rozvod vody, obchod s vodou, prostřednictvím sítí",2022,127.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Přírodní voda; úprava a rozvod vody, obchod s vodou, prostřednictvím sítí",2023,148.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"Přírodní voda; úprava a rozvod vody, obchod s vodou, prostřednictvím sítí",2024,161.9
