Ukazatel,Území,Typ indexu,Klasifikace produkce,Roky,value
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),VÝROBKY A SLUŽBY ZPRACOVATELSKÉHO PRŮMYSLU,2020,101.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),VÝROBKY A SLUŽBY ZPRACOVATELSKÉHO PRŮMYSLU,2021,109.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),VÝROBKY A SLUŽBY ZPRACOVATELSKÉHO PRŮMYSLU,2022,130.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),VÝROBKY A SLUŽBY ZPRACOVATELSKÉHO PRŮMYSLU,2023,132.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),VÝROBKY A SLUŽBY ZPRACOVATELSKÉHO PRŮMYSLU,2024,131.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",2016,95.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",2017,94.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",2018,96.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",2019,104.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",2020,112.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",2021,114.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",2022,172.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",2023,199.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",2024,207.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI",2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),"ZÁSOBOVÁNÍ VODOU; SLUŽBY SOUVISEJÍCÍ S ODPADNÍMI VODAMI, ODPADY A SANACEMI",2016,101.3
