Území;Ukazatel;Typ indexu;Typ tržeb;Vybraná průmyslová činnost;Měsíce;value
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);červenec 2020;97.1937003846
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);červen 2020;89.399695686
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);květen 2020;76.7865698381
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);duben 2020;64.5746216017
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);březen 2020;88.4032752939
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);únor 2020;101.3458511372
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);leden 2020;101.3137072927
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);prosinec 2019;96.6838950933
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);listopad 2019;96.5758300681
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);říjen 2019;99.9388857368
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);září 2019;99.26308622
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);srpen 2019;98.1044663121
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);červenec 2019;100.8294915569
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);červen 2019;98.5168471856
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);květen 2019;106.0041165965
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);duben 2019;107.2841109841
