Území;Kategorie;Kumulace čtvrtletí;Ukazatel;Rezidence;value
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2020;Počet hostů;Rezidenti;7492723.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2020;Počet hostů;Nerezidenti;2680767.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2020;Počet přenocování;Celkem;29257087.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2020;Počet přenocování;Rezidenti;22146157.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2020;Počet přenocování;Nerezidenti;7110930.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2020;Průměrný počet přenocování ;Celkem;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2020;Průměrný počet přenocování ;Rezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2020;Průměrný počet přenocování ;Nerezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2020;Počet hostů;Celkem;4209133.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2020;Počet hostů;Rezidenti;2572170.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2020;Počet hostů;Nerezidenti;1636963.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2020;Počet přenocování;Celkem;11792638.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2020;Počet přenocování;Rezidenti;7290932.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2020;Počet přenocování;Nerezidenti;4501706.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2020;Průměrný počet přenocování ;Celkem;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2020;Průměrný počet přenocování ;Rezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2020;Průměrný počet přenocování ;Nerezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1 2020;Počet hostů;Celkem;3172659.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2020;Počet hostů;Rezidenti;1664201.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2020;Počet hostů;Nerezidenti;1508458.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2020;Počet přenocování;Celkem;9080346.0
