Území;Ukazatel;Čtvrtletí;value
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 1995;380696
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 1995;395766
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 1996;375745
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 1996;418111
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 1996;431354
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 1996;446160
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 1997;406459
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 1997;450594
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 1997;465675
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 1997;484411
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 1998;444927
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 1998;502660
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 1998;515244
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 1998;516933
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 1999;464359
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 1999;519377
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 1999;528259
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 1999;548372
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2000;497306
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2000;549570
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2000;562478
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2000;577853
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2001;536319
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2001;590885
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2001;607393
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2001;631682
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2002;569767
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2002;627300
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2002;633256
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2002;643863
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2003;598369
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2003;653758
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2003;662910
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2003;675854
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2004;638485
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2004;691521
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2004;708690
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2004;757817
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2005;682940
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2005;744582
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2005;750058
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2005;796865
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2006;731400
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2006;796548
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);3. čtvrtletí 2006;817617
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);4. čtvrtletí 2006;863012
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);1. čtvrtletí 2007;809817
Česko;Hrubá přidaná hodnota (mil. Kč, běžné ceny);2. čtvrtletí 2007;868671
