Roky,Území,Ukazatel,Ochrana životního prostředí,value
2015,Liberecký kraj,Neinvestiční náklady na ochranu ŽP,ochrana ovzduší a klimatu,28156.0
2015,Liberecký kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpadními vodami,203446.0
2015,Liberecký kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpady,1019180.0
2015,Liberecký kraj,Neinvestiční náklady na ochranu ŽP,"ochrana a sanace půdy, podzemních a povrchových vod",1298377.0
2015,Liberecký kraj,Neinvestiční náklady na ochranu ŽP,omezování hluku a vibrací (kromě ochrany pracovišť),1486.0
2015,Liberecký kraj,Neinvestiční náklady na ochranu ŽP,ochrana biodiverzity (druhová rozmanitost) a krajiny,124161.0
2015,Královéhradecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",Celkem,1110942.0
2015,Královéhradecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana ovzduší a klimatu,58811.0
2015,Královéhradecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpadními vodami,585420.0
2015,Královéhradecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpady,374736.0
2015,Královéhradecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)","ochrana a sanace půdy, podzemních a povrchových vod",
2015,Královéhradecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",omezování hluku a vibrací (kromě ochrany pracovišť),13351.0
2015,Královéhradecký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana biodiverzity (druhová rozmanitost) a krajiny,28732.0
2015,Královéhradecký kraj,Neinvestiční náklady na ochranu ŽP,Celkem,3584737.0
2015,Královéhradecký kraj,Neinvestiční náklady na ochranu ŽP,ochrana ovzduší a klimatu,37586.0
2015,Královéhradecký kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpadními vodami,516238.0
2015,Královéhradecký kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpady,2832288.0
2015,Královéhradecký kraj,Neinvestiční náklady na ochranu ŽP,"ochrana a sanace půdy, podzemních a povrchových vod",49224.0
2015,Královéhradecký kraj,Neinvestiční náklady na ochranu ŽP,omezování hluku a vibrací (kromě ochrany pracovišť),1150.0
2015,Královéhradecký kraj,Neinvestiční náklady na ochranu ŽP,ochrana biodiverzity (druhová rozmanitost) a krajiny,8694.0
2015,Pardubický kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",Celkem,4121967.0
2015,Pardubický kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana ovzduší a klimatu,2469842.0
2015,Pardubický kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpadními vodami,1343170.0
2015,Pardubický kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpady,267107.0
2015,Pardubický kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)","ochrana a sanace půdy, podzemních a povrchových vod",7706.0
2015,Pardubický kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",omezování hluku a vibrací (kromě ochrany pracovišť),2111.0
2015,Pardubický kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana biodiverzity (druhová rozmanitost) a krajiny,13777.0
2015,Pardubický kraj,Neinvestiční náklady na ochranu ŽP,Celkem,2078025.0
2015,Pardubický kraj,Neinvestiční náklady na ochranu ŽP,ochrana ovzduší a klimatu,222471.0
2015,Pardubický kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpadními vodami,776865.0
2015,Pardubický kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpady,962968.0
2015,Pardubický kraj,Neinvestiční náklady na ochranu ŽP,"ochrana a sanace půdy, podzemních a povrchových vod",71194.0
2015,Pardubický kraj,Neinvestiční náklady na ochranu ŽP,omezování hluku a vibrací (kromě ochrany pracovišť),3504.0
2015,Pardubický kraj,Neinvestiční náklady na ochranu ŽP,ochrana biodiverzity (druhová rozmanitost) a krajiny,21470.0
2015,Kraj Vysočina,"Investice na ochranu ŽP (tis. Kč, b. c.)",Celkem,2109345.0
2015,Kraj Vysočina,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana ovzduší a klimatu,619454.0
2015,Kraj Vysočina,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpadními vodami,1100989.0
2015,Kraj Vysočina,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpady,334786.0
2015,Kraj Vysočina,"Investice na ochranu ŽP (tis. Kč, b. c.)","ochrana a sanace půdy, podzemních a povrchových vod",16000.0
2015,Kraj Vysočina,"Investice na ochranu ŽP (tis. Kč, b. c.)",omezování hluku a vibrací (kromě ochrany pracovišť),
2015,Kraj Vysočina,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana biodiverzity (druhová rozmanitost) a krajiny,3956.0
2015,Kraj Vysočina,Neinvestiční náklady na ochranu ŽP,Celkem,1202250.0
2015,Kraj Vysočina,Neinvestiční náklady na ochranu ŽP,ochrana ovzduší a klimatu,88688.0
2015,Kraj Vysočina,Neinvestiční náklady na ochranu ŽP,nakládání s odpadními vodami,238244.0
2015,Kraj Vysočina,Neinvestiční náklady na ochranu ŽP,nakládání s odpady,837242.0
2015,Kraj Vysočina,Neinvestiční náklady na ochranu ŽP,"ochrana a sanace půdy, podzemních a povrchových vod",15785.0
2015,Kraj Vysočina,Neinvestiční náklady na ochranu ŽP,omezování hluku a vibrací (kromě ochrany pracovišť),653.0
2015,Kraj Vysočina,Neinvestiční náklady na ochranu ŽP,ochrana biodiverzity (druhová rozmanitost) a krajiny,5222.0
2015,Jihomoravský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",Celkem,5284672.0
2015,Jihomoravský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana ovzduší a klimatu,1084471.0
2015,Jihomoravský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpadními vodami,3662022.0
2015,Jihomoravský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpady,328689.0
2015,Jihomoravský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)","ochrana a sanace půdy, podzemních a povrchových vod",75837.0
2015,Jihomoravský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",omezování hluku a vibrací (kromě ochrany pracovišť),9876.0
2015,Jihomoravský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana biodiverzity (druhová rozmanitost) a krajiny,22149.0
2015,Jihomoravský kraj,Neinvestiční náklady na ochranu ŽP,Celkem,5214376.0
2015,Jihomoravský kraj,Neinvestiční náklady na ochranu ŽP,ochrana ovzduší a klimatu,106706.0
2015,Jihomoravský kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpadními vodami,1163765.0
2015,Jihomoravský kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpady,3547026.0
2015,Jihomoravský kraj,Neinvestiční náklady na ochranu ŽP,"ochrana a sanace půdy, podzemních a povrchových vod",41701.0
2015,Jihomoravský kraj,Neinvestiční náklady na ochranu ŽP,omezování hluku a vibrací (kromě ochrany pracovišť),2031.0
2015,Jihomoravský kraj,Neinvestiční náklady na ochranu ŽP,ochrana biodiverzity (druhová rozmanitost) a krajiny,74925.0
2015,Olomoucký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",Celkem,2312695.0
2015,Olomoucký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana ovzduší a klimatu,122245.0
2015,Olomoucký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpadními vodami,1337009.0
2015,Olomoucký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpady,751868.0
2015,Olomoucký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)","ochrana a sanace půdy, podzemních a povrchových vod",79657.0
2015,Olomoucký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",omezování hluku a vibrací (kromě ochrany pracovišť),481.0
2015,Olomoucký kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana biodiverzity (druhová rozmanitost) a krajiny,4483.0
2015,Olomoucký kraj,Neinvestiční náklady na ochranu ŽP,Celkem,2598192.0
2015,Olomoucký kraj,Neinvestiční náklady na ochranu ŽP,ochrana ovzduší a klimatu,57400.0
2015,Olomoucký kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpadními vodami,1215669.0
2015,Olomoucký kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpady,1180266.0
2015,Olomoucký kraj,Neinvestiční náklady na ochranu ŽP,"ochrana a sanace půdy, podzemních a povrchových vod",123469.0
2015,Olomoucký kraj,Neinvestiční náklady na ochranu ŽP,omezování hluku a vibrací (kromě ochrany pracovišť),620.0
2015,Olomoucký kraj,Neinvestiční náklady na ochranu ŽP,ochrana biodiverzity (druhová rozmanitost) a krajiny,3524.0
2015,Zlínský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",Celkem,1469066.0
2015,Zlínský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana ovzduší a klimatu,202373.0
2015,Zlínský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpadními vodami,836953.0
2015,Zlínský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpady,260986.0
2015,Zlínský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)","ochrana a sanace půdy, podzemních a povrchových vod",100887.0
2015,Zlínský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",omezování hluku a vibrací (kromě ochrany pracovišť),1799.0
2015,Zlínský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana biodiverzity (druhová rozmanitost) a krajiny,50724.0
2015,Zlínský kraj,Neinvestiční náklady na ochranu ŽP,Celkem,2257259.0
2015,Zlínský kraj,Neinvestiční náklady na ochranu ŽP,ochrana ovzduší a klimatu,157205.0
2015,Zlínský kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpadními vodami,558726.0
2015,Zlínský kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpady,1447256.0
2015,Zlínský kraj,Neinvestiční náklady na ochranu ŽP,"ochrana a sanace půdy, podzemních a povrchových vod",19532.0
2015,Zlínský kraj,Neinvestiční náklady na ochranu ŽP,omezování hluku a vibrací (kromě ochrany pracovišť),331.0
2015,Zlínský kraj,Neinvestiční náklady na ochranu ŽP,ochrana biodiverzity (druhová rozmanitost) a krajiny,24349.0
2015,Moravskoslezský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",Celkem,6652374.0
2015,Moravskoslezský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana ovzduší a klimatu,4613605.0
2015,Moravskoslezský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpadními vodami,1314999.0
2015,Moravskoslezský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",nakládání s odpady,301818.0
2015,Moravskoslezský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)","ochrana a sanace půdy, podzemních a povrchových vod",71349.0
2015,Moravskoslezský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",omezování hluku a vibrací (kromě ochrany pracovišť),15231.0
2015,Moravskoslezský kraj,"Investice na ochranu ŽP (tis. Kč, b. c.)",ochrana biodiverzity (druhová rozmanitost) a krajiny,21368.0
2015,Moravskoslezský kraj,Neinvestiční náklady na ochranu ŽP,Celkem,6718484.0
2015,Moravskoslezský kraj,Neinvestiční náklady na ochranu ŽP,ochrana ovzduší a klimatu,690417.0
2015,Moravskoslezský kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpadními vodami,1291768.0
2015,Moravskoslezský kraj,Neinvestiční náklady na ochranu ŽP,nakládání s odpady,4227818.0
2015,Moravskoslezský kraj,Neinvestiční náklady na ochranu ŽP,"ochrana a sanace půdy, podzemních a povrchových vod",334050.0
2015,Moravskoslezský kraj,Neinvestiční náklady na ochranu ŽP,omezování hluku a vibrací (kromě ochrany pracovišť),2420.0
2015,Moravskoslezský kraj,Neinvestiční náklady na ochranu ŽP,ochrana biodiverzity (druhová rozmanitost) a krajiny,37073.0
