Území,Kumulace čtvrtletí,Odvětví ekonomické činnosti,Ukazatel,value
Česko,Q1-Q4 2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Mzdy bez ostatních osobních nákladů - meziroční index (%),106.0524845321
Česko,Q1-Q4 2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Ostatní osobní náklady (tis. Kč),18310621.653195124
Česko,Q1-Q4 2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-1426892.302143285
Česko,Q1-Q4 2024,G - Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Ostatní osobní náklady - meziroční index (%),92.7706584255
Česko,Q1-Q4 2024,H - Doprava a skladování,Mzdy včetně ostatních osobních nákladů (tis. Kč),135433203.80077508
Česko,Q1-Q4 2024,H - Doprava a skladování,Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),7860485.3588886885
Česko,Q1-Q4 2024,H - Doprava a skladování,Mzdy včetně ostatních osobních nákladů - meziroční index (%),106.1615723604
Česko,Q1-Q4 2024,H - Doprava a skladování,Mzdy bez ostatních osobních nákladů (tis. Kč),128075360.95997125
Česko,Q1-Q4 2024,H - Doprava a skladování,Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),8310289.13297525
Česko,Q1-Q4 2024,H - Doprava a skladování,Mzdy bez ostatních osobních nákladů - meziroční index (%),106.9388253238
Česko,Q1-Q4 2024,H - Doprava a skladování,Ostatní osobní náklady (tis. Kč),7357842.840803822
Česko,Q1-Q4 2024,H - Doprava a skladování,Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-449803.7740865608
Česko,Q1-Q4 2024,H - Doprava a skladování,Ostatní osobní náklady - meziroční index (%),94.2389327249
Česko,Q1-Q4 2024,"I - Ubytování, stravování a pohostinství",Mzdy včetně ostatních osobních nákladů (tis. Kč),44598431.976999566
Česko,Q1-Q4 2024,"I - Ubytování, stravování a pohostinství",Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč),4313827.113441189
Česko,Q1-Q4 2024,"I - Ubytování, stravování a pohostinství",Mzdy včetně ostatních osobních nákladů - meziroční index (%),110.7083763836
Česko,Q1-Q4 2024,"I - Ubytování, stravování a pohostinství",Mzdy bez ostatních osobních nákladů (tis. Kč),38399381.68926606
Česko,Q1-Q4 2024,"I - Ubytování, stravování a pohostinství",Mzdy bez ostatních osobních nákladů - meziroční rozdíl (tis. Kč),4999210.231675735
Česko,Q1-Q4 2024,"I - Ubytování, stravování a pohostinství",Mzdy bez ostatních osobních nákladů - meziroční index (%),114.9676184687
Česko,Q1-Q4 2024,"I - Ubytování, stravování a pohostinství",Ostatní osobní náklady (tis. Kč),6199050.287733502
Česko,Q1-Q4 2024,"I - Ubytování, stravování a pohostinství",Ostatní osobní náklady - meziroční rozdíl (tis. Kč),-685383.118234546
Česko,Q1-Q4 2024,"I - Ubytování, stravování a pohostinství",Ostatní osobní náklady - meziroční index (%),90.0444513322
Česko,Q1-Q4 2024,J - Informační a komunikační činnosti,Mzdy včetně ostatních osobních nákladů (tis. Kč),143355779.0012648
