Území,Roky,Typ ceny,Očištění,Země,Ukazatel,value
Česko,2024,Běžné ceny,Bez očištění,Asie,Vývoz (meziroční index),124.178190057
Česko,2024,Běžné ceny,Bez očištění,Asie,Dovoz (meziroční index),105.997117864
Česko,2024,Běžné ceny,Bez očištění,Asie,Obrat zboží (meziroční index),109.3668186811
Česko,2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,"Vývoz (v mil. Kč, FOB)",14491.767017
Česko,2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,"Dovoz (v mil. Kč, CIF)",2929.569211
Česko,2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,Bilance (v mil. Kč),11562.197806
Česko,2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,Obrat zboží (v mil. Kč),17421.336228
Česko,2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,Vývoz (meziroční index),96.5583627461
Česko,2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,Dovoz (meziroční index),104.0061252995
Česko,2024,Běžné ceny,Bez očištění,Oceánie a Polární oblasti,Obrat zboží (meziroční index),97.7352652887
Česko,2024,Běžné ceny,Bez očištění,Afghánistán,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Afghánistán,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Afghánistán,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Afghánistán,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Afghánistán,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Afghánistán,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Afghánistán,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Albánie,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Albánie,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Albánie,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Albánie,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Albánie,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Albánie,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Albánie,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Alžírsko,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Alžírsko,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Alžírsko,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Alžírsko,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Alžírsko,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Alžírsko,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Alžírsko,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Americká Samoa,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Americká Samoa,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Americká Samoa,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Americká Samoa,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Americká Samoa,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Americká Samoa,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Americká Samoa,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Americké Panenské ostrovy,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Andorra,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Andorra,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Andorra,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Andorra,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Andorra,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Andorra,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Andorra,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Angola,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Angola,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Angola,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Angola,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Angola,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Angola,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Angola,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Anguilla,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Anguilla,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Anguilla,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Anguilla,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Anguilla,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Anguilla,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Anguilla,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Antarktida,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Antarktida,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Antarktida,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Antarktida,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Antarktida,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Antarktida,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Antarktida,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Antigua a Barbuda,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Antigua a Barbuda,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Antigua a Barbuda,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Antigua a Barbuda,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Antigua a Barbuda,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Antigua a Barbuda,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Antigua a Barbuda,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Argentina,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Argentina,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Argentina,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Argentina,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Argentina,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Argentina,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Argentina,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Arménie,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Arménie,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Arménie,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Arménie,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Arménie,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Arménie,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Arménie,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Aruba,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Aruba,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Aruba,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Aruba,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Aruba,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Aruba,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Aruba,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Austrálie,"Vývoz (v mil. Kč, FOB)",12765.484319
Česko,2024,Běžné ceny,Bez očištění,Austrálie,"Dovoz (v mil. Kč, CIF)",1950.323133
Česko,2024,Běžné ceny,Bez očištění,Austrálie,Bilance (v mil. Kč),10815.161186
Česko,2024,Běžné ceny,Bez očištění,Austrálie,Obrat zboží (v mil. Kč),14715.807452
Česko,2024,Běžné ceny,Bez očištění,Austrálie,Vývoz (meziroční index),108.8622028326
Česko,2024,Běžné ceny,Bez očištění,Austrálie,Dovoz (meziroční index),98.7523358223
Česko,2024,Běžné ceny,Bez očištění,Austrálie,Obrat zboží (meziroční index),107.4049171254
Česko,2024,Běžné ceny,Bez očištění,Ázerbájdžán,"Vývoz (v mil. Kč, FOB)",6163.032261
Česko,2024,Běžné ceny,Bez očištění,Ázerbájdžán,"Dovoz (v mil. Kč, CIF)",39611.823143
Česko,2024,Běžné ceny,Bez očištění,Ázerbájdžán,Bilance (v mil. Kč),-33448.790882
Česko,2024,Běžné ceny,Bez očištění,Ázerbájdžán,Obrat zboží (v mil. Kč),45774.855404
Česko,2024,Běžné ceny,Bez očištění,Ázerbájdžán,Vývoz (meziroční index),147.2142820668
Česko,2024,Běžné ceny,Bez očištění,Ázerbájdžán,Dovoz (meziroční index),133.3449330669
Česko,2024,Běžné ceny,Bez očištění,Ázerbájdžán,Obrat zboží (meziroční index),135.0580782005
Česko,2024,Běžné ceny,Bez očištění,Bahamy,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Bahamy,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Bahamy,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Bahamy,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Bahamy,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bahamy,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bahamy,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bahrajn,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Bahrajn,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Bahrajn,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Bahrajn,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Bahrajn,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bahrajn,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bahrajn,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bangladéš,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Bangladéš,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Bangladéš,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Bangladéš,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Bangladéš,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bangladéš,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bangladéš,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Barbados,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Barbados,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Barbados,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Barbados,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Barbados,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Barbados,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Barbados,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Belgie,"Vývoz (v mil. Kč, FOB)",102150.504009
Česko,2024,Běžné ceny,Bez očištění,Belgie,"Dovoz (v mil. Kč, CIF)",68864.665488
Česko,2024,Běžné ceny,Bez očištění,Belgie,Bilance (v mil. Kč),33285.838521
Česko,2024,Běžné ceny,Bez očištění,Belgie,Obrat zboží (v mil. Kč),171015.169497
Česko,2024,Běžné ceny,Bez očištění,Belgie,Vývoz (meziroční index),100.9106142164
Česko,2024,Běžné ceny,Bez očištění,Belgie,Dovoz (meziroční index),100.3832994629
Česko,2024,Běžné ceny,Bez očištění,Belgie,Obrat zboží (meziroční index),100.6976094001
Česko,2024,Běžné ceny,Bez očištění,Belize,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Belize,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Belize,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Belize,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Belize,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Belize,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Belize,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bělorusko,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Bělorusko,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Bělorusko,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Bělorusko,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Bělorusko,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bělorusko,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bělorusko,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Benin,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Benin,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Benin,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Benin,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Benin,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Benin,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Benin,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bermudy,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Bermudy,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Bermudy,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Bermudy,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Bermudy,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bermudy,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bermudy,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bhútán,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Bhútán,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Bhútán,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Bhútán,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Bhútán,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bhútán,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bhútán,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bolívarovská republika Venezuela,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Bolívarovská republika Venezuela,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Bolívarovská republika Venezuela,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Bolívarovská republika Venezuela,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Bolívarovská republika Venezuela,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bolívarovská republika Venezuela,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bolívarovská republika Venezuela,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,"Bonaire, Svatý Eustach a Saba","Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,"Bonaire, Svatý Eustach a Saba","Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,"Bonaire, Svatý Eustach a Saba",Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,"Bonaire, Svatý Eustach a Saba",Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,"Bonaire, Svatý Eustach a Saba",Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,"Bonaire, Svatý Eustach a Saba",Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,"Bonaire, Svatý Eustach a Saba",Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bosna a Hercegovina,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Bosna a Hercegovina,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Bosna a Hercegovina,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Bosna a Hercegovina,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Bosna a Hercegovina,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bosna a Hercegovina,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bosna a Hercegovina,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Botswana,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Botswana,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Botswana,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Botswana,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Botswana,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Botswana,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Botswana,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bouvetův ostrov,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Bouvetův ostrov,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Bouvetův ostrov,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Bouvetův ostrov,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Bouvetův ostrov,Vývoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bouvetův ostrov,Dovoz (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Bouvetův ostrov,Obrat zboží (meziroční index),
Česko,2024,Běžné ceny,Bez očištění,Brazílie,"Vývoz (v mil. Kč, FOB)",9945.257933
Česko,2024,Běžné ceny,Bez očištění,Brazílie,"Dovoz (v mil. Kč, CIF)",5143.964917
Česko,2024,Běžné ceny,Bez očištění,Brazílie,Bilance (v mil. Kč),4801.293016
Česko,2024,Běžné ceny,Bez očištění,Brazílie,Obrat zboží (v mil. Kč),15089.22285
Česko,2024,Běžné ceny,Bez očištění,Brazílie,Vývoz (meziroční index),117.4454123131
Česko,2024,Běžné ceny,Bez očištění,Brazílie,Dovoz (meziroční index),81.7181192801
Česko,2024,Běžné ceny,Bez očištění,Brazílie,Obrat zboží (meziroční index),102.2114638301
Česko,2024,Běžné ceny,Bez očištění,Britské indickooceánské území,"Vývoz (v mil. Kč, FOB)",
Česko,2024,Běžné ceny,Bez očištění,Britské indickooceánské území,"Dovoz (v mil. Kč, CIF)",
Česko,2024,Běžné ceny,Bez očištění,Britské indickooceánské území,Bilance (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Britské indickooceánské území,Obrat zboží (v mil. Kč),
Česko,2024,Běžné ceny,Bez očištění,Britské indickooceánské území,Vývoz (meziroční index),
