Ukazatel;Typ údaje;Roky;Území;Druh nemovitosti;value
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Karlovarský kraj;Byty;134.3
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Karlovarský kraj;Bytové domy;174.9
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Karlovarský kraj;Stavební pozemky;134.0
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Ústecký kraj;Nemovitosti celkem;131.3
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Ústecký kraj;Rodinné domy;124.1
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Ústecký kraj;Byty;131.6
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Ústecký kraj;Bytové domy;145.8
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Ústecký kraj;Stavební pozemky;137.5
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Liberecký kraj;Nemovitosti celkem;132.1
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Liberecký kraj;Rodinné domy;122.5
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Liberecký kraj;Byty;142.4
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Liberecký kraj;Bytové domy;140.2
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Liberecký kraj;Stavební pozemky;134.4
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Královéhradecký kraj;Nemovitosti celkem;133.9
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Královéhradecký kraj;Rodinné domy;128.1
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Královéhradecký kraj;Byty;140.4
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Královéhradecký kraj;Bytové domy;136.0
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Královéhradecký kraj;Stavební pozemky;134.8
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Pardubický kraj;Nemovitosti celkem;132.1
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Pardubický kraj;Rodinné domy;117.6
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Pardubický kraj;Byty;155.9
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Pardubický kraj;Bytové domy;136.6
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Pardubický kraj;Stavební pozemky;143.1
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Kraj Vysočina;Nemovitosti celkem;145.1
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Kraj Vysočina;Rodinné domy;138.9
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Kraj Vysočina;Byty;160.7
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Kraj Vysočina;Bytové domy;134.3
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Kraj Vysočina;Stavební pozemky;122.8
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Jihomoravský kraj;Nemovitosti celkem;144.8
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Jihomoravský kraj;Rodinné domy;130.5
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Jihomoravský kraj;Byty;159.7
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Jihomoravský kraj;Bytové domy;136.4
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Jihomoravský kraj;Stavební pozemky;148.0
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Olomoucký kraj;Nemovitosti celkem;141.5
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Olomoucký kraj;Rodinné domy;120.6
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Olomoucký kraj;Byty;169.0
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Olomoucký kraj;Bytové domy;123.7
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Olomoucký kraj;Stavební pozemky;146.2
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Zlínský kraj;Nemovitosti celkem;141.6
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Zlínský kraj;Rodinné domy;137.5
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Zlínský kraj;Byty;148.8
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Zlínský kraj;Bytové domy;145.9
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Zlínský kraj;Stavební pozemky;133.2
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Moravskoslezský kraj;Nemovitosti celkem;135.4
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Moravskoslezský kraj;Rodinné domy;129.9
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Moravskoslezský kraj;Byty;146.8
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Moravskoslezský kraj;Bytové domy;124.4
Index cen nemovitostí (%);Bazický index (2010 = 100);2019;Moravskoslezský kraj;Stavební pozemky;134.3
