Roky,Ukazatel,Oblasti destinačního managementu nečleněné,Kategorie ubytovacího zařízení,value
2024,Počet hromadných ubytovacích zařízení,Pojizeří a Polabí,Turistická ubytovna,3.0
2024,Počet hromadných ubytovacích zařízení,Pojizeří a Polabí,Ostatní HUZ,10.0
2024,Počet hromadných ubytovacích zařízení,Posázaví,HUZ celkem,153.0
2024,Počet hromadných ubytovacích zařízení,Posázaví,Hotel *****,1.0
2024,Počet hromadných ubytovacích zařízení,Posázaví,"Hotel, motel, botel ****",12.0
2024,Počet hromadných ubytovacích zařízení,Posázaví,"Hotel, motel, botel ***",40.0
2024,Počet hromadných ubytovacích zařízení,Posázaví,"Hotel, motel, botel **",2.0
2024,Počet hromadných ubytovacích zařízení,Posázaví,"Hotel, motel, botel *",4.0
2024,Počet hromadných ubytovacích zařízení,Posázaví,Hotel garni,2.0
2024,Počet hromadných ubytovacích zařízení,Posázaví,Penzion,59.0
2024,Počet hromadných ubytovacích zařízení,Posázaví,Kemp,14.0
2024,Počet hromadných ubytovacích zařízení,Posázaví,Chatová osada,4.0
2024,Počet hromadných ubytovacích zařízení,Posázaví,Turistická ubytovna,6.0
2024,Počet hromadných ubytovacích zařízení,Posázaví,Ostatní HUZ,9.0
2024,Počet hromadných ubytovacích zařízení,Rakovnicko,HUZ celkem,29.0
2024,Počet hromadných ubytovacích zařízení,Rakovnicko,Hotel *****,1.0
2024,Počet hromadných ubytovacích zařízení,Rakovnicko,"Hotel, motel, botel ****",1.0
2024,Počet hromadných ubytovacích zařízení,Rakovnicko,"Hotel, motel, botel ***",4.0
2024,Počet hromadných ubytovacích zařízení,Rakovnicko,"Hotel, motel, botel **",1.0
2024,Počet hromadných ubytovacích zařízení,Rakovnicko,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Rakovnicko,Hotel garni,1.0
2024,Počet hromadných ubytovacích zařízení,Rakovnicko,Penzion,7.0
2024,Počet hromadných ubytovacích zařízení,Rakovnicko,Kemp,4.0
2024,Počet hromadných ubytovacích zařízení,Rakovnicko,Chatová osada,2.0
2024,Počet hromadných ubytovacích zařízení,Rakovnicko,Turistická ubytovna,1.0
2024,Počet hromadných ubytovacích zařízení,Rakovnicko,Ostatní HUZ,7.0
2024,Počet hromadných ubytovacích zařízení,Česká Kanada,HUZ celkem,133.0
2024,Počet hromadných ubytovacích zařízení,Česká Kanada,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Česká Kanada,"Hotel, motel, botel ****",2.0
2024,Počet hromadných ubytovacích zařízení,Česká Kanada,"Hotel, motel, botel ***",8.0
2024,Počet hromadných ubytovacích zařízení,Česká Kanada,"Hotel, motel, botel **",2.0
2024,Počet hromadných ubytovacích zařízení,Česká Kanada,"Hotel, motel, botel *",4.0
2024,Počet hromadných ubytovacích zařízení,Česká Kanada,Hotel garni,1.0
2024,Počet hromadných ubytovacích zařízení,Česká Kanada,Penzion,72.0
2024,Počet hromadných ubytovacích zařízení,Česká Kanada,Kemp,7.0
2024,Počet hromadných ubytovacích zařízení,Česká Kanada,Chatová osada,11.0
2024,Počet hromadných ubytovacích zařízení,Česká Kanada,Turistická ubytovna,7.0
2024,Počet hromadných ubytovacích zařízení,Česká Kanada,Ostatní HUZ,19.0
2024,Počet hromadných ubytovacích zařízení,Budějovicko,HUZ celkem,120.0
2024,Počet hromadných ubytovacích zařízení,Budějovicko,Hotel *****,2.0
2024,Počet hromadných ubytovacích zařízení,Budějovicko,"Hotel, motel, botel ****",13.0
2024,Počet hromadných ubytovacích zařízení,Budějovicko,"Hotel, motel, botel ***",19.0
2024,Počet hromadných ubytovacích zařízení,Budějovicko,"Hotel, motel, botel **",
2024,Počet hromadných ubytovacích zařízení,Budějovicko,"Hotel, motel, botel *",1.0
2024,Počet hromadných ubytovacích zařízení,Budějovicko,Hotel garni,1.0
2024,Počet hromadných ubytovacích zařízení,Budějovicko,Penzion,47.0
2024,Počet hromadných ubytovacích zařízení,Budějovicko,Kemp,12.0
2024,Počet hromadných ubytovacích zařízení,Budějovicko,Chatová osada,2.0
2024,Počet hromadných ubytovacích zařízení,Budějovicko,Turistická ubytovna,7.0
