Území,Ukazatel,Očištění,Typ indexu,Typ tržeb,Vybraná průmyslová činnost,Čtvrtletí,value
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2008,104.6417132227
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2008,104.7727953661
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2007,112.6973153965
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2007,113.1169592667
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2007,114.4633422541
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2007,116.2143013877
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2006,108.9883481182
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2006,107.4588550065
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2006,106.1357372244
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2006,111.354232417
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2005,106.6982054283
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2005,105.7310973681
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2005,107.2022408922
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2005,108.1153281616
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2004,116.2836289958
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2004,115.4324016224
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2004,119.4638832122
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2004,113.0589508789
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2003,103.1151050586
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2003,104.9577876334
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2003,102.1220284852
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2003,102.6562998089
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2002,101.6289788565
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2002,100.6192651176
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2002,98.4658648531
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2002,98.4796150604
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2001,105.5075474878
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2001,109.2620098131
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2001,113.3800962101
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2001,118.5994075361
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),4. čtvrtletí 2000,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),3. čtvrtletí 2000,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),2. čtvrtletí 2000,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,Průmysl celkem (B+C+D),1. čtvrtletí 2000,
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2025,82.8360522844
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2025,92.7421702754
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2024,95.8021208098
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,3. čtvrtletí 2024,84.5223263952
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2024,88.1665965236
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2024,76.2314828166
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2023,90.8439436148
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,3. čtvrtletí 2023,107.9067192931
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2023,111.4010378361
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2023,108.3320350756
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2022,131.0160892866
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,3. čtvrtletí 2022,139.425727759
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2022,135.4350983747
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2022,171.9135014927
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2021,128.9916424499
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,3. čtvrtletí 2021,118.5001174881
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2021,110.4348267557
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2021,92.9636149023
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2020,91.3441881394
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,3. čtvrtletí 2020,79.2242551882
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2020,80.9870722757
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2020,89.106353838
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2019,83.4006767945
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,3. čtvrtletí 2019,85.0322091597
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2019,93.6863556021
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2019,87.2995749652
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2018,100.7850167623
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,3. čtvrtletí 2018,114.0840658565
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2018,103.2233094783
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2018,97.2943687513
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2017,105.5166119153
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,3. čtvrtletí 2017,109.6360811305
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2017,104.5810263442
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2017,115.8286892365
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2016,89.5022114623
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,3. čtvrtletí 2016,84.3424446752
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2016,86.4864656859
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2016,69.1162565118
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,4. čtvrtletí 2015,86.4314770471
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,3. čtvrtletí 2015,90.5663129853
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,2. čtvrtletí 2015,81.4743987967
Česko,Tržby z průmyslové činnosti (běžné ceny),Bez očištění,Meziroční index,Celkem,B Těžba a dobývání,1. čtvrtletí 2015,109.1737243614
