Území;Ukazatel;Typ ploch;Roky;value
Česko;Plocha území (%);Zastavěná plocha a nádvoří;2020;
Česko;Plocha území (%);Zastavěná plocha a nádvoří;2019;
Česko;Plocha území (%);Zastavěná plocha a nádvoří;2018;
Česko;Plocha území (%);Zastavěná plocha a nádvoří;2017;
Česko;Plocha území (%);Zastavěná plocha a nádvoří;2016;
Česko;Plocha území (%);Ostatní plocha;2023;8.94398884
Česko;Plocha území (%);Ostatní plocha;2022;
Česko;Plocha území (%);Ostatní plocha;2021;
Česko;Plocha území (%);Ostatní plocha;2020;
Česko;Plocha území (%);Ostatní plocha;2019;
Česko;Plocha území (%);Ostatní plocha;2018;
Česko;Plocha území (%);Ostatní plocha;2017;
Česko;Plocha území (%);Ostatní plocha;2016;
