Stát,Kumulace měsíců,Ukazatel,value
Česko,duben 2024,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",65412.0
Česko,březen 2024,Počet stavebních povolení v ČR,17225.0
Česko,březen 2024,Počet vydaných stavebních povolení - budovy,9973.0
Česko,březen 2024,Počet vydaných stavebních povolení - budovy bytové,5612.0
Česko,březen 2024,Počet vydaných stavebních povolení - budovy nebytové,4361.0
Česko,březen 2024,Počet vydaných stavebních povolení - inženýrské stavby,7252.0
Česko,březen 2024,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",140919.0
Česko,březen 2024,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",86942.0
Česko,březen 2024,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",41170.0
Česko,březen 2024,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",45772.0
Česko,březen 2024,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",53977.0
Česko,únor 2024,Počet stavebních povolení v ČR,11214.0
Česko,únor 2024,Počet vydaných stavebních povolení - budovy,6466.0
Česko,únor 2024,Počet vydaných stavebních povolení - budovy bytové,3592.0
Česko,únor 2024,Počet vydaných stavebních povolení - budovy nebytové,2874.0
Česko,únor 2024,Počet vydaných stavebních povolení - inženýrské stavby,4748.0
Česko,únor 2024,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",75292.0
Česko,únor 2024,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",53615.0
Česko,únor 2024,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",27578.0
Česko,únor 2024,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",26037.0
Česko,únor 2024,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",21677.0
Česko,leden 2024,Počet stavebních povolení v ČR,5562.0
Česko,leden 2024,Počet vydaných stavebních povolení - budovy,3241.0
Česko,leden 2024,Počet vydaných stavebních povolení - budovy bytové,1819.0
Česko,leden 2024,Počet vydaných stavebních povolení - budovy nebytové,1422.0
Česko,leden 2024,Počet vydaných stavebních povolení - inženýrské stavby,2321.0
Česko,leden 2024,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",40305.0
Česko,leden 2024,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",29412.0
Česko,leden 2024,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",17237.0
Česko,leden 2024,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",12175.0
Česko,leden 2024,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",10893.0
Česko,prosinec 2023,Počet stavebních povolení v ČR,77398.0
Česko,prosinec 2023,Počet vydaných stavebních povolení - budovy,43870.0
Česko,prosinec 2023,Počet vydaných stavebních povolení - budovy bytové,26014.0
Česko,prosinec 2023,Počet vydaných stavebních povolení - budovy nebytové,17856.0
Česko,prosinec 2023,Počet vydaných stavebních povolení - inženýrské stavby,33528.0
Česko,prosinec 2023,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",601666.0
Česko,prosinec 2023,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",371292.0
Česko,prosinec 2023,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",174962.0
Česko,prosinec 2023,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",196330.0
Česko,prosinec 2023,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",230374.0
Česko,listopad 2023,Počet stavebních povolení v ČR,71202.0
Česko,listopad 2023,Počet vydaných stavebních povolení - budovy,40456.0
Česko,listopad 2023,Počet vydaných stavebních povolení - budovy bytové,24126.0
Česko,listopad 2023,Počet vydaných stavebních povolení - budovy nebytové,16330.0
Česko,listopad 2023,Počet vydaných stavebních povolení - inženýrské stavby,30746.0
Česko,listopad 2023,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",517466.0
Česko,listopad 2023,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",331269.0
Česko,listopad 2023,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",154546.0
Česko,listopad 2023,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",176723.0
