Stát,Kumulace měsíců,Ukazatel,value
Česko,červenec 2015,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",47092.0
Česko,červenec 2015,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",41152.0
Česko,červenec 2015,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,červen 2015,Počet stavebních povolení v ČR,38686.0
Česko,červen 2015,Počet vydaných stavebních povolení - budovy,21901.0
Česko,červen 2015,Počet vydaných stavebních povolení - budovy bytové,13684.0
Česko,červen 2015,Počet vydaných stavebních povolení - budovy nebytové,8217.0
Česko,červen 2015,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,červen 2015,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",120575.0
Česko,červen 2015,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",76776.0
Česko,červen 2015,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",39977.0
Česko,červen 2015,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",36799.0
Česko,červen 2015,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,květen 2015,Počet stavebních povolení v ČR,31268.0
Česko,květen 2015,Počet vydaných stavebních povolení - budovy,17506.0
Česko,květen 2015,Počet vydaných stavebních povolení - budovy bytové,10881.0
Česko,květen 2015,Počet vydaných stavebních povolení - budovy nebytové,6625.0
Česko,květen 2015,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,květen 2015,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",96603.0
Česko,květen 2015,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",60558.0
Česko,květen 2015,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",29377.0
Česko,květen 2015,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",31181.0
Česko,květen 2015,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,duben 2015,Počet stavebních povolení v ČR,24059.0
Česko,duben 2015,Počet vydaných stavebních povolení - budovy,13407.0
Česko,duben 2015,Počet vydaných stavebních povolení - budovy bytové,8234.0
Česko,duben 2015,Počet vydaných stavebních povolení - budovy nebytové,5173.0
Česko,duben 2015,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,duben 2015,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",74804.0
Česko,duben 2015,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",48536.0
Česko,duben 2015,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",23182.0
Česko,duben 2015,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",25354.0
Česko,duben 2015,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,březen 2015,Počet stavebních povolení v ČR,17141.0
Česko,březen 2015,Počet vydaných stavebních povolení - budovy,9434.0
Česko,březen 2015,Počet vydaných stavebních povolení - budovy bytové,5676.0
Česko,březen 2015,Počet vydaných stavebních povolení - budovy nebytové,3758.0
Česko,březen 2015,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,březen 2015,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",52704.0
Česko,březen 2015,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",33112.0
Česko,březen 2015,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",14731.0
Česko,březen 2015,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",18381.0
Česko,březen 2015,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,únor 2015,Počet stavebních povolení v ČR,10910.0
Česko,únor 2015,Počet vydaných stavebních povolení - budovy,5688.0
Česko,únor 2015,Počet vydaných stavebních povolení - budovy bytové,3368.0
Česko,únor 2015,Počet vydaných stavebních povolení - budovy nebytové,2320.0
Česko,únor 2015,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,únor 2015,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",29667.0
Česko,únor 2015,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",18560.0
Česko,únor 2015,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",8908.0
Česko,únor 2015,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",9652.0
Česko,únor 2015,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,leden 2015,Počet stavebních povolení v ČR,5271.0
Česko,leden 2015,Počet vydaných stavebních povolení - budovy,2750.0
Česko,leden 2015,Počet vydaných stavebních povolení - budovy bytové,1659.0
Česko,leden 2015,Počet vydaných stavebních povolení - budovy nebytové,1091.0
Česko,leden 2015,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,leden 2015,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",12946.0
Česko,leden 2015,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",8326.0
Česko,leden 2015,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",4523.0
Česko,leden 2015,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",3803.0
Česko,leden 2015,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,prosinec 2014,Počet stavebních povolení v ČR,79357.0
Česko,prosinec 2014,Počet vydaných stavebních povolení - budovy,45654.0
Česko,prosinec 2014,Počet vydaných stavebních povolení - budovy bytové,28127.0
Česko,prosinec 2014,Počet vydaných stavebních povolení - budovy nebytové,17527.0
Česko,prosinec 2014,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,prosinec 2014,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",249836.0
Česko,prosinec 2014,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",148859.0
Česko,prosinec 2014,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",76704.0
Česko,prosinec 2014,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",72155.0
Česko,prosinec 2014,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,listopad 2014,Počet stavebních povolení v ČR,73559.0
Česko,listopad 2014,Počet vydaných stavebních povolení - budovy,42590.0
Česko,listopad 2014,Počet vydaných stavebních povolení - budovy bytové,26342.0
Česko,listopad 2014,Počet vydaných stavebních povolení - budovy nebytové,16248.0
Česko,listopad 2014,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,listopad 2014,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",229411.0
Česko,listopad 2014,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",136589.0
Česko,listopad 2014,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",70974.0
Česko,listopad 2014,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",65615.0
Česko,listopad 2014,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,říjen 2014,Počet stavebních povolení v ČR,66987.0
Česko,říjen 2014,Počet vydaných stavebních povolení - budovy,39058.0
Česko,říjen 2014,Počet vydaných stavebních povolení - budovy bytové,24233.0
Česko,říjen 2014,Počet vydaných stavebních povolení - budovy nebytové,14825.0
Česko,říjen 2014,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,říjen 2014,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",210758.0
Česko,říjen 2014,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",123520.0
Česko,říjen 2014,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",64389.0
Česko,říjen 2014,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",59131.0
Česko,říjen 2014,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,září 2014,Počet stavebních povolení v ČR,59873.0
Česko,září 2014,Počet vydaných stavebních povolení - budovy,34992.0
Česko,září 2014,Počet vydaných stavebních povolení - budovy bytové,21707.0
Česko,září 2014,Počet vydaných stavebních povolení - budovy nebytové,13285.0
Česko,září 2014,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,září 2014,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",191904.0
Česko,září 2014,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",112656.0
Česko,září 2014,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",57868.0
Česko,září 2014,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",54788.0
Česko,září 2014,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,srpen 2014,Počet stavebních povolení v ČR,52568.0
Česko,srpen 2014,Počet vydaných stavebních povolení - budovy,30679.0
Česko,srpen 2014,Počet vydaných stavebních povolení - budovy bytové,19017.0
Česko,srpen 2014,Počet vydaných stavebních povolení - budovy nebytové,11662.0
Česko,srpen 2014,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,srpen 2014,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",171744.0
Česko,srpen 2014,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",99745.0
Česko,srpen 2014,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",50632.0
Česko,srpen 2014,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",49113.0
Česko,srpen 2014,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,červenec 2014,Počet stavebních povolení v ČR,45383.0
Česko,červenec 2014,Počet vydaných stavebních povolení - budovy,26396.0
Česko,červenec 2014,Počet vydaných stavebních povolení - budovy bytové,16313.0
Česko,červenec 2014,Počet vydaných stavebních povolení - budovy nebytové,10083.0
Česko,červenec 2014,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,červenec 2014,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",149251.0
Česko,červenec 2014,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",88049.0
Česko,červenec 2014,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",44340.0
Česko,červenec 2014,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",43709.0
Česko,červenec 2014,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,červen 2014,Počet stavebních povolení v ČR,37807.0
Česko,červen 2014,Počet vydaných stavebních povolení - budovy,21970.0
Česko,červen 2014,Počet vydaných stavebních povolení - budovy bytové,13537.0
Česko,červen 2014,Počet vydaných stavebních povolení - budovy nebytové,8433.0
Česko,červen 2014,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,červen 2014,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",127880.0
Česko,červen 2014,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",73824.0
Česko,červen 2014,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",36765.0
Česko,červen 2014,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",37059.0
Česko,červen 2014,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,květen 2014,Počet stavebních povolení v ČR,30633.0
Česko,květen 2014,Počet vydaných stavebních povolení - budovy,17662.0
Česko,květen 2014,Počet vydaných stavebních povolení - budovy bytové,10850.0
Česko,květen 2014,Počet vydaných stavebních povolení - budovy nebytové,6812.0
Česko,květen 2014,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,květen 2014,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",105048.0
Česko,květen 2014,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",58630.0
Česko,květen 2014,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",29313.0
Česko,květen 2014,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",29317.0
Česko,květen 2014,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,duben 2014,Počet stavebních povolení v ČR,23801.0
Česko,duben 2014,Počet vydaných stavebních povolení - budovy,13545.0
Česko,duben 2014,Počet vydaných stavebních povolení - budovy bytové,8222.0
Česko,duben 2014,Počet vydaných stavebních povolení - budovy nebytové,5323.0
Česko,duben 2014,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,duben 2014,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",81569.0
Česko,duben 2014,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",44898.0
Česko,duben 2014,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",22051.0
Česko,duben 2014,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",22847.0
Česko,duben 2014,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,březen 2014,Počet stavebních povolení v ČR,17198.0
Česko,březen 2014,Počet vydaných stavebních povolení - budovy,9750.0
Česko,březen 2014,Počet vydaných stavebních povolení - budovy bytové,5817.0
Česko,březen 2014,Počet vydaných stavebních povolení - budovy nebytové,3933.0
Česko,březen 2014,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,březen 2014,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",58801.0
Česko,březen 2014,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",33486.0
Česko,březen 2014,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",15568.0
Česko,březen 2014,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",17918.0
Česko,březen 2014,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,únor 2014,Počet stavebních povolení v ČR,10620.0
Česko,únor 2014,Počet vydaných stavebních povolení - budovy,5939.0
Česko,únor 2014,Počet vydaných stavebních povolení - budovy bytové,3512.0
Česko,únor 2014,Počet vydaných stavebních povolení - budovy nebytové,2427.0
Česko,únor 2014,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,únor 2014,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",39514.0
Česko,únor 2014,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",21060.0
Česko,únor 2014,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",9271.0
Česko,únor 2014,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",11789.0
Česko,únor 2014,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,leden 2014,Počet stavebních povolení v ČR,5119.0
Česko,leden 2014,Počet vydaných stavebních povolení - budovy,2841.0
Česko,leden 2014,Počet vydaných stavebních povolení - budovy bytové,1700.0
Česko,leden 2014,Počet vydaných stavebních povolení - budovy nebytové,1141.0
Česko,leden 2014,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,leden 2014,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",19894.0
Česko,leden 2014,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",12064.0
Česko,leden 2014,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",5230.0
Česko,leden 2014,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",6834.0
Česko,leden 2014,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,prosinec 2013,Počet stavebních povolení v ČR,84864.0
Česko,prosinec 2013,Počet vydaných stavebních povolení - budovy,48404.0
Česko,prosinec 2013,Počet vydaných stavebních povolení - budovy bytové,29475.0
Česko,prosinec 2013,Počet vydaných stavebních povolení - budovy nebytové,18929.0
Česko,prosinec 2013,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,prosinec 2013,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",257735.0
Česko,prosinec 2013,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",151107.0
Česko,prosinec 2013,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",72348.0
Česko,prosinec 2013,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",78759.0
Česko,prosinec 2013,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,listopad 2013,Počet stavebních povolení v ČR,78840.0
Česko,listopad 2013,Počet vydaných stavebních povolení - budovy,45162.0
Česko,listopad 2013,Počet vydaných stavebních povolení - budovy bytové,27480.0
Česko,listopad 2013,Počet vydaných stavebních povolení - budovy nebytové,17682.0
Česko,listopad 2013,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,listopad 2013,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",235600.0
Česko,listopad 2013,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",142219.0
Česko,listopad 2013,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",67042.0
Česko,listopad 2013,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",75177.0
Česko,listopad 2013,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,říjen 2013,Počet stavebních povolení v ČR,72196.0
Česko,říjen 2013,Počet vydaných stavebních povolení - budovy,41526.0
Česko,říjen 2013,Počet vydaných stavebních povolení - budovy bytové,25305.0
Česko,říjen 2013,Počet vydaných stavebních povolení - budovy nebytové,16221.0
Česko,říjen 2013,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,říjen 2013,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",211551.0
Česko,říjen 2013,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",129112.0
Česko,říjen 2013,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",61287.0
Česko,říjen 2013,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",67825.0
Česko,říjen 2013,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,září 2013,Počet stavebních povolení v ČR,64963.0
Česko,září 2013,Počet vydaných stavebních povolení - budovy,37495.0
Česko,září 2013,Počet vydaných stavebních povolení - budovy bytové,22914.0
Česko,září 2013,Počet vydaných stavebních povolení - budovy nebytové,14581.0
Česko,září 2013,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,září 2013,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",191741.0
Česko,září 2013,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",117797.0
Česko,září 2013,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",55851.0
Česko,září 2013,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",61946.0
Česko,září 2013,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,srpen 2013,Počet stavebních povolení v ČR,57310.0
Česko,srpen 2013,Počet vydaných stavebních povolení - budovy,33205.0
Česko,srpen 2013,Počet vydaných stavebních povolení - budovy bytové,20168.0
Česko,srpen 2013,Počet vydaných stavebních povolení - budovy nebytové,13037.0
Česko,srpen 2013,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,srpen 2013,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",163904.0
Česko,srpen 2013,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",102488.0
Česko,srpen 2013,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",49552.0
Česko,srpen 2013,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",52936.0
Česko,srpen 2013,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,červenec 2013,Počet stavebních povolení v ČR,49589.0
Česko,červenec 2013,Počet vydaných stavebních povolení - budovy,28620.0
Česko,červenec 2013,Počet vydaných stavebních povolení - budovy bytové,17279.0
Česko,červenec 2013,Počet vydaných stavebních povolení - budovy nebytové,11341.0
Česko,červenec 2013,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,červenec 2013,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",144319.0
Česko,červenec 2013,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",89328.0
Česko,červenec 2013,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",42208.0
Česko,červenec 2013,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",47120.0
Česko,červenec 2013,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,červen 2013,Počet stavebních povolení v ČR,42220.0
Česko,červen 2013,Počet vydaných stavebních povolení - budovy,24217.0
Česko,červen 2013,Počet vydaných stavebních povolení - budovy bytové,14491.0
Česko,červen 2013,Počet vydaných stavebních povolení - budovy nebytové,9726.0
Česko,červen 2013,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,červen 2013,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",122478.0
Česko,červen 2013,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",75797.0
Česko,červen 2013,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",34657.0
Česko,červen 2013,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",41140.0
Česko,červen 2013,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,květen 2013,Počet stavebních povolení v ČR,34956.0
Česko,květen 2013,Počet vydaných stavebních povolení - budovy,19776.0
Česko,květen 2013,Počet vydaných stavebních povolení - budovy bytové,11941.0
Česko,květen 2013,Počet vydaných stavebních povolení - budovy nebytové,7835.0
Česko,květen 2013,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,květen 2013,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",99347.0
Česko,květen 2013,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",61219.0
Česko,květen 2013,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",28569.0
Česko,květen 2013,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",32650.0
Česko,květen 2013,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,duben 2013,Počet stavebních povolení v ČR,27638.0
Česko,duben 2013,Počet vydaných stavebních povolení - budovy,15381.0
Česko,duben 2013,Počet vydaných stavebních povolení - budovy bytové,9237.0
Česko,duben 2013,Počet vydaných stavebních povolení - budovy nebytové,6144.0
Česko,duben 2013,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,duben 2013,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",79431.0
Česko,duben 2013,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",47426.0
Česko,duben 2013,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",22398.0
Česko,duben 2013,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",25028.0
Česko,duben 2013,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,březen 2013,Počet stavebních povolení v ČR,20633.0
Česko,březen 2013,Počet vydaných stavebních povolení - budovy,11308.0
Česko,březen 2013,Počet vydaných stavebních povolení - budovy bytové,6789.0
Česko,březen 2013,Počet vydaných stavebních povolení - budovy nebytové,4519.0
Česko,březen 2013,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,březen 2013,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",54087.0
Česko,březen 2013,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",32181.0
Česko,březen 2013,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",15697.0
Česko,březen 2013,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",16484.0
Česko,březen 2013,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,únor 2013,Počet stavebních povolení v ČR,13424.0
Česko,únor 2013,Počet vydaných stavebních povolení - budovy,7235.0
Česko,únor 2013,Počet vydaných stavebních povolení - budovy bytové,4367.0
Česko,únor 2013,Počet vydaných stavebních povolení - budovy nebytové,2868.0
Česko,únor 2013,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,únor 2013,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",35307.0
Česko,únor 2013,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",19479.0
Česko,únor 2013,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",9034.0
Česko,únor 2013,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",10445.0
Česko,únor 2013,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,leden 2013,Počet stavebních povolení v ČR,7040.0
Česko,leden 2013,Počet vydaných stavebních povolení - budovy,3906.0
Česko,leden 2013,Počet vydaných stavebních povolení - budovy bytové,2422.0
Česko,leden 2013,Počet vydaných stavebních povolení - budovy nebytové,1484.0
Česko,leden 2013,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,leden 2013,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",16351.0
Česko,leden 2013,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",10075.0
Česko,leden 2013,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",4674.0
Česko,leden 2013,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",5401.0
Česko,leden 2013,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,prosinec 2012,Počet stavebních povolení v ČR,97764.0
Česko,prosinec 2012,Počet vydaných stavebních povolení - budovy,54818.0
Česko,prosinec 2012,Počet vydaných stavebních povolení - budovy bytové,34006.0
Česko,prosinec 2012,Počet vydaných stavebních povolení - budovy nebytové,20812.0
Česko,prosinec 2012,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,prosinec 2012,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",318497.0
Česko,prosinec 2012,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",185574.0
Česko,prosinec 2012,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",81462.0
Česko,prosinec 2012,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",104112.0
Česko,prosinec 2012,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,listopad 2012,Počet stavebních povolení v ČR,89974.0
Česko,listopad 2012,Počet vydaných stavebních povolení - budovy,50791.0
Česko,listopad 2012,Počet vydaných stavebních povolení - budovy bytové,31607.0
Česko,listopad 2012,Počet vydaných stavebních povolení - budovy nebytové,19184.0
Česko,listopad 2012,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,listopad 2012,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",293696.0
Česko,listopad 2012,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",172522.0
Česko,listopad 2012,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",75899.0
Česko,listopad 2012,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",96623.0
Česko,listopad 2012,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,říjen 2012,Počet stavebních povolení v ČR,82306.0
Česko,říjen 2012,Počet vydaných stavebních povolení - budovy,46891.0
Česko,říjen 2012,Počet vydaných stavebních povolení - budovy bytové,29280.0
Česko,říjen 2012,Počet vydaných stavebních povolení - budovy nebytové,17611.0
Česko,říjen 2012,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,říjen 2012,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",270970.0
Česko,říjen 2012,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",157463.0
Česko,říjen 2012,"Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.)",70521.0
Česko,říjen 2012,"Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.)",86942.0
Česko,říjen 2012,"Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.)",
Česko,září 2012,Počet stavebních povolení v ČR,72956.0
Česko,září 2012,Počet vydaných stavebních povolení - budovy,41680.0
Česko,září 2012,Počet vydaných stavebních povolení - budovy bytové,26105.0
Česko,září 2012,Počet vydaných stavebních povolení - budovy nebytové,15575.0
Česko,září 2012,Počet vydaných stavebních povolení - inženýrské stavby,
Česko,září 2012,"Orientační hodnota stavebních povolení (mil. Kč, b.c.)",245682.0
Česko,září 2012,"Orientační hodnota stavby - budovy (mil. Kč, b.c.)",141520.0
