Kategorie,Čtvrtletí,Oblasti destinačního managementu členěné,Ukazatel,Rezidence,value
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Brdy a Podbrdsko,Průměrný počet přenocování ,Celkem,1.8528261725
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Brdy a Podbrdsko,Průměrný počet přenocování ,Rezidenti,1.8323967407
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Brdy a Podbrdsko,Průměrný počet přenocování ,Nerezidenti,1.9481064081
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český ráj  - Středočeský kraj,Počet hostů,Celkem,11883.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český ráj  - Středočeský kraj,Počet hostů,Rezidenti,10448.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český ráj  - Středočeský kraj,Počet hostů,Nerezidenti,1435.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český ráj  - Středočeský kraj,Počet přenocování,Celkem,32894.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český ráj  - Středočeský kraj,Počet přenocování,Rezidenti,30259.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český ráj  - Středočeský kraj,Počet přenocování,Nerezidenti,2635.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český ráj  - Středočeský kraj,Průměrný počet přenocování ,Celkem,2.7681561895
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český ráj  - Středočeský kraj,Průměrný počet přenocování ,Rezidenti,2.8961523737
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český ráj  - Středočeský kraj,Průměrný počet přenocování ,Nerezidenti,1.8362369338
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kladensko - Slánsko,Počet hostů,Celkem,22653.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kladensko - Slánsko,Počet hostů,Rezidenti,16970.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kladensko - Slánsko,Počet hostů,Nerezidenti,5683.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kladensko - Slánsko,Počet přenocování,Celkem,41944.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kladensko - Slánsko,Počet přenocování,Rezidenti,29922.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kladensko - Slánsko,Počet přenocování,Nerezidenti,12022.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kladensko - Slánsko,Průměrný počet přenocování ,Celkem,1.8515869863
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kladensko - Slánsko,Průměrný počet přenocování ,Rezidenti,1.763229228
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kladensko - Slánsko,Průměrný počet přenocování ,Nerezidenti,2.1154319901
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kutnohorsko a Kolínsko,Počet hostů,Celkem,44018.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kutnohorsko a Kolínsko,Počet hostů,Rezidenti,34833.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kutnohorsko a Kolínsko,Počet hostů,Nerezidenti,9185.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kutnohorsko a Kolínsko,Počet přenocování,Celkem,85764.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kutnohorsko a Kolínsko,Počet přenocování,Rezidenti,69205.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kutnohorsko a Kolínsko,Počet přenocování,Nerezidenti,16559.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kutnohorsko a Kolínsko,Průměrný počet přenocování ,Celkem,1.9483847517
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kutnohorsko a Kolínsko,Průměrný počet přenocování ,Rezidenti,1.9867654236
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kutnohorsko a Kolínsko,Průměrný počet přenocování ,Nerezidenti,1.8028307022
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kraj blanických rytířů,Počet hostů,Celkem,12126.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kraj blanických rytířů,Počet hostů,Rezidenti,10247.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kraj blanických rytířů,Počet hostů,Nerezidenti,1879.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kraj blanických rytířů,Počet přenocování,Celkem,24984.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kraj blanických rytířů,Počet přenocování,Rezidenti,18657.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kraj blanických rytířů,Počet přenocování,Nerezidenti,6327.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kraj blanických rytířů,Průměrný počet přenocování ,Celkem,2.0603661554
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kraj blanických rytířů,Průměrný počet přenocování ,Rezidenti,1.820728018
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Kraj blanických rytířů,Průměrný počet přenocování ,Nerezidenti,3.3672166046
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Mělnicko - Kokořínsko,Počet hostů,Celkem,27199.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Mělnicko - Kokořínsko,Počet hostů,Rezidenti,19168.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Mělnicko - Kokořínsko,Počet hostů,Nerezidenti,8031.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Mělnicko - Kokořínsko,Počet přenocování,Celkem,47583.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Mělnicko - Kokořínsko,Počet přenocování,Rezidenti,34064.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Mělnicko - Kokořínsko,Počet přenocování,Nerezidenti,13519.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Mělnicko - Kokořínsko,Průměrný počet přenocování ,Celkem,1.7494393176
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Mělnicko - Kokořínsko,Průměrný počet přenocování ,Rezidenti,1.7771285476
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Mělnicko - Kokořínsko,Průměrný počet přenocování ,Nerezidenti,1.683352011
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pojizeří a Polabí,Počet hostů,Celkem,62008.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pojizeří a Polabí,Počet hostů,Rezidenti,48024.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pojizeří a Polabí,Počet hostů,Nerezidenti,13984.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pojizeří a Polabí,Počet přenocování,Celkem,168763.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pojizeří a Polabí,Počet přenocování,Rezidenti,137037.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pojizeří a Polabí,Počet přenocování,Nerezidenti,31726.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pojizeří a Polabí,Průměrný počet přenocování ,Celkem,2.7216326926
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pojizeří a Polabí,Průměrný počet přenocování ,Rezidenti,2.8535107446
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Pojizeří a Polabí,Průměrný počet přenocování ,Nerezidenti,2.2687356979
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Posázaví,Počet hostů,Celkem,99967.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Posázaví,Počet hostů,Rezidenti,69427.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Posázaví,Počet hostů,Nerezidenti,30540.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Posázaví,Počet přenocování,Celkem,191439.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Posázaví,Počet přenocování,Rezidenti,126506.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Posázaví,Počet přenocování,Nerezidenti,64933.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Posázaví,Průměrný počet přenocování ,Celkem,1.9150219572
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Posázaví,Průměrný počet přenocování ,Rezidenti,1.8221441226
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Posázaví,Průměrný počet přenocování ,Nerezidenti,2.12616241
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Rakovnicko,Počet hostů,Celkem,14813.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Rakovnicko,Počet hostů,Rezidenti,13151.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Rakovnicko,Počet hostů,Nerezidenti,1662.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Rakovnicko,Počet přenocování,Celkem,32682.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Rakovnicko,Počet přenocování,Rezidenti,28537.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Rakovnicko,Počet přenocování,Nerezidenti,4145.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Rakovnicko,Průměrný počet přenocování ,Celkem,2.2063052724
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Rakovnicko,Průměrný počet přenocování ,Rezidenti,2.1699490533
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Rakovnicko,Průměrný počet přenocování ,Nerezidenti,2.4939831528
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Toulava  - Středočeský kraj,Počet hostů,Celkem,15966.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Toulava  - Středočeský kraj,Počet hostů,Rezidenti,14279.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Toulava  - Středočeský kraj,Počet hostů,Nerezidenti,1687.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Toulava  - Středočeský kraj,Počet přenocování,Celkem,38617.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Toulava  - Středočeský kraj,Počet přenocování,Rezidenti,35383.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Toulava  - Středočeský kraj,Počet přenocování,Nerezidenti,3234.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Toulava  - Středočeský kraj,Průměrný počet přenocování ,Celkem,2.4187022423
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Toulava  - Středočeský kraj,Průměrný počet přenocování ,Rezidenti,2.4779746481
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Toulava  - Středočeský kraj,Průměrný počet přenocování ,Nerezidenti,1.9170124481
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Dolní Povltaví, střední Polabí",Počet hostů,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Dolní Povltaví, střední Polabí",Počet hostů,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Dolní Povltaví, střední Polabí",Počet hostů,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Dolní Povltaví, střední Polabí",Počet přenocování,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Dolní Povltaví, střední Polabí",Počet přenocování,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Dolní Povltaví, střední Polabí",Počet přenocování,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Dolní Povltaví, střední Polabí",Průměrný počet přenocování ,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Dolní Povltaví, střední Polabí",Průměrný počet přenocování ,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Dolní Povltaví, střední Polabí",Průměrný počet přenocování ,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Máchův kraj - Středočeský kraj,Počet hostů,Celkem,967.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Máchův kraj - Středočeský kraj,Počet hostů,Rezidenti,703.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Máchův kraj - Středočeský kraj,Počet hostů,Nerezidenti,264.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Máchův kraj - Středočeský kraj,Počet přenocování,Celkem,1824.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Máchův kraj - Středočeský kraj,Počet přenocování,Rezidenti,1330.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Máchův kraj - Středočeský kraj,Počet přenocování,Nerezidenti,494.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Máchův kraj - Středočeský kraj,Průměrný počet přenocování ,Celkem,1.886246122
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Máchův kraj - Středočeský kraj,Průměrný počet přenocování ,Rezidenti,1.8918918919
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Máchův kraj - Středočeský kraj,Průměrný počet přenocování ,Nerezidenti,1.8712121212
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Česká Kanada,Počet hostů,Celkem,27412.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Česká Kanada,Počet hostů,Rezidenti,23142.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Česká Kanada,Počet hostů,Nerezidenti,4270.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Česká Kanada,Počet přenocování,Celkem,64195.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Česká Kanada,Počet přenocování,Rezidenti,56401.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Česká Kanada,Počet přenocování,Nerezidenti,7794.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Česká Kanada,Průměrný počet přenocování ,Celkem,2.3418575806
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Česká Kanada,Průměrný počet přenocování ,Rezidenti,2.4371705125
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Česká Kanada,Průměrný počet přenocování ,Nerezidenti,1.82529274
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Budějovicko,Počet hostů,Celkem,91717.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Budějovicko,Počet hostů,Rezidenti,42509.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Budějovicko,Počet hostů,Nerezidenti,49208.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Budějovicko,Počet přenocování,Celkem,160745.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Budějovicko,Počet přenocování,Rezidenti,77817.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Budějovicko,Počet přenocování,Nerezidenti,82928.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Budějovicko,Průměrný počet přenocování ,Celkem,1.7526194708
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Budějovicko,Průměrný počet přenocování ,Rezidenti,1.8306005787
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Budějovicko,Průměrný počet přenocování ,Nerezidenti,1.6852544302
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český Krumlov a okolí,Počet hostů,Celkem,80063.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český Krumlov a okolí,Počet hostů,Rezidenti,34376.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český Krumlov a okolí,Počet hostů,Nerezidenti,45687.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český Krumlov a okolí,Počet přenocování,Celkem,126863.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český Krumlov a okolí,Počet přenocování,Rezidenti,58912.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český Krumlov a okolí,Počet přenocování,Nerezidenti,67951.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český Krumlov a okolí,Průměrný počet přenocování ,Celkem,1.584539675
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český Krumlov a okolí,Průměrný počet přenocování ,Rezidenti,1.7137537817
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Český Krumlov a okolí,Průměrný počet přenocování ,Nerezidenti,1.4873158667
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Lipensko,Počet hostů,Celkem,101908.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Lipensko,Počet hostů,Rezidenti,69140.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Lipensko,Počet hostů,Nerezidenti,32768.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Lipensko,Počet přenocování,Celkem,239333.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Lipensko,Počet přenocování,Rezidenti,155587.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Lipensko,Počet přenocování,Nerezidenti,83746.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Lipensko,Průměrný počet přenocování ,Celkem,2.3485202339
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Lipensko,Průměrný počet přenocování ,Rezidenti,2.250318195
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Lipensko,Průměrný počet přenocování ,Nerezidenti,2.5557250977
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Novohradsko-Doudlebsko,Počet hostů,Celkem,18166.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Novohradsko-Doudlebsko,Počet hostů,Rezidenti,13902.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Novohradsko-Doudlebsko,Počet hostů,Nerezidenti,4264.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Novohradsko-Doudlebsko,Počet přenocování,Celkem,38987.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Novohradsko-Doudlebsko,Počet přenocování,Rezidenti,31853.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Novohradsko-Doudlebsko,Počet přenocování,Nerezidenti,7134.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Novohradsko-Doudlebsko,Průměrný počet přenocování ,Celkem,2.1461521524
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Novohradsko-Doudlebsko,Průměrný počet přenocování ,Rezidenti,2.2912530571
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Novohradsko-Doudlebsko,Průměrný počet přenocování ,Nerezidenti,1.6730769231
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Písecko, Blatensko, Strakonicko, Vodňansko",Počet hostů,Celkem,40242.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Písecko, Blatensko, Strakonicko, Vodňansko",Počet hostů,Rezidenti,33906.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Písecko, Blatensko, Strakonicko, Vodňansko",Počet hostů,Nerezidenti,6336.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Písecko, Blatensko, Strakonicko, Vodňansko",Počet přenocování,Celkem,110268.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Písecko, Blatensko, Strakonicko, Vodňansko",Počet přenocování,Rezidenti,97396.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Písecko, Blatensko, Strakonicko, Vodňansko",Počet přenocování,Nerezidenti,12872.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Písecko, Blatensko, Strakonicko, Vodňansko",Průměrný počet přenocování ,Celkem,2.7401222603
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Písecko, Blatensko, Strakonicko, Vodňansko",Průměrný počet přenocování ,Rezidenti,2.8725299357
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,"Písecko, Blatensko, Strakonicko, Vodňansko",Průměrný počet přenocování ,Nerezidenti,2.0315656566
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,PodKletí-Jihočeský venkov,Počet hostů,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,PodKletí-Jihočeský venkov,Počet hostů,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,PodKletí-Jihočeský venkov,Počet hostů,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,PodKletí-Jihočeský venkov,Počet přenocování,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,PodKletí-Jihočeský venkov,Počet přenocování,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,PodKletí-Jihočeský venkov,Počet přenocování,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,PodKletí-Jihočeský venkov,Průměrný počet přenocování ,Celkem,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,PodKletí-Jihočeský venkov,Průměrný počet přenocování ,Rezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,PodKletí-Jihočeský venkov,Průměrný počet přenocování ,Nerezidenti,
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumavsko,Počet hostů,Celkem,34763.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumavsko,Počet hostů,Rezidenti,30429.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumavsko,Počet hostů,Nerezidenti,4334.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumavsko,Počet přenocování,Celkem,87240.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumavsko,Počet přenocování,Rezidenti,78841.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumavsko,Počet přenocování,Nerezidenti,8399.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumavsko,Průměrný počet přenocování ,Celkem,2.5095647671
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumavsko,Průměrný počet přenocování ,Rezidenti,2.5909822866
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Šumavsko,Průměrný počet přenocování ,Nerezidenti,1.9379326257
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Toulava - Jihočeský kraj,Počet hostů,Celkem,46078.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Toulava - Jihočeský kraj,Počet hostů,Rezidenti,39753.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Toulava - Jihočeský kraj,Počet hostů,Nerezidenti,6325.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Toulava - Jihočeský kraj,Počet přenocování,Celkem,134047.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Toulava - Jihočeský kraj,Počet přenocování,Rezidenti,119501.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Toulava - Jihočeský kraj,Počet přenocování,Nerezidenti,14546.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Toulava - Jihočeský kraj,Průměrný počet přenocování ,Celkem,2.9091323408
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Toulava - Jihočeský kraj,Průměrný počet přenocování ,Rezidenti,3.0060875909
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Toulava - Jihočeský kraj,Průměrný počet přenocování ,Nerezidenti,2.2997628458
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Třeboňsko,Počet hostů,Celkem,53939.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Třeboňsko,Počet hostů,Rezidenti,46314.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Třeboňsko,Počet hostů,Nerezidenti,7625.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Třeboňsko,Počet přenocování,Celkem,187466.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Třeboňsko,Počet přenocování,Rezidenti,172509.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Třeboňsko,Počet přenocování,Nerezidenti,14957.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Třeboňsko,Průměrný počet přenocování ,Celkem,3.4755186414
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Třeboňsko,Průměrný počet přenocování ,Rezidenti,3.7247700479
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Třeboňsko,Průměrný počet přenocování ,Nerezidenti,1.9615737705
