Ukazatel;Typ indexu;Území;Klasifikace CZ-CPA;Měsíce;value
Index vývozních cen (%);Meziměsíční index;Česko;ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH;prosinec 2024;102.3
Index vývozních cen (%);Meziměsíční index;Česko;ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH;leden 2025;92.4
Index vývozních cen (%);Meziměsíční index;Česko;ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH;únor 2025;103.4
Index vývozních cen (%);Meziměsíční index;Česko;ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH;březen 2025;82.9
Index vývozních cen (%);Meziměsíční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";leden 2024;105.0
Index vývozních cen (%);Meziměsíční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";únor 2024;105.1
Index vývozních cen (%);Meziměsíční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";březen 2024;100.3
Index vývozních cen (%);Meziměsíční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";duben 2024;99.9
Index vývozních cen (%);Meziměsíční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";květen 2024;101.3
Index vývozních cen (%);Meziměsíční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";červen 2024;100.5
Index vývozních cen (%);Meziměsíční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";červenec 2024;100.0
Index vývozních cen (%);Meziměsíční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";srpen 2024;98.7
Index vývozních cen (%);Meziměsíční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";září 2024;97.1
Index vývozních cen (%);Meziměsíční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";říjen 2024;97.1
Index vývozních cen (%);Meziměsíční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";listopad 2024;96.2
Index vývozních cen (%);Meziměsíční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";prosinec 2024;97.9
Index vývozních cen (%);Meziměsíční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";leden 2025;99.5
Index vývozních cen (%);Meziměsíční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";únor 2025;102.5
Index vývozních cen (%);Meziměsíční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";březen 2025;104.0
Index vývozních cen (%);Meziměsíční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;leden 2024;99.9
