"Kraje, SO ORP",Ukazatel,Odvětví ekonomické činnosti CZ-NACE,Čtvrtletí,value
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,4. čtvrtletí 2024,281.0
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,3. čtvrtletí 2024,282.0
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,2. čtvrtletí 2024,281.0
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,1. čtvrtletí 2024,281.0
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,4. čtvrtletí 2023,287.0
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,3. čtvrtletí 2023,288.0
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,2. čtvrtletí 2023,286.0
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,1. čtvrtletí 2023,285.0
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,4. čtvrtletí 2022,284.0
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,3. čtvrtletí 2022,282.0
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,2. čtvrtletí 2022,282.0
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,1. čtvrtletí 2022,280.0
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,4. čtvrtletí 2021,280.0
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,3. čtvrtletí 2021,283.0
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,2. čtvrtletí 2021,283.0
Hlavní město Praha,Počet ekonomických subjektů celkem,O Veřejná správa a obrana; povinné sociální zabezpečení,1. čtvrtletí 2021,284.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,3. čtvrtletí 2025,14077.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,2. čtvrtletí 2025,13856.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,1. čtvrtletí 2025,13556.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,4. čtvrtletí 2024,13254.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,3. čtvrtletí 2024,13022.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,2. čtvrtletí 2024,12696.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,1. čtvrtletí 2024,12378.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,4. čtvrtletí 2023,12162.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,3. čtvrtletí 2023,11960.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,2. čtvrtletí 2023,11700.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,1. čtvrtletí 2023,11771.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,4. čtvrtletí 2022,11964.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,3. čtvrtletí 2022,11817.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,2. čtvrtletí 2022,11670.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,1. čtvrtletí 2022,11497.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,4. čtvrtletí 2021,11390.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,3. čtvrtletí 2021,11239.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,2. čtvrtletí 2021,11163.0
Hlavní město Praha,Počet ekonomických subjektů celkem,P Vzdělávání,1. čtvrtletí 2021,11011.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,3. čtvrtletí 2025,7841.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,2. čtvrtletí 2025,7736.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,1. čtvrtletí 2025,7626.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,4. čtvrtletí 2024,7558.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,3. čtvrtletí 2024,7442.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,2. čtvrtletí 2024,7344.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,1. čtvrtletí 2024,7211.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,4. čtvrtletí 2023,7167.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,3. čtvrtletí 2023,7038.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,2. čtvrtletí 2023,6908.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,1. čtvrtletí 2023,7011.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,4. čtvrtletí 2022,7174.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,3. čtvrtletí 2022,7045.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,2. čtvrtletí 2022,6981.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,1. čtvrtletí 2022,6828.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,4. čtvrtletí 2021,6796.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,3. čtvrtletí 2021,6742.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,2. čtvrtletí 2021,6710.0
Hlavní město Praha,Počet ekonomických subjektů celkem,Q Zdravotní a sociální péče,1. čtvrtletí 2021,6664.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",3. čtvrtletí 2025,18208.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",2. čtvrtletí 2025,18016.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",1. čtvrtletí 2025,17770.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",4. čtvrtletí 2024,17644.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",3. čtvrtletí 2024,17379.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",2. čtvrtletí 2024,17075.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",1. čtvrtletí 2024,16734.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",4. čtvrtletí 2023,16496.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",3. čtvrtletí 2023,16339.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",2. čtvrtletí 2023,16024.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",1. čtvrtletí 2023,16079.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",4. čtvrtletí 2022,16217.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",3. čtvrtletí 2022,16133.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",2. čtvrtletí 2022,16052.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",1. čtvrtletí 2022,15926.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",4. čtvrtletí 2021,15864.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",3. čtvrtletí 2021,15767.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",2. čtvrtletí 2021,15679.0
Hlavní město Praha,Počet ekonomických subjektů celkem,"R Kulturní, zábavní a rekreační činnosti",1. čtvrtletí 2021,15571.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,3. čtvrtletí 2025,42954.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,2. čtvrtletí 2025,42674.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,1. čtvrtletí 2025,42505.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,4. čtvrtletí 2024,42252.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,3. čtvrtletí 2024,41898.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,2. čtvrtletí 2024,41326.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,1. čtvrtletí 2024,40911.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,4. čtvrtletí 2023,40611.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,3. čtvrtletí 2023,40462.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,2. čtvrtletí 2023,40346.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,1. čtvrtletí 2023,40685.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,4. čtvrtletí 2022,41703.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,3. čtvrtletí 2022,41772.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,2. čtvrtletí 2022,41769.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,1. čtvrtletí 2022,41788.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,4. čtvrtletí 2021,41734.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,3. čtvrtletí 2021,41810.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,2. čtvrtletí 2021,41882.0
Hlavní město Praha,Počet ekonomických subjektů celkem,S Ostatní činnosti,1. čtvrtletí 2021,41757.0
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,3. čtvrtletí 2025,0.0
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,2. čtvrtletí 2025,0.0
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,1. čtvrtletí 2025,0.0
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,4. čtvrtletí 2024,0.0
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,3. čtvrtletí 2024,0.0
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,2. čtvrtletí 2024,
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,1. čtvrtletí 2024,
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,4. čtvrtletí 2023,
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,3. čtvrtletí 2023,
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,2. čtvrtletí 2023,
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,1. čtvrtletí 2023,
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,4. čtvrtletí 2022,
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,3. čtvrtletí 2022,
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,2. čtvrtletí 2022,
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,1. čtvrtletí 2022,
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,4. čtvrtletí 2021,
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,3. čtvrtletí 2021,
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,2. čtvrtletí 2021,
Hlavní město Praha,Počet ekonomických subjektů celkem,T Činnosti domácností jako zaměstnavatelů,1. čtvrtletí 2021,
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,3. čtvrtletí 2025,57.0
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,2. čtvrtletí 2025,59.0
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,1. čtvrtletí 2025,59.0
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,4. čtvrtletí 2024,58.0
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,3. čtvrtletí 2024,58.0
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,2. čtvrtletí 2024,58.0
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,1. čtvrtletí 2024,58.0
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,4. čtvrtletí 2023,58.0
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,3. čtvrtletí 2023,58.0
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,2. čtvrtletí 2023,58.0
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,1. čtvrtletí 2023,58.0
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,4. čtvrtletí 2022,58.0
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,3. čtvrtletí 2022,58.0
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,2. čtvrtletí 2022,58.0
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,1. čtvrtletí 2022,58.0
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,4. čtvrtletí 2021,58.0
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,3. čtvrtletí 2021,58.0
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,2. čtvrtletí 2021,58.0
Hlavní město Praha,Počet ekonomických subjektů celkem,U Činnosti exteritoriálních organizací a orgánů,1. čtvrtletí 2021,58.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,3. čtvrtletí 2025,25512.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,2. čtvrtletí 2025,24143.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,1. čtvrtletí 2025,25446.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,4. čtvrtletí 2024,24019.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,3. čtvrtletí 2024,22931.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,2. čtvrtletí 2024,21744.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,1. čtvrtletí 2024,23175.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,4. čtvrtletí 2023,21726.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,3. čtvrtletí 2023,21402.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,2. čtvrtletí 2023,22721.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,1. čtvrtletí 2023,21974.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,4. čtvrtletí 2022,22072.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,3. čtvrtletí 2022,22212.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,2. čtvrtletí 2022,21678.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,1. čtvrtletí 2022,24893.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,4. čtvrtletí 2021,24567.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,3. čtvrtletí 2021,24905.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,2. čtvrtletí 2021,24629.0
Hlavní město Praha,Počet ekonomických subjektů celkem,X Nezjištěno,1. čtvrtletí 2021,26241.0
