Území,Měsíce,Ukazatel,value
Česko,prosinec 2023,Přirozený přírůstek/úbytek na 1 000 obyvatel,-4.421227993
Česko,prosinec 2023,Přírůstek/úbytek stěhováním na 1 000 obyvatel,5.431208001
Česko,prosinec 2023,Celkový přírůstek/úbytek na 1 000 obyvatel,1.009980008
Česko,prosinec 2023,Kojenecká úmrtnost,3.120356612
Česko,prosinec 2023,Novorozenecká úmrtnost,2.080237741
Česko,listopad 2023,Sňatky na 1 000 obyvatel,1.944907452
Česko,listopad 2023,Rozvody na 1 000 obyvatel,1.875685717
Česko,listopad 2023,Živě narození na 1 000 obyvatel,7.916956798
Česko,listopad 2023,Potraty na 1 000 obyvatel,2.260871177
Česko,listopad 2023,UPT na 1 000 obyvatel,1.315212961
Česko,listopad 2023,Zemřelí na 1 000 obyvatel,10.71150522
Česko,listopad 2023,Přistěhovalí na 1 000 obyvatel,10.61771996
Česko,listopad 2023,Vystěhovalí na 1 000 obyvatel,2.749888987
Česko,listopad 2023,Přirozený přírůstek/úbytek na 1 000 obyvatel,-2.794548423
Česko,listopad 2023,Přírůstek/úbytek stěhováním na 1 000 obyvatel,7.867831696
Česko,listopad 2023,Celkový přírůstek/úbytek na 1 000 obyvatel,5.073283273
Česko,listopad 2023,Kojenecká úmrtnost,2.397405161
Česko,listopad 2023,Novorozenecká úmrtnost,1.269214497
Česko,říjen 2023,Sňatky na 1 000 obyvatel,3.161884918
Česko,říjen 2023,Rozvody na 1 000 obyvatel,1.93820843
Česko,říjen 2023,Živě narození na 1 000 obyvatel,7.817692899
Česko,říjen 2023,Potraty na 1 000 obyvatel,2.144676813
Česko,říjen 2023,UPT na 1 000 obyvatel,1.244215228
Česko,říjen 2023,Zemřelí na 1 000 obyvatel,10.28017968
Česko,říjen 2023,Přistěhovalí na 1 000 obyvatel,13.28748356
Česko,říjen 2023,Vystěhovalí na 1 000 obyvatel,4.356374776
Česko,říjen 2023,Přirozený přírůstek/úbytek na 1 000 obyvatel,-2.462486784
Česko,říjen 2023,Přírůstek/úbytek stěhováním na 1 000 obyvatel,8.931108785
Česko,říjen 2023,Celkový přírůstek/úbytek na 1 000 obyvatel,6.468622
Česko,říjen 2023,Kojenecká úmrtnost,2.488938053
