Území;Ukazatel;Odvětví CZ-NACE;Čtvrtletí;value
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";3. čtvrtletí 2023;2302
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2. čtvrtletí 2023;2600
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1. čtvrtletí 2023;3166
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";4. čtvrtletí 2022;2641
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";3. čtvrtletí 2022;2592
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";2. čtvrtletí 2022;2655
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";1. čtvrtletí 2022;3076
Česko;Počet registrací ekonomických subjektů;"G Velkoobchod a maloobchod; opravy a údržba motorových vozidel";4. čtvrtletí 2021;2613
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;1. čtvrtletí 2025;2470
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;4. čtvrtletí 2024;2351
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;3. čtvrtletí 2024;2121
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;2. čtvrtletí 2024;1853
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;1. čtvrtletí 2024;2087
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;4. čtvrtletí 2023;2167
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;3. čtvrtletí 2023;1674
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;2. čtvrtletí 2023;1393
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;1. čtvrtletí 2023;1612
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;4. čtvrtletí 2022;1531
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;3. čtvrtletí 2022;1401
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;2. čtvrtletí 2022;1462
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;1. čtvrtletí 2022;1471
Česko;Počet registrací ekonomických subjektů;H Doprava a skladování;4. čtvrtletí 2021;1505
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;1. čtvrtletí 2025;1271
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;4. čtvrtletí 2024;953
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;3. čtvrtletí 2024;1060
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;2. čtvrtletí 2024;1173
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;1. čtvrtletí 2024;1236
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;4. čtvrtletí 2023;964
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;3. čtvrtletí 2023;816
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;2. čtvrtletí 2023;1036
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;1. čtvrtletí 2023;1066
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;4. čtvrtletí 2022;759
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;3. čtvrtletí 2022;694
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;2. čtvrtletí 2022;961
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;1. čtvrtletí 2022;952
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;4. čtvrtletí 2021;687
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;1. čtvrtletí 2025;1727
