Kategorie,Ukazatel,Měsíce,Území,value
Hotely a penziony,Čisté využití lůžek (%),březen 2024,Ústecký kraj,19.3569405331
Hotely a penziony,Čisté využití lůžek (%),březen 2024,Liberecký kraj,22.8320758249
Hotely a penziony,Čisté využití lůžek (%),březen 2024,Královéhradecký kraj,25.0641771196
Hotely a penziony,Čisté využití lůžek (%),březen 2024,Pardubický kraj,21.9244898716
Hotely a penziony,Čisté využití lůžek (%),březen 2024,Kraj Vysočina,20.3751774658
Hotely a penziony,Čisté využití lůžek (%),březen 2024,Jihomoravský kraj,24.7115058747
Hotely a penziony,Čisté využití lůžek (%),březen 2024,Olomoucký kraj,19.6076303022
Hotely a penziony,Čisté využití lůžek (%),březen 2024,Zlínský kraj,26.6291676517
Hotely a penziony,Čisté využití lůžek (%),březen 2024,Moravskoslezský kraj,25.3834634276
Hotely a penziony,Čisté využití lůžek (%),únor 2024,Česko,34.21566859
Hotely a penziony,Čisté využití lůžek (%),únor 2024,Hlavní město Praha,44.6354861287
Hotely a penziony,Čisté využití lůžek (%),únor 2024,Středočeský kraj,22.4730689691
Hotely a penziony,Čisté využití lůžek (%),únor 2024,Jihočeský kraj,24.0418426307
Hotely a penziony,Čisté využití lůžek (%),únor 2024,Plzeňský kraj,28.5457681435
Hotely a penziony,Čisté využití lůžek (%),únor 2024,Karlovarský kraj,44.3093063345
Hotely a penziony,Čisté využití lůžek (%),únor 2024,Ústecký kraj,17.3102987206
Hotely a penziony,Čisté využití lůžek (%),únor 2024,Liberecký kraj,40.0965621641
Hotely a penziony,Čisté využití lůžek (%),únor 2024,Královéhradecký kraj,45.4173884106
Hotely a penziony,Čisté využití lůžek (%),únor 2024,Pardubický kraj,29.7899409763
Hotely a penziony,Čisté využití lůžek (%),únor 2024,Kraj Vysočina,22.6356780813
Hotely a penziony,Čisté využití lůžek (%),únor 2024,Jihomoravský kraj,20.9209331515
Hotely a penziony,Čisté využití lůžek (%),únor 2024,Olomoucký kraj,28.0408343927
Hotely a penziony,Čisté využití lůžek (%),únor 2024,Zlínský kraj,26.8379177204
Hotely a penziony,Čisté využití lůžek (%),únor 2024,Moravskoslezský kraj,29.5065168789
Hotely a penziony,Čisté využití lůžek (%),leden 2024,Česko,26.9899189506
Hotely a penziony,Čisté využití lůžek (%),leden 2024,Hlavní město Praha,39.1263482989
Hotely a penziony,Čisté využití lůžek (%),leden 2024,Středočeský kraj,16.943220653
Hotely a penziony,Čisté využití lůžek (%),leden 2024,Jihočeský kraj,16.7935975036
Hotely a penziony,Čisté využití lůžek (%),leden 2024,Plzeňský kraj,23.3158510138
Hotely a penziony,Čisté využití lůžek (%),leden 2024,Karlovarský kraj,32.4060464913
Hotely a penziony,Čisté využití lůžek (%),leden 2024,Ústecký kraj,12.9706035514
Hotely a penziony,Čisté využití lůžek (%),leden 2024,Liberecký kraj,28.7286505248
Hotely a penziony,Čisté využití lůžek (%),leden 2024,Královéhradecký kraj,33.9318292559
Hotely a penziony,Čisté využití lůžek (%),leden 2024,Pardubický kraj,21.4501937445
Hotely a penziony,Čisté využití lůžek (%),leden 2024,Kraj Vysočina,14.629526656
Hotely a penziony,Čisté využití lůžek (%),leden 2024,Jihomoravský kraj,16.7069653317
Hotely a penziony,Čisté využití lůžek (%),leden 2024,Olomoucký kraj,20.0574366282
Hotely a penziony,Čisté využití lůžek (%),leden 2024,Zlínský kraj,18.6937331183
Hotely a penziony,Čisté využití lůžek (%),leden 2024,Moravskoslezský kraj,24.5916444018
Hotely a penziony,Čisté využití lůžek (%),prosinec 2023,Česko,32.4698962942
Hotely a penziony,Čisté využití lůžek (%),prosinec 2023,Hlavní město Praha,64.3711561415
