Kumulace měsíců;Kraje;Ukazatel;Směr výstavby;value
srpen 2024;Ústecký kraj;Počet vydaných stavebních povolení - budovy;Nová výstavba;720
srpen 2024;Ústecký kraj;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;1078
srpen 2024;Ústecký kraj;Počet vydaných stavebních povolení - budovy bytové;Celkem;923
srpen 2024;Ústecký kraj;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;369
srpen 2024;Ústecký kraj;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;554
srpen 2024;Ústecký kraj;Počet vydaných stavebních povolení - budovy nebytové;Celkem;875
srpen 2024;Ústecký kraj;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;351
srpen 2024;Ústecký kraj;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;524
srpen 2024;Ústecký kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;10302
srpen 2024;Ústecký kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;5214
srpen 2024;Ústecký kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;5088
srpen 2024;Ústecký kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;3782
srpen 2024;Ústecký kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;2539
srpen 2024;Ústecký kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;1243
srpen 2024;Ústecký kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;6520
srpen 2024;Ústecký kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;2675
srpen 2024;Ústecký kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;3845
srpen 2024;Liberecký kraj;Počet vydaných stavebních povolení - budovy;Celkem;1118
srpen 2024;Liberecký kraj;Počet vydaných stavebních povolení - budovy;Nová výstavba;502
srpen 2024;Liberecký kraj;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;616
srpen 2024;Liberecký kraj;Počet vydaných stavebních povolení - budovy bytové;Celkem;613
srpen 2024;Liberecký kraj;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;266
srpen 2024;Liberecký kraj;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;347
srpen 2024;Liberecký kraj;Počet vydaných stavebních povolení - budovy nebytové;Celkem;505
srpen 2024;Liberecký kraj;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;236
srpen 2024;Liberecký kraj;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;269
srpen 2024;Liberecký kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;7059
srpen 2024;Liberecký kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;4289
srpen 2024;Liberecký kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;2770
srpen 2024;Liberecký kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;3347
srpen 2024;Liberecký kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;2090
srpen 2024;Liberecký kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;1257
srpen 2024;Liberecký kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;3712
srpen 2024;Liberecký kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;2199
srpen 2024;Liberecký kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;1513
srpen 2024;Královéhradecký kraj;Počet vydaných stavebních povolení - budovy;Celkem;1417
srpen 2024;Královéhradecký kraj;Počet vydaných stavebních povolení - budovy;Nová výstavba;699
srpen 2024;Královéhradecký kraj;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;718
srpen 2024;Královéhradecký kraj;Počet vydaných stavebních povolení - budovy bytové;Celkem;813
srpen 2024;Královéhradecký kraj;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;415
srpen 2024;Královéhradecký kraj;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;398
srpen 2024;Královéhradecký kraj;Počet vydaných stavebních povolení - budovy nebytové;Celkem;604
srpen 2024;Královéhradecký kraj;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;284
srpen 2024;Královéhradecký kraj;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;320
srpen 2024;Královéhradecký kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;10612
srpen 2024;Královéhradecký kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;7207
srpen 2024;Královéhradecký kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;3405
srpen 2024;Královéhradecký kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;4631
srpen 2024;Královéhradecký kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;3286
srpen 2024;Královéhradecký kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;1345
srpen 2024;Královéhradecký kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;5981
srpen 2024;Královéhradecký kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;3921
srpen 2024;Královéhradecký kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;2060
srpen 2024;Pardubický kraj;Počet vydaných stavebních povolení - budovy;Celkem;1418
srpen 2024;Pardubický kraj;Počet vydaných stavebních povolení - budovy;Nová výstavba;652
srpen 2024;Pardubický kraj;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;766
srpen 2024;Pardubický kraj;Počet vydaných stavebních povolení - budovy bytové;Celkem;847
srpen 2024;Pardubický kraj;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;381
srpen 2024;Pardubický kraj;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;466
srpen 2024;Pardubický kraj;Počet vydaných stavebních povolení - budovy nebytové;Celkem;571
srpen 2024;Pardubický kraj;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;271
srpen 2024;Pardubický kraj;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;300
srpen 2024;Pardubický kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;6968
srpen 2024;Pardubický kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;4737
srpen 2024;Pardubický kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;2231
srpen 2024;Pardubický kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;3618
srpen 2024;Pardubický kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;2698
srpen 2024;Pardubický kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;920
srpen 2024;Pardubický kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;3350
srpen 2024;Pardubický kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;2039
srpen 2024;Pardubický kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;1311
srpen 2024;Kraj Vysočina;Počet vydaných stavebních povolení - budovy;Celkem;1865
srpen 2024;Kraj Vysočina;Počet vydaných stavebních povolení - budovy;Nová výstavba;997
srpen 2024;Kraj Vysočina;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;868
srpen 2024;Kraj Vysočina;Počet vydaných stavebních povolení - budovy bytové;Celkem;1024
srpen 2024;Kraj Vysočina;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;520
srpen 2024;Kraj Vysočina;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;504
srpen 2024;Kraj Vysočina;Počet vydaných stavebních povolení - budovy nebytové;Celkem;841
srpen 2024;Kraj Vysočina;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;477
srpen 2024;Kraj Vysočina;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;364
srpen 2024;Kraj Vysočina;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;12806
srpen 2024;Kraj Vysočina;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;8484
srpen 2024;Kraj Vysočina;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;4322
srpen 2024;Kraj Vysočina;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;6586
srpen 2024;Kraj Vysočina;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;4959
srpen 2024;Kraj Vysočina;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;1627
srpen 2024;Kraj Vysočina;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;6220
srpen 2024;Kraj Vysočina;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;3525
srpen 2024;Kraj Vysočina;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;2695
srpen 2024;Jihomoravský kraj;Počet vydaných stavebních povolení - budovy;Celkem;3435
srpen 2024;Jihomoravský kraj;Počet vydaných stavebních povolení - budovy;Nová výstavba;1708
srpen 2024;Jihomoravský kraj;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;1727
srpen 2024;Jihomoravský kraj;Počet vydaných stavebních povolení - budovy bytové;Celkem;2088
srpen 2024;Jihomoravský kraj;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;1001
srpen 2024;Jihomoravský kraj;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;1087
srpen 2024;Jihomoravský kraj;Počet vydaných stavebních povolení - budovy nebytové;Celkem;1347
srpen 2024;Jihomoravský kraj;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;707
srpen 2024;Jihomoravský kraj;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;640
srpen 2024;Jihomoravský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;32099
srpen 2024;Jihomoravský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;24840
srpen 2024;Jihomoravský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;7259
srpen 2024;Jihomoravský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;16448
srpen 2024;Jihomoravský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;12911
srpen 2024;Jihomoravský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;3537
srpen 2024;Jihomoravský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;15651
srpen 2024;Jihomoravský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;11929
srpen 2024;Jihomoravský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;3722
srpen 2024;Olomoucký kraj;Počet vydaných stavebních povolení - budovy;Celkem;1734
srpen 2024;Olomoucký kraj;Počet vydaných stavebních povolení - budovy;Nová výstavba;800
srpen 2024;Olomoucký kraj;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;934
srpen 2024;Olomoucký kraj;Počet vydaných stavebních povolení - budovy bytové;Celkem;965
srpen 2024;Olomoucký kraj;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;445
srpen 2024;Olomoucký kraj;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;520
srpen 2024;Olomoucký kraj;Počet vydaných stavebních povolení - budovy nebytové;Celkem;769
srpen 2024;Olomoucký kraj;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;355
srpen 2024;Olomoucký kraj;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;414
srpen 2024;Olomoucký kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;11657
srpen 2024;Olomoucký kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;7492
srpen 2024;Olomoucký kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;4165
srpen 2024;Olomoucký kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;5977
srpen 2024;Olomoucký kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;4617
srpen 2024;Olomoucký kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;1360
srpen 2024;Olomoucký kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;5680
srpen 2024;Olomoucký kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;2875
srpen 2024;Olomoucký kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;2805
srpen 2024;Zlínský kraj;Počet vydaných stavebních povolení - budovy;Celkem;1641
srpen 2024;Zlínský kraj;Počet vydaných stavebních povolení - budovy;Nová výstavba;841
srpen 2024;Zlínský kraj;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;800
srpen 2024;Zlínský kraj;Počet vydaných stavebních povolení - budovy bytové;Celkem;909
srpen 2024;Zlínský kraj;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;473
srpen 2024;Zlínský kraj;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;436
srpen 2024;Zlínský kraj;Počet vydaných stavebních povolení - budovy nebytové;Celkem;732
srpen 2024;Zlínský kraj;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;368
srpen 2024;Zlínský kraj;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;364
srpen 2024;Zlínský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;10476
srpen 2024;Zlínský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;6701
srpen 2024;Zlínský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;3775
srpen 2024;Zlínský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;5024
srpen 2024;Zlínský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;3801
srpen 2024;Zlínský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;1223
srpen 2024;Zlínský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;5452
srpen 2024;Zlínský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;2900
srpen 2024;Zlínský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;2552
srpen 2024;Moravskoslezský kraj;Počet vydaných stavebních povolení - budovy;Celkem;2787
srpen 2024;Moravskoslezský kraj;Počet vydaných stavebních povolení - budovy;Nová výstavba;1041
srpen 2024;Moravskoslezský kraj;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;1746
srpen 2024;Moravskoslezský kraj;Počet vydaných stavebních povolení - budovy bytové;Celkem;1684
srpen 2024;Moravskoslezský kraj;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;678
srpen 2024;Moravskoslezský kraj;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;1006
srpen 2024;Moravskoslezský kraj;Počet vydaných stavebních povolení - budovy nebytové;Celkem;1103
srpen 2024;Moravskoslezský kraj;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;363
srpen 2024;Moravskoslezský kraj;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;740
srpen 2024;Moravskoslezský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;25729
srpen 2024;Moravskoslezský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;16618
srpen 2024;Moravskoslezský kraj;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;9111
srpen 2024;Moravskoslezský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;8380
srpen 2024;Moravskoslezský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;6239
srpen 2024;Moravskoslezský kraj;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;2141
srpen 2024;Moravskoslezský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;17349
srpen 2024;Moravskoslezský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;10379
srpen 2024;Moravskoslezský kraj;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;6970
