Roky,Kategorie ubytovacího zařízení,Oblasti destinačního managementu členěné,Ukazatel,value
2024,HUZ celkem,Třeboňsko,Počet hromadných ubytovacích zařízení,180.0
2024,HUZ celkem,Třeboňsko,Počet pokojů v hromadných ubytovacích zařízeních,2914.0
2024,HUZ celkem,Třeboňsko,Počet lůžek v hromadných ubytovacích zařízeních,8061.0
2024,HUZ celkem,Třeboňsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,2382.0
2024,HUZ celkem,Zbirožsko,Počet hromadných ubytovacích zařízení,
2024,HUZ celkem,Zbirožsko,Počet pokojů v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Zbirožsko,Počet lůžek v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Zbirožsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,HUZ celkem,Pobrdí,Počet hromadných ubytovacích zařízení,
2024,HUZ celkem,Pobrdí,Počet pokojů v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Pobrdí,Počet lůžek v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Pobrdí,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,HUZ celkem,Český les,Počet hromadných ubytovacích zařízení,111.0
2024,HUZ celkem,Český les,Počet pokojů v hromadných ubytovacích zařízeních,2317.0
2024,HUZ celkem,Český les,Počet lůžek v hromadných ubytovacích zařízeních,6294.0
2024,HUZ celkem,Český les,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,675.0
2024,HUZ celkem,"Královicko, Střela, Radnicko",Počet hromadných ubytovacích zařízení,
2024,HUZ celkem,"Královicko, Střela, Radnicko",Počet pokojů v hromadných ubytovacích zařízeních,
2024,HUZ celkem,"Královicko, Střela, Radnicko",Počet lůžek v hromadných ubytovacích zařízeních,
2024,HUZ celkem,"Královicko, Střela, Radnicko",Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,HUZ celkem,Pošumaví,Počet hromadných ubytovacích zařízení,
2024,HUZ celkem,Pošumaví,Počet pokojů v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Pošumaví,Počet lůžek v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Pošumaví,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,HUZ celkem,Plzeň a okolí,Počet hromadných ubytovacích zařízení,67.0
2024,HUZ celkem,Plzeň a okolí,Počet pokojů v hromadných ubytovacích zařízeních,2311.0
2024,HUZ celkem,Plzeň a okolí,Počet lůžek v hromadných ubytovacích zařízeních,4846.0
2024,HUZ celkem,Plzeň a okolí,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,523.0
2024,HUZ celkem,Postřelí - Plzeňský kraj,Počet hromadných ubytovacích zařízení,31.0
2024,HUZ celkem,Postřelí - Plzeňský kraj,Počet pokojů v hromadných ubytovacích zařízeních,951.0
2024,HUZ celkem,Postřelí - Plzeňský kraj,Počet lůžek v hromadných ubytovacích zařízeních,3260.0
2024,HUZ celkem,Postřelí - Plzeňský kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,229.0
2024,HUZ celkem,Šumava západ,Počet hromadných ubytovacích zařízení,
2024,HUZ celkem,Šumava západ,Počet pokojů v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Šumava západ,Počet lůžek v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Šumava západ,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,HUZ celkem,Jižní Plzeňsko,Počet hromadných ubytovacích zařízení,
2024,HUZ celkem,Jižní Plzeňsko,Počet pokojů v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Jižní Plzeňsko,Počet lůžek v hromadných ubytovacích zařízeních,
2024,HUZ celkem,Jižní Plzeňsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2024,HUZ celkem,Šumava žije,Počet hromadných ubytovacích zařízení,247.0
2024,HUZ celkem,Šumava žije,Počet pokojů v hromadných ubytovacích zařízeních,3496.0
2024,HUZ celkem,Šumava žije,Počet lůžek v hromadných ubytovacích zařízeních,9793.0
2024,HUZ celkem,Šumava žije,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1033.0
2024,HUZ celkem,Plzeň a okolí jihozápad,Počet hromadných ubytovacích zařízení,27.0
2024,HUZ celkem,Plzeň a okolí jihozápad,Počet pokojů v hromadných ubytovacích zařízeních,366.0
2024,HUZ celkem,Plzeň a okolí jihozápad,Počet lůžek v hromadných ubytovacích zařízeních,1158.0
2024,HUZ celkem,Plzeň a okolí jihozápad,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,422.0
2024,HUZ celkem,Rokycansko - Horažďovicko,Počet hromadných ubytovacích zařízení,70.0
2024,HUZ celkem,Rokycansko - Horažďovicko,Počet pokojů v hromadných ubytovacích zařízeních,1168.0
2024,HUZ celkem,Rokycansko - Horažďovicko,Počet lůžek v hromadných ubytovacích zařízeních,3556.0
2024,HUZ celkem,Rokycansko - Horažďovicko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1024.0
2024,HUZ celkem,Krušnohoří - Karlovarský kraj,Počet hromadných ubytovacích zařízení,143.0
2024,HUZ celkem,Krušnohoří - Karlovarský kraj,Počet pokojů v hromadných ubytovacích zařízeních,2344.0
2024,HUZ celkem,Krušnohoří - Karlovarský kraj,Počet lůžek v hromadných ubytovacích zařízeních,5919.0
2024,HUZ celkem,Krušnohoří - Karlovarský kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,220.0
2024,HUZ celkem,Západočeské lázně,Počet hromadných ubytovacích zařízení,444.0
2024,HUZ celkem,Západočeské lázně,Počet pokojů v hromadných ubytovacích zařízeních,14887.0
2024,HUZ celkem,Západočeské lázně,Počet lůžek v hromadných ubytovacích zařízeních,30866.0
2024,HUZ celkem,Západočeské lázně,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1412.0
2024,HUZ celkem,Postřelí - Karlovarský kraj,Počet hromadných ubytovacích zařízení,22.0
2024,HUZ celkem,Postřelí - Karlovarský kraj,Počet pokojů v hromadných ubytovacích zařízeních,397.0
2024,HUZ celkem,Postřelí - Karlovarský kraj,Počet lůžek v hromadných ubytovacích zařízeních,1064.0
2024,HUZ celkem,Postřelí - Karlovarský kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,107.0
2024,HUZ celkem,České Středohoří,Počet hromadných ubytovacích zařízení,83.0
2024,HUZ celkem,České Středohoří,Počet pokojů v hromadných ubytovacích zařízeních,2417.0
2024,HUZ celkem,České Středohoří,Počet lůžek v hromadných ubytovacích zařízeních,6541.0
2024,HUZ celkem,České Středohoří,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,271.0
2024,HUZ celkem,České Švýcarsko,Počet hromadných ubytovacích zařízení,168.0
2024,HUZ celkem,České Švýcarsko,Počet pokojů v hromadných ubytovacích zařízeních,2401.0
2024,HUZ celkem,České Švýcarsko,Počet lůžek v hromadných ubytovacích zařízeních,7018.0
2024,HUZ celkem,České Švýcarsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,751.0
2024,HUZ celkem,Dolní Poohří,Počet hromadných ubytovacích zařízení,71.0
2024,HUZ celkem,Dolní Poohří,Počet pokojů v hromadných ubytovacích zařízeních,1217.0
2024,HUZ celkem,Dolní Poohří,Počet lůžek v hromadných ubytovacích zařízeních,3449.0
2024,HUZ celkem,Dolní Poohří,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,442.0
2024,HUZ celkem,Krušnohoří - Ústecký kraj,Počet hromadných ubytovacích zařízení,171.0
2024,HUZ celkem,Krušnohoří - Ústecký kraj,Počet pokojů v hromadných ubytovacích zařízeních,3200.0
2024,HUZ celkem,Krušnohoří - Ústecký kraj,Počet lůžek v hromadných ubytovacích zařízeních,7893.0
2024,HUZ celkem,Krušnohoří - Ústecký kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,549.0
