Kategorie;Druh zařízení;ČR, kraje;Roky;Ukazatel;Rezidence;value
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2017;Průměrný počet přenocování ;Celkem;8.7907456202
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2017;Průměrný počet přenocování ;Rezidenti;9.9197669345
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2017;Průměrný počet přenocování ;Nerezidenti;7.4612364376
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2016;Počet hostů;Celkem;780122.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2016;Počet hostů;Rezidenti;438701.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2016;Počet hostů;Nerezidenti;341421.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2016;Počet přenocování;Celkem;7038449.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2016;Počet přenocování;Rezidenti;4464666.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2016;Počet přenocování;Nerezidenti;2573783.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2016;Průměrný počet přenocování ;Celkem;9.022241393
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2016;Průměrný počet přenocování ;Rezidenti;10.1770135012
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2016;Průměrný počet přenocování ;Nerezidenti;7.5384437395
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2015;Počet hostů;Celkem;732276.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2015;Počet hostů;Rezidenti;414141.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2015;Počet hostů;Nerezidenti;318135.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2015;Počet přenocování;Celkem;6646924.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2015;Počet přenocování;Rezidenti;4100279.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2015;Počet přenocování;Nerezidenti;2546645.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2015;Průměrný počet přenocování ;Celkem;9.0770747642
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2015;Průměrný počet přenocování ;Rezidenti;9.9006835836
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2015;Průměrný počet přenocování ;Nerezidenti;8.0049193
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2014;Počet hostů;Celkem;742281.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2014;Počet hostů;Rezidenti;391793.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2014;Počet hostů;Nerezidenti;350488.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2014;Počet přenocování;Celkem;6409326.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2014;Počet přenocování;Rezidenti;3470039.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2014;Počet přenocování;Nerezidenti;2939287.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2014;Průměrný počet přenocování ;Celkem;8.6346356703
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2014;Průměrný počet přenocování ;Rezidenti;8.8568172479
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2014;Průměrný počet přenocování ;Nerezidenti;8.3862700007
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2013;Počet hostů;Celkem;745935.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2013;Počet hostů;Rezidenti;371191.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2013;Počet hostů;Nerezidenti;374744.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2013;Počet přenocování;Celkem;6046764.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2013;Počet přenocování;Rezidenti;2924913.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2013;Počet přenocování;Nerezidenti;3121851.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2013;Průměrný počet přenocování ;Celkem;8.1062880814
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2013;Průměrný počet přenocování ;Rezidenti;7.8798058143
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2013;Průměrný počet přenocování ;Nerezidenti;8.3306230387
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2012;Počet hostů;Celkem;710858.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2012;Počet hostů;Rezidenti;361327.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2012;Počet hostů;Nerezidenti;349531.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2012;Počet přenocování;Celkem;6643959.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2012;Počet přenocování;Rezidenti;3590858.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2012;Počet přenocování;Nerezidenti;3053101.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2012;Průměrný počet přenocování ;Celkem;9.3463940759
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2012;Průměrný počet přenocování ;Rezidenti;9.9379730826
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;2012;Průměrný počet přenocování ;Nerezidenti;8.7348504138
