Stát,Ukazatel,Typ ceny,Měsíce,Typ indexu,Očištění,value
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2025,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",67.14117381
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2025,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",105.33835631
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2025,Meziroční index,Bez očištění,106.9942574668
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2025,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",106.999859699
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2025,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",106.6171202434
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2025,Bazický index (2021 = 100),Bez očištění,59.08593213
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2025,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",58.59943245
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2025,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",105.24847513
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2024,Meziroční index,Bez očištění,110.8536580462
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2024,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",110.8437713154
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2024,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",109.7014801502
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2024,Bazický index (2021 = 100),Bez očištění,108.76886793
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2024,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",111.07877094
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2024,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",106.71274436
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2024,Meziroční index,Bez očištění,102.4491429989
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2024,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",102.4508799211
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2024,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",102.8143426776
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2024,Bazický index (2021 = 100),Bez očištění,125.17352932
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2024,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",124.82493333
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2024,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",100.73617467
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2024,Meziroční index,Bez očištění,97.6777179834
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2024,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",97.6775664692
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2024,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",97.9740504382
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2024,Bazický index (2021 = 100),Bez očištění,120.70567146
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2024,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",119.739894
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2024,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",99.69285394
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2024,Meziroční index,Bez očištění,95.3824520907
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2024,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",93.6170223862
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2024,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",94.1993669456
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2024,Bazický index (2021 = 100),Bez očištění,109.23791161
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2024,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",108.92604872
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2024,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",95.68006787
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2024,Meziroční index,Bez očištění,98.3651868214
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2024,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",100.2157889964
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2024,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",99.5461478215
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2024,Bazický index (2021 = 100),Bez očištění,112.18801604
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2024,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",112.76422746
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2024,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",99.2169335
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2024,Meziroční index,Bez očištění,107.764658649
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2024,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",101.9783059577
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2024,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.7851519217
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2024,Bazický index (2021 = 100),Bez očištění,111.60336167
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2024,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",109.29001931
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2024,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",102.05895111
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2024,Meziroční index,Bez očištění,89.082484999
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2024,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",92.4381177208
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2024,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",92.5530151452
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2024,Bazický index (2021 = 100),Bez očištění,103.95008652
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2024,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",107.00325332
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2024,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",96.43986547
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2024,Meziroční index,Bez očištění,93.6797236037
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2024,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",93.6835455689
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2024,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",93.8824204614
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2024,Bazický index (2021 = 100),Bez očištění,98.95236837
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2024,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",98.67008398
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2024,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",95.13128813
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2024,Meziroční index,Bez očištění,106.8158967896
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2024,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",100.9959276838
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2024,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.7930194779
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2024,Bazický index (2021 = 100),Bez očištění,96.78728244
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2024,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",95.13569882
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2024,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.74337773
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2024,Meziroční index,Bez očištění,88.0376414666
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2024,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",93.1445398105
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2024,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",93.7685012861
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2024,Bazický index (2021 = 100),Bez očištění,80.45059826
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2024,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",83.14229904
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2024,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",97.37221214
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2024,Meziroční index,Bez očištění,103.8171356163
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2024,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",101.9162860203
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2024,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",102.5319132168
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2024,Bazický index (2021 = 100),Bez očištění,67.76048198
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2024,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",66.6840449
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2024,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",104.31284965
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2024,Meziroční index,Bez očištění,93.5053169404
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2024,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",93.5153579639
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2024,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",93.5300048564
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2024,Bazický index (2021 = 100),Bez očištění,55.22346108
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2024,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",54.76589653
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2024,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",98.71629893
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2023,Meziroční index,Bez očištění,93.1708902009
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2023,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",96.6793874994
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2023,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",95.9503356973
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2023,Bazický index (2021 = 100),Bez očištění,98.11933124
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2023,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",100.21200977
Česko,Index stavební produkce - Celkem (%),Stálé ceny,prosinec 2023,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",97.27557387
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2023,Meziroční index,Bez očištění,94.9052969323
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2023,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",94.9138210999
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2023,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",95.3052705891
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2023,Bazický index (2021 = 100),Bez očištění,122.18113852
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2023,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",121.83881039
Česko,Index stavební produkce - Celkem (%),Stálé ceny,listopad 2023,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",97.9787178
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2023,Meziroční index,Bez očištění,103.5155332463
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2023,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",99.7292534586
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2023,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",99.5609013034
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2023,Bazický index (2021 = 100),Bez očištění,123.57544172
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2023,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",122.58689311
Česko,Index stavební produkce - Celkem (%),Stálé ceny,říjen 2023,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.75434566
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2023,Meziroční index,Bez očištění,98.4621591385
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2023,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",100.3151308579
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2023,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",100.6813664832
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2023,Bazický index (2021 = 100),Bez očištění,114.52621443
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2023,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",116.35282339
Česko,Index stavební produkce - Celkem (%),Stálé ceny,září 2023,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.57187991
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2023,Meziroční index,Bez očištění,97.970371786
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2023,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",97.9759193886
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2023,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",97.7358456435
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2023,Bazický index (2021 = 100),Bez očištění,114.05256236
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2023,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",112.52141862
Česko,Index stavební produkce - Celkem (%),Stálé ceny,srpen 2023,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",99.66928472
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2023,Meziroční index,Bez očištění,99.9315809007
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2023,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",99.9276678811
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2023,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",99.8704638642
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2023,Bazický index (2021 = 100),Bez očištění,103.56211681
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2023,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",107.16987136
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červenec 2023,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",100.26899718
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2023,Meziroční index,Bez očištění,99.5360540859
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2023,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",99.524012474
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2023,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",99.5793597475
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2023,Bazický index (2021 = 100),Bez očištění,116.68970227
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2023,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",115.75663369
Česko,Index stavební produkce - Celkem (%),Stálé ceny,červen 2023,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",104.19959341
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2023,Meziroční index,Bez očištění,93.6863217961
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2023,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",95.4135575584
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2023,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",96.0498957969
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2023,Bazický index (2021 = 100),Bez očištění,105.62837353
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2023,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",105.32274732
Česko,Index stavební produkce - Celkem (%),Stálé ceny,květen 2023,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.33024656
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2023,Meziroční index,Bez očištění,90.2412831319
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2023,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",91.9775697347
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2023,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",92.537772095
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2023,Bazický index (2021 = 100),Bez očištění,90.61130913
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2023,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",94.19755925
Česko,Index stavební produkce - Celkem (%),Stálé ceny,duben 2023,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",99.95123266
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2023,Meziroční index,Bez očištění,96.9103712144
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2023,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",96.8027030967
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2023,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",95.8054358562
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2023,Bazický index (2021 = 100),Bez očištění,91.38204627
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2023,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",89.26159194
Česko,Index stavební produkce - Celkem (%),Stálé ceny,březen 2023,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",103.8431998
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2023,Meziroční index,Bez očištění,95.9135922656
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2023,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",95.9135922453
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2023,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",94.0228628776
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2023,Bazický index (2021 = 100),Bez očištění,65.26907295
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2023,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",65.43021484
Česko,Index stavební produkce - Celkem (%),Stálé ceny,únor 2023,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",101.73695816
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2023,Meziroční index,Bez očištění,105.4361468207
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2023,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",103.461040451
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2023,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",102.2168766946
Česko,Index stavební produkce - Celkem (%),Stálé ceny,leden 2023,Bazický index (2021 = 100),Bez očištění,59.05916678
