Území;Ukazatel;Výrobek;Roky;value
Česko;Energetická náročnost na výrobu vybraných výrobků;Železo surové a vysokopecní feroslitiny (provozní spotřeba) (GJ/t);2021;2.268559077
Česko;Energetická náročnost na výrobu vybraných výrobků;Železo surové a vysokopecní feroslitiny (provozní spotřeba) (GJ/t);2020;2.2868506438
Česko;Energetická náročnost na výrobu vybraných výrobků;Železo surové a vysokopecní feroslitiny (provozní spotřeba) (GJ/t);2019;2.2990559408
Česko;Energetická náročnost na výrobu vybraných výrobků;Železo surové a vysokopecní feroslitiny (provozní spotřeba) (GJ/t);2018;2.2272006593
Česko;Energetická náročnost na výrobu vybraných výrobků;Elektroocel z tuhé vsázky (GJ/t);2022;3.2703692978
Česko;Energetická náročnost na výrobu vybraných výrobků;Elektroocel z tuhé vsázky (GJ/t);2021;3.1751492587
Česko;Energetická náročnost na výrobu vybraných výrobků;Elektroocel z tuhé vsázky (GJ/t);2020;3.3411269977
Česko;Energetická náročnost na výrobu vybraných výrobků;Elektroocel z tuhé vsázky (GJ/t);2019;3.614520545
Česko;Energetická náročnost na výrobu vybraných výrobků;Elektroocel z tuhé vsázky (GJ/t);2018;3.7403691888
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelové trubky svařované (GJ/t);2022;0.7859913841
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelové trubky svařované (GJ/t);2021;0.8565929609
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelové trubky svařované (GJ/t);2020;0.7954596317
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelové trubky svařované (GJ/t);2019;0.9145521086
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelové trubky svařované (GJ/t);2018;1.0051568135
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelové trubky (GJ/t);2022;3.61670635
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelové trubky (GJ/t);2021;3.1464472393
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelové trubky (GJ/t);2020;2.985302654
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelové trubky (GJ/t);2019;3.6015209006
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelové trubky (GJ/t);2018;4.0228730919
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocel pásová za studena válcovaná (GJ/t);2022;2.4252643018
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocel pásová za studena válcovaná (GJ/t);2021;2.3605876807
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocel pásová za studena válcovaná (GJ/t);2020;2.2710386353
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocel pásová za studena válcovaná (GJ/t);2019;2.4508626069
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocel pásová za studena válcovaná (GJ/t);2018;2.3258452495
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelový drát (GJ/t);2022;1.456785721
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelový drát (GJ/t);2021;1.5283622007
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelový drát (GJ/t);2020;1.374830149
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelový drát (GJ/t);2019;1.6326131444
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelový drát (GJ/t);2018;1.3948207069
Česko;Energetická náročnost na výrobu vybraných výrobků;Odlitky z litin - elektrické pece (GJ/t);2022;6.94512155
Česko;Energetická náročnost na výrobu vybraných výrobků;Odlitky z litin - elektrické pece (GJ/t);2021;8.5022751086
Česko;Energetická náročnost na výrobu vybraných výrobků;Odlitky z litin - elektrické pece (GJ/t);2020;6.8968515349
Česko;Energetická náročnost na výrobu vybraných výrobků;Odlitky z litin - elektrické pece (GJ/t);2019;6.4484064961
Česko;Energetická náročnost na výrobu vybraných výrobků;Odlitky z litin - elektrické pece (GJ/t);2018;6.5739328199
Česko;Energetická náročnost na výrobu vybraných výrobků;Odlitky z litin - kuplovny a plamenné pece (GJ/t);2022;8.6049295104
Česko;Energetická náročnost na výrobu vybraných výrobků;Odlitky z litin - kuplovny a plamenné pece (GJ/t);2021;10.4906807691
Česko;Energetická náročnost na výrobu vybraných výrobků;Odlitky z litin - kuplovny a plamenné pece (GJ/t);2020;10.9986521138
Česko;Energetická náročnost na výrobu vybraných výrobků;Odlitky z litin - kuplovny a plamenné pece (GJ/t);2019;9.9268945485
Česko;Energetická náročnost na výrobu vybraných výrobků;Odlitky z litin - kuplovny a plamenné pece (GJ/t);2018;9.6570862853
Česko;Energetická náročnost na výrobu vybraných výrobků;Odlitky z ocelí (GJ/t);2022;8.8736029246
Česko;Energetická náročnost na výrobu vybraných výrobků;Odlitky z ocelí (GJ/t);2021;8.871104649
Česko;Energetická náročnost na výrobu vybraných výrobků;Odlitky z ocelí (GJ/t);2020;8.179222344
Česko;Energetická náročnost na výrobu vybraných výrobků;Odlitky z ocelí (GJ/t);2019;8.1113794371
Česko;Energetická náročnost na výrobu vybraných výrobků;Odlitky z ocelí (GJ/t);2018;8.3119588244
Česko;Energetická náročnost na výrobu vybraných výrobků;Výkovky a výlisky z ocelí (GJ/t);2022;5.757682944
Česko;Energetická náročnost na výrobu vybraných výrobků;Výkovky a výlisky z ocelí (GJ/t);2021;6.1595455458
Česko;Energetická náročnost na výrobu vybraných výrobků;Výkovky a výlisky z ocelí (GJ/t);2020;7.0635493489
Česko;Energetická náročnost na výrobu vybraných výrobků;Výkovky a výlisky z ocelí (GJ/t);2019;8.02210983
Česko;Energetická náročnost na výrobu vybraných výrobků;Výkovky a výlisky z ocelí (GJ/t);2018;8.774045782
Česko;Energetická náročnost na výrobu vybraných výrobků;Hliník a slitiny v základních tvarech;2022;6.4421015875
Česko;Energetická náročnost na výrobu vybraných výrobků;Hliník a slitiny v základních tvarech;2021;5.9612811969
Česko;Energetická náročnost na výrobu vybraných výrobků;Hliník a slitiny v základních tvarech;2020;6.1306549071
Česko;Energetická náročnost na výrobu vybraných výrobků;Hliník a slitiny v základních tvarech;2019;5.9198215866
Česko;Energetická náročnost na výrobu vybraných výrobků;Hliník a slitiny v základních tvarech;2018;6.4875919709
Česko;Energetická náročnost na výrobu vybraných výrobků;Kyselina dusičná (GJ/t);2022;1.2961581042
