Roky,Ukazatel,"ČR, kraje",value
2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,Ústecký kraj,1249.4866494672
2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,Liberecký kraj,1072.4949272789
2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,Královéhradecký kraj,1062.3362543465
2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,Pardubický kraj,1158.7362502802
2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,Kraj Vysočina,1074.9858039424
2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,Jihomoravský kraj,1202.9259400028
2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,Olomoucký kraj,1042.7500342347
2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,Zlínský kraj,1156.587236779
2023,Přímé náklady - mzdy za vykonanou práci - odměny podle výsledků hospodaření,Moravskoslezský kraj,1080.4065323923
2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Česko,165.8748908587
2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Hlavní město Praha,275.173989752
2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Středočeský kraj,137.9914426295
2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Jihočeský kraj,101.7645751427
2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Plzeňský kraj,96.7851064508
2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Karlovarský kraj,85.2219284928
2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Ústecký kraj,210.6357776375
2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Liberecký kraj,140.9932353282
2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Královéhradecký kraj,47.0588160622
2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Pardubický kraj,91.8488804693
2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Kraj Vysočina,67.9755341165
2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Jihomoravský kraj,137.2201970918
2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Olomoucký kraj,95.4209858876
2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Zlínský kraj,114.4294758761
2023,Přímé náklady - mzdy za vykonanou práci - odměny hrazené ze zisku,Moravskoslezský kraj,111.2684243124
2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Česko,368.3208224626
2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Hlavní město Praha,433.9331842454
2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Středočeský kraj,671.7978530463
2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Jihočeský kraj,474.3796189415
2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Plzeňský kraj,262.8911355346
2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Karlovarský kraj,193.8056169197
2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Ústecký kraj,339.2847081167
2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Liberecký kraj,328.3809590194
2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Královéhradecký kraj,346.9341924555
2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Pardubický kraj,202.8189715154
2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Kraj Vysočina,438.3676875257
2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Jihomoravský kraj,214.3751171263
2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Olomoucký kraj,209.7590503468
2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Zlínský kraj,345.9441719572
2023,Přímé náklady - mzdy za vykonanou práci - mimořádné výplaty (včetně dalšího platu),Moravskoslezský kraj,209.8100454568
2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Česko,279.2801057676
2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Hlavní město Praha,284.0662800099
2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Středočeský kraj,280.1420225659
2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Jihočeský kraj,342.7313372873
2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Plzeňský kraj,294.8656705883
2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Karlovarský kraj,240.3479154147
2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Ústecký kraj,341.288782224
2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Liberecký kraj,251.4740197101
2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Královéhradecký kraj,413.8695093365
2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Pardubický kraj,226.4401476079
2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Kraj Vysočina,274.0545255393
2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Jihomoravský kraj,232.643240616
2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Olomoucký kraj,214.9562157197
2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Zlínský kraj,222.8309934392
2023,Přímé náklady - mzdy za vykonanou práci - příplatky za přesčasovou práci,Moravskoslezský kraj,280.9389304596
2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Česko,2380.7446664601
2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Hlavní město Praha,2534.1623801816
2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Středočeský kraj,2102.5329330926
2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Jihočeský kraj,2206.2767961444
2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Plzeňský kraj,2371.802776346
2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Karlovarský kraj,2270.9519473127
2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Ústecký kraj,2629.2380609362
2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Liberecký kraj,2370.4544266245
2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Královéhradecký kraj,2414.9240473371
2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Pardubický kraj,1876.3297585723
2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Kraj Vysočina,2291.0733668047
2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Jihomoravský kraj,2383.4622365601
2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Olomoucký kraj,2557.3118467139
2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Zlínský kraj,2040.0284135185
2023,Přímé náklady - mzdy za vykonanou práci - ostatní příplatky (mzdová zvýhodnění) a doplatky,Moravskoslezský kraj,2455.3253232443
2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,Česko,46.6030455669
2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,Hlavní město Praha,72.6849177107
2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,Středočeský kraj,78.5685339793
2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,Jihočeský kraj,27.1929254482
2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,Plzeňský kraj,32.3214314228
2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,Karlovarský kraj,21.1752218497
2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,Ústecký kraj,22.260573575
2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,Liberecký kraj,41.519904975
2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,Královéhradecký kraj,30.2770183535
2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,Pardubický kraj,30.6790313437
2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,Kraj Vysočina,15.7238420458
2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,Jihomoravský kraj,31.0441553306
2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,Olomoucký kraj,21.8954108044
2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,Zlínský kraj,19.2248945973
2023,Přímé náklady - mzdy za vykonanou práci - naturální mzdy vyjádřené v penězích,Moravskoslezský kraj,32.5349289298
2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,Česko,139.9624526011
2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,Hlavní město Praha,153.7701084951
2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,Středočeský kraj,87.9469777801
2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,Jihočeský kraj,106.1905385435
2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,Plzeňský kraj,128.804715683
2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,Karlovarský kraj,148.3280779772
2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,Ústecký kraj,178.3024273309
2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,Liberecký kraj,118.398937072
2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,Královéhradecký kraj,131.4676432567
2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,Pardubický kraj,98.2561072055
2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,Kraj Vysočina,134.9923033206
2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,Jihomoravský kraj,135.8239091248
2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,Olomoucký kraj,159.1250456345
2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,Zlínský kraj,106.1477768085
2023,Přímé náklady - mzdy za vykonanou práci - odměny za pracovní pohotovost,Moravskoslezský kraj,191.99534404
2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,Česko,503.5087411386
2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,Hlavní město Praha,511.2704537616
2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,Středočeský kraj,1189.4129686935
2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,Jihočeský kraj,306.4310899137
2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,Plzeňský kraj,487.8207583287
2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,Karlovarský kraj,555.4685608804
2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,Ústecký kraj,392.1262713681
2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,Liberecký kraj,522.8553251361
2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,Královéhradecký kraj,266.3307823749
2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,Pardubický kraj,344.8494309276
2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,Kraj Vysočina,436.1264534801
2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,Jihomoravský kraj,377.7646943104
2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,Olomoucký kraj,275.3101219504
2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,Zlínský kraj,301.8792647171
2023,Přímé náklady - mzdy za vykonanou práci - ostatní mzdy,Moravskoslezský kraj,467.6772051471
2023,Přímé náklady - náhrady mzdy,Česko,4819.8683404115
2023,Přímé náklady - náhrady mzdy,Hlavní město Praha,5313.9641767574
2023,Přímé náklady - náhrady mzdy,Středočeský kraj,5193.0601970629
2023,Přímé náklady - náhrady mzdy,Jihočeský kraj,4485.1106920454
2023,Přímé náklady - náhrady mzdy,Plzeňský kraj,4626.0087627571
2023,Přímé náklady - náhrady mzdy,Karlovarský kraj,4168.2215554169
2023,Přímé náklady - náhrady mzdy,Ústecký kraj,4620.3690044473
2023,Přímé náklady - náhrady mzdy,Liberecký kraj,4479.7063041992
2023,Přímé náklady - náhrady mzdy,Královéhradecký kraj,4467.8887612947
2023,Přímé náklady - náhrady mzdy,Pardubický kraj,4451.6748918996
2023,Přímé náklady - náhrady mzdy,Kraj Vysočina,4556.4990365831
2023,Přímé náklady - náhrady mzdy,Jihomoravský kraj,4634.009152673
2023,Přímé náklady - náhrady mzdy,Olomoucký kraj,4446.353938054
2023,Přímé náklady - náhrady mzdy,Zlínský kraj,4468.4516151762
2023,Přímé náklady - náhrady mzdy,Moravskoslezský kraj,4373.1051791196
2023,Přímé náklady - náhrady mzdy - za dovolenou,Česko,4033.3630983355
2023,Přímé náklady - náhrady mzdy - za dovolenou,Hlavní město Praha,4544.8179337345
2023,Přímé náklady - náhrady mzdy - za dovolenou,Středočeský kraj,4193.8872210041
2023,Přímé náklady - náhrady mzdy - za dovolenou,Jihočeský kraj,3691.7958062697
2023,Přímé náklady - náhrady mzdy - za dovolenou,Plzeňský kraj,3877.8385658503
2023,Přímé náklady - náhrady mzdy - za dovolenou,Karlovarský kraj,3497.3802612211
2023,Přímé náklady - náhrady mzdy - za dovolenou,Ústecký kraj,3887.6132194814
2023,Přímé náklady - náhrady mzdy - za dovolenou,Liberecký kraj,3724.3074380104
2023,Přímé náklady - náhrady mzdy - za dovolenou,Královéhradecký kraj,3723.4349723041
2023,Přímé náklady - náhrady mzdy - za dovolenou,Pardubický kraj,3613.943065038
2023,Přímé náklady - náhrady mzdy - za dovolenou,Kraj Vysočina,3713.994148695
2023,Přímé náklady - náhrady mzdy - za dovolenou,Jihomoravský kraj,3914.9528512831
2023,Přímé náklady - náhrady mzdy - za dovolenou,Olomoucký kraj,3640.014570804
2023,Přímé náklady - náhrady mzdy - za dovolenou,Zlínský kraj,3657.9057536076
2023,Přímé náklady - náhrady mzdy - za dovolenou,Moravskoslezský kraj,3643.1307772892
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,Česko,101.7300159282
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,Hlavní město Praha,85.2978453851
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,Středočeský kraj,314.0953230941
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,Jihočeský kraj,61.834469858
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,Plzeňský kraj,99.5042683115
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,Karlovarský kraj,33.5884454601
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,Ústecký kraj,79.6363571956
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,Liberecký kraj,53.4467301921
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,Královéhradecký kraj,65.9646857483
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,Pardubický kraj,75.6566094854
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,Kraj Vysočina,94.0819171904
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,Jihomoravský kraj,77.9403594682
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,Olomoucký kraj,88.742812081
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,Zlínský kraj,61.8039014317
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnavatele,Moravskoslezský kraj,80.0552121574
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,Česko,305.2023109012
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,Hlavní město Praha,354.2809661858
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,Středočeský kraj,321.6803693033
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,Jihočeský kraj,269.2994678985
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,Plzeňský kraj,250.9595360193
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,Karlovarský kraj,277.1532956984
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,Ústecký kraj,320.3283150863
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,Liberecký kraj,255.5386743117
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,Královéhradecký kraj,298.9108284661
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,Pardubický kraj,305.8432315509
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,Kraj Vysočina,255.2319313827
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,Jihomoravský kraj,258.1824314754
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,Olomoucký kraj,257.9204700105
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,Zlínský kraj,284.2351904225
2023,Přímé náklady - náhrady mzdy - při překážkách na straně zaměstnance,Moravskoslezský kraj,292.6703236133
2023,Přímé náklady - náhrady mzdy - za svátky,Česko,379.5729152467
2023,Přímé náklady - náhrady mzdy - za svátky,Hlavní město Praha,329.567431452
2023,Přímé náklady - náhrady mzdy - za svátky,Středočeský kraj,363.3972836614
2023,Přímé náklady - náhrady mzdy - za svátky,Jihočeský kraj,462.1809480193
2023,Přímé náklady - náhrady mzdy - za svátky,Plzeňský kraj,397.706392576
2023,Přímé náklady - náhrady mzdy - za svátky,Karlovarský kraj,360.0995530373
2023,Přímé náklady - náhrady mzdy - za svátky,Ústecký kraj,332.791112684
2023,Přímé náklady - náhrady mzdy - za svátky,Liberecký kraj,446.4134616851
2023,Přímé náklady - náhrady mzdy - za svátky,Královéhradecký kraj,379.5782747763
2023,Přímé náklady - náhrady mzdy - za svátky,Pardubický kraj,456.2319858253
2023,Přímé náklady - náhrady mzdy - za svátky,Kraj Vysočina,493.191039315
2023,Přímé náklady - náhrady mzdy - za svátky,Jihomoravský kraj,382.9335104463
2023,Přímé náklady - náhrady mzdy - za svátky,Olomoucký kraj,459.6760851585
2023,Přímé náklady - náhrady mzdy - za svátky,Zlínský kraj,464.5067697145
2023,Přímé náklady - náhrady mzdy - za svátky,Moravskoslezský kraj,357.2488660598
2023,Nepřímé náklady celkem,Česko,16648.8013476711
2023,Nepřímé náklady celkem,Hlavní město Praha,19708.1949747656
2023,Nepřímé náklady celkem,Středočeský kraj,17009.0476601725
2023,Nepřímé náklady celkem,Jihočeský kraj,14587.9549641898
2023,Nepřímé náklady celkem,Plzeňský kraj,15631.8239850707
2023,Nepřímé náklady celkem,Karlovarský kraj,13771.5473485082
2023,Nepřímé náklady celkem,Ústecký kraj,15532.6720551234
2023,Nepřímé náklady celkem,Liberecký kraj,14804.8581147486
2023,Nepřímé náklady celkem,Královéhradecký kraj,14960.7469755481
2023,Nepřímé náklady celkem,Pardubický kraj,14608.5145907696
2023,Nepřímé náklady celkem,Kraj Vysočina,14940.3395975122
2023,Nepřímé náklady celkem,Jihomoravský kraj,15721.7863197201
2023,Nepřímé náklady celkem,Olomoucký kraj,14478.8509715031
2023,Nepřímé náklady celkem,Zlínský kraj,14780.3345203591
2023,Nepřímé náklady celkem,Moravskoslezský kraj,14694.4527913101
2023,Nepřímé náklady - sociální požitky,Česko,677.3457695113
2023,Nepřímé náklady - sociální požitky,Hlavní město Praha,981.0430774323
