Tříleté období,Území,Ukazatel,Druh nemovitosti,value
2017-2019,Plzeňský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Bytové domy [Kč/m3],2000.0
2017-2019,Plzeňský kraj,Průměrné opotřebení starší nemovitosti,Rodinné domy [Kč/m3],34.1
2017-2019,Plzeňský kraj,Průměrné opotřebení starší nemovitosti,Byty [Kč/m2],7.9
2017-2019,Plzeňský kraj,Průměrné opotřebení starší nemovitosti,Bytové domy [Kč/m3],60.4
2017-2019,Karlovarský kraj,Průměrná jednotková kupní cena nemovitosti,Rodinné domy [Kč/m3],2506.0
2017-2019,Karlovarský kraj,Průměrná jednotková kupní cena nemovitosti,Byty [Kč/m2],14785.0
2017-2019,Karlovarský kraj,Průměrná jednotková kupní cena nemovitosti,Bytové domy [Kč/m3],2445.0
2017-2019,Karlovarský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Rodinné domy [Kč/m3],1908.0
2017-2019,Karlovarský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Byty [Kč/m2],11526.0
2017-2019,Karlovarský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Bytové domy [Kč/m3],2253.0
2017-2019,Karlovarský kraj,Průměrné opotřebení starší nemovitosti,Rodinné domy [Kč/m3],33.9
2017-2019,Karlovarský kraj,Průměrné opotřebení starší nemovitosti,Byty [Kč/m2],10.9
2017-2019,Karlovarský kraj,Průměrné opotřebení starší nemovitosti,Bytové domy [Kč/m3],60.4
2017-2019,Ústecký kraj,Průměrná jednotková kupní cena nemovitosti,Rodinné domy [Kč/m3],2069.0
2017-2019,Ústecký kraj,Průměrná jednotková kupní cena nemovitosti,Byty [Kč/m2],9019.0
2017-2019,Ústecký kraj,Průměrná jednotková kupní cena nemovitosti,Bytové domy [Kč/m3],1891.0
2017-2019,Ústecký kraj,Průměrná jednotková odhadní cena starší nemovitosti,Rodinné domy [Kč/m3],1437.0
2017-2019,Ústecký kraj,Průměrná jednotková odhadní cena starší nemovitosti,Byty [Kč/m2],6368.0
2017-2019,Ústecký kraj,Průměrná jednotková odhadní cena starší nemovitosti,Bytové domy [Kč/m3],1756.0
2017-2019,Ústecký kraj,Průměrné opotřebení starší nemovitosti,Rodinné domy [Kč/m3],40.0
2017-2019,Ústecký kraj,Průměrné opotřebení starší nemovitosti,Byty [Kč/m2],9.9
2017-2019,Ústecký kraj,Průměrné opotřebení starší nemovitosti,Bytové domy [Kč/m3],61.9
2017-2019,Liberecký kraj,Průměrná jednotková kupní cena nemovitosti,Rodinné domy [Kč/m3],2484.0
2017-2019,Liberecký kraj,Průměrná jednotková kupní cena nemovitosti,Byty [Kč/m2],20122.0
2017-2019,Liberecký kraj,Průměrná jednotková kupní cena nemovitosti,Bytové domy [Kč/m3],1978.0
2017-2019,Liberecký kraj,Průměrná jednotková odhadní cena starší nemovitosti,Rodinné domy [Kč/m3],1696.0
2017-2019,Liberecký kraj,Průměrná jednotková odhadní cena starší nemovitosti,Byty [Kč/m2],14533.0
2017-2019,Liberecký kraj,Průměrná jednotková odhadní cena starší nemovitosti,Bytové domy [Kč/m3],1883.0
2017-2019,Liberecký kraj,Průměrné opotřebení starší nemovitosti,Rodinné domy [Kč/m3],38.8
2017-2019,Liberecký kraj,Průměrné opotřebení starší nemovitosti,Byty [Kč/m2],10.8
2017-2019,Liberecký kraj,Průměrné opotřebení starší nemovitosti,Bytové domy [Kč/m3],62.2
2017-2019,Královéhradecký kraj,Průměrná jednotková kupní cena nemovitosti,Rodinné domy [Kč/m3],2410.0
2017-2019,Královéhradecký kraj,Průměrná jednotková kupní cena nemovitosti,Byty [Kč/m2],22980.0
2017-2019,Královéhradecký kraj,Průměrná jednotková kupní cena nemovitosti,Bytové domy [Kč/m3],2003.0
2017-2019,Královéhradecký kraj,Průměrná jednotková odhadní cena starší nemovitosti,Rodinné domy [Kč/m3],1641.0
2017-2019,Královéhradecký kraj,Průměrná jednotková odhadní cena starší nemovitosti,Byty [Kč/m2],18024.0
2017-2019,Královéhradecký kraj,Průměrná jednotková odhadní cena starší nemovitosti,Bytové domy [Kč/m3],1752.0
2017-2019,Královéhradecký kraj,Průměrné opotřebení starší nemovitosti,Rodinné domy [Kč/m3],35.9
2017-2019,Královéhradecký kraj,Průměrné opotřebení starší nemovitosti,Byty [Kč/m2],12.0
2017-2019,Královéhradecký kraj,Průměrné opotřebení starší nemovitosti,Bytové domy [Kč/m3],61.0
2017-2019,Pardubický kraj,Průměrná jednotková kupní cena nemovitosti,Rodinné domy [Kč/m3],1985.0
2017-2019,Pardubický kraj,Průměrná jednotková kupní cena nemovitosti,Byty [Kč/m2],24225.0
2017-2019,Pardubický kraj,Průměrná jednotková kupní cena nemovitosti,Bytové domy [Kč/m3],1740.0
2017-2019,Pardubický kraj,Průměrná jednotková odhadní cena starší nemovitosti,Rodinné domy [Kč/m3],1340.0
2017-2019,Pardubický kraj,Průměrná jednotková odhadní cena starší nemovitosti,Byty [Kč/m2],17918.0
2017-2019,Pardubický kraj,Průměrná jednotková odhadní cena starší nemovitosti,Bytové domy [Kč/m3],1780.0
2017-2019,Pardubický kraj,Průměrné opotřebení starší nemovitosti,Rodinné domy [Kč/m3],39.3
2017-2019,Pardubický kraj,Průměrné opotřebení starší nemovitosti,Byty [Kč/m2],10.1
2017-2019,Pardubický kraj,Průměrné opotřebení starší nemovitosti,Bytové domy [Kč/m3],61.6
2017-2019,Kraj Vysočina,Průměrná jednotková kupní cena nemovitosti,Rodinné domy [Kč/m3],2045.0
2017-2019,Kraj Vysočina,Průměrná jednotková kupní cena nemovitosti,Byty [Kč/m2],21701.0
2017-2019,Kraj Vysočina,Průměrná jednotková kupní cena nemovitosti,Bytové domy [Kč/m3],1772.0
2017-2019,Kraj Vysočina,Průměrná jednotková odhadní cena starší nemovitosti,Rodinné domy [Kč/m3],1312.0
2017-2019,Kraj Vysočina,Průměrná jednotková odhadní cena starší nemovitosti,Byty [Kč/m2],16429.0
2017-2019,Kraj Vysočina,Průměrná jednotková odhadní cena starší nemovitosti,Bytové domy [Kč/m3],1710.0
2017-2019,Kraj Vysočina,Průměrné opotřebení starší nemovitosti,Rodinné domy [Kč/m3],37.2
2017-2019,Kraj Vysočina,Průměrné opotřebení starší nemovitosti,Byty [Kč/m2],6.3
2017-2019,Kraj Vysočina,Průměrné opotřebení starší nemovitosti,Bytové domy [Kč/m3],60.6
2017-2019,Jihomoravský kraj,Průměrná jednotková kupní cena nemovitosti,Rodinné domy [Kč/m3],2873.0
2017-2019,Jihomoravský kraj,Průměrná jednotková kupní cena nemovitosti,Byty [Kč/m2],36603.0
2017-2019,Jihomoravský kraj,Průměrná jednotková kupní cena nemovitosti,Bytové domy [Kč/m3],3912.0
2017-2019,Jihomoravský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Rodinné domy [Kč/m3],1994.0
2017-2019,Jihomoravský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Byty [Kč/m2],30005.0
2017-2019,Jihomoravský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Bytové domy [Kč/m3],3105.0
2017-2019,Jihomoravský kraj,Průměrné opotřebení starší nemovitosti,Rodinné domy [Kč/m3],33.5
2017-2019,Jihomoravský kraj,Průměrné opotřebení starší nemovitosti,Byty [Kč/m2],7.3
2017-2019,Jihomoravský kraj,Průměrné opotřebení starší nemovitosti,Bytové domy [Kč/m3],56.5
2017-2019,Olomoucký kraj,Průměrná jednotková kupní cena nemovitosti,Rodinné domy [Kč/m3],2134.0
2017-2019,Olomoucký kraj,Průměrná jednotková kupní cena nemovitosti,Byty [Kč/m2],21070.0
2017-2019,Olomoucký kraj,Průměrná jednotková kupní cena nemovitosti,Bytové domy [Kč/m3],2034.0
2017-2019,Olomoucký kraj,Průměrná jednotková odhadní cena starší nemovitosti,Rodinné domy [Kč/m3],1631.0
2017-2019,Olomoucký kraj,Průměrná jednotková odhadní cena starší nemovitosti,Byty [Kč/m2],15826.0
2017-2019,Olomoucký kraj,Průměrná jednotková odhadní cena starší nemovitosti,Bytové domy [Kč/m3],1781.0
2017-2019,Olomoucký kraj,Průměrné opotřebení starší nemovitosti,Rodinné domy [Kč/m3],39.9
2017-2019,Olomoucký kraj,Průměrné opotřebení starší nemovitosti,Byty [Kč/m2],10.5
2017-2019,Olomoucký kraj,Průměrné opotřebení starší nemovitosti,Bytové domy [Kč/m3],62.0
2017-2019,Zlínský kraj,Průměrná jednotková kupní cena nemovitosti,Rodinné domy [Kč/m3],2504.0
2017-2019,Zlínský kraj,Průměrná jednotková kupní cena nemovitosti,Byty [Kč/m2],22981.0
2017-2019,Zlínský kraj,Průměrná jednotková kupní cena nemovitosti,Bytové domy [Kč/m3],1958.0
2017-2019,Zlínský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Rodinné domy [Kč/m3],1747.0
2017-2019,Zlínský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Byty [Kč/m2],17229.0
2017-2019,Zlínský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Bytové domy [Kč/m3],1957.0
2017-2019,Zlínský kraj,Průměrné opotřebení starší nemovitosti,Rodinné domy [Kč/m3],28.1
2017-2019,Zlínský kraj,Průměrné opotřebení starší nemovitosti,Byty [Kč/m2],8.7
2017-2019,Zlínský kraj,Průměrné opotřebení starší nemovitosti,Bytové domy [Kč/m3],57.9
2017-2019,Moravskoslezský kraj,Průměrná jednotková kupní cena nemovitosti,Rodinné domy [Kč/m3],2365.0
2017-2019,Moravskoslezský kraj,Průměrná jednotková kupní cena nemovitosti,Byty [Kč/m2],17136.0
2017-2019,Moravskoslezský kraj,Průměrná jednotková kupní cena nemovitosti,Bytové domy [Kč/m3],1844.0
2017-2019,Moravskoslezský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Rodinné domy [Kč/m3],1739.0
2017-2019,Moravskoslezský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Byty [Kč/m2],12955.0
2017-2019,Moravskoslezský kraj,Průměrná jednotková odhadní cena starší nemovitosti,Bytové domy [Kč/m3],1754.0
2017-2019,Moravskoslezský kraj,Průměrné opotřebení starší nemovitosti,Rodinné domy [Kč/m3],32.1
2017-2019,Moravskoslezský kraj,Průměrné opotřebení starší nemovitosti,Byty [Kč/m2],9.9
2017-2019,Moravskoslezský kraj,Průměrné opotřebení starší nemovitosti,Bytové domy [Kč/m3],59.5
