Ukazatel;Roky;Území;Kategorie ubytovacího zařízení;value
Počet hromadných ubytovacích zařízení;2023;Rakovník;Kemp;12.0
Počet hromadných ubytovacích zařízení;2023;Rakovník;Chatová osada;2.0
Počet hromadných ubytovacích zařízení;2023;Rakovník;Turistická ubytovna;4.0
Počet hromadných ubytovacích zařízení;2023;Rakovník;Ostatní HUZ;12.0
Počet hromadných ubytovacích zařízení;2023;České Budějovice;HUZ celkem;164.0
Počet hromadných ubytovacích zařízení;2023;České Budějovice;Hotel *****;2.0
Počet hromadných ubytovacích zařízení;2023;České Budějovice;Hotel, motel, botel ****;12.0
Počet hromadných ubytovacích zařízení;2023;České Budějovice;Hotel, motel, botel ***;23.0
Počet hromadných ubytovacích zařízení;2023;České Budějovice;Hotel, motel, botel **;
Počet hromadných ubytovacích zařízení;2023;České Budějovice;Hotel, motel, botel *;2.0
Počet hromadných ubytovacích zařízení;2023;České Budějovice;Hotel garni;2.0
Počet hromadných ubytovacích zařízení;2023;České Budějovice;Penzion;77.0
Počet hromadných ubytovacích zařízení;2023;České Budějovice;Kemp;15.0
Počet hromadných ubytovacích zařízení;2023;České Budějovice;Chatová osada;4.0
Počet hromadných ubytovacích zařízení;2023;České Budějovice;Turistická ubytovna;10.0
Počet hromadných ubytovacích zařízení;2023;České Budějovice;Ostatní HUZ;17.0
Počet hromadných ubytovacích zařízení;2023;Český Krumlov;HUZ celkem;332.0
Počet hromadných ubytovacích zařízení;2023;Český Krumlov;Hotel *****;1.0
Počet hromadných ubytovacích zařízení;2023;Český Krumlov;Hotel, motel, botel ****;16.0
Počet hromadných ubytovacích zařízení;2023;Český Krumlov;Hotel, motel, botel ***;37.0
Počet hromadných ubytovacích zařízení;2023;Český Krumlov;Hotel, motel, botel **;3.0
Počet hromadných ubytovacích zařízení;2023;Český Krumlov;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Český Krumlov;Hotel garni;8.0
Počet hromadných ubytovacích zařízení;2023;Český Krumlov;Penzion;166.0
Počet hromadných ubytovacích zařízení;2023;Český Krumlov;Kemp;27.0
Počet hromadných ubytovacích zařízení;2023;Český Krumlov;Chatová osada;13.0
Počet hromadných ubytovacích zařízení;2023;Český Krumlov;Turistická ubytovna;15.0
Počet hromadných ubytovacích zařízení;2023;Český Krumlov;Ostatní HUZ;46.0
Počet hromadných ubytovacích zařízení;2023;Jindřichův Hradec;HUZ celkem;312.0
Počet hromadných ubytovacích zařízení;2023;Jindřichův Hradec;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Jindřichův Hradec;Hotel, motel, botel ****;5.0
Počet hromadných ubytovacích zařízení;2023;Jindřichův Hradec;Hotel, motel, botel ***;17.0
Počet hromadných ubytovacích zařízení;2023;Jindřichův Hradec;Hotel, motel, botel **;4.0
Počet hromadných ubytovacích zařízení;2023;Jindřichův Hradec;Hotel, motel, botel *;4.0
Počet hromadných ubytovacích zařízení;2023;Jindřichův Hradec;Hotel garni;3.0
Počet hromadných ubytovacích zařízení;2023;Jindřichův Hradec;Penzion;174.0
Počet hromadných ubytovacích zařízení;2023;Jindřichův Hradec;Kemp;37.0
Počet hromadných ubytovacích zařízení;2023;Jindřichův Hradec;Chatová osada;14.0
Počet hromadných ubytovacích zařízení;2023;Jindřichův Hradec;Turistická ubytovna;13.0
Počet hromadných ubytovacích zařízení;2023;Jindřichův Hradec;Ostatní HUZ;41.0
Počet hromadných ubytovacích zařízení;2023;Písek;HUZ celkem;90.0
Počet hromadných ubytovacích zařízení;2023;Písek;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Písek;Hotel, motel, botel ****;3.0
Počet hromadných ubytovacích zařízení;2023;Písek;Hotel, motel, botel ***;11.0
Počet hromadných ubytovacích zařízení;2023;Písek;Hotel, motel, botel **;4.0
Počet hromadných ubytovacích zařízení;2023;Písek;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Písek;Hotel garni;1.0
Počet hromadných ubytovacích zařízení;2023;Písek;Penzion;26.0
Počet hromadných ubytovacích zařízení;2023;Písek;Kemp;14.0
Počet hromadných ubytovacích zařízení;2023;Písek;Chatová osada;8.0
Počet hromadných ubytovacích zařízení;2023;Písek;Turistická ubytovna;4.0
Počet hromadných ubytovacích zařízení;2023;Písek;Ostatní HUZ;19.0
Počet hromadných ubytovacích zařízení;2023;Prachatice;HUZ celkem;205.0
Počet hromadných ubytovacích zařízení;2023;Prachatice;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Prachatice;Hotel, motel, botel ****;3.0
Počet hromadných ubytovacích zařízení;2023;Prachatice;Hotel, motel, botel ***;25.0
Počet hromadných ubytovacích zařízení;2023;Prachatice;Hotel, motel, botel **;2.0
Počet hromadných ubytovacích zařízení;2023;Prachatice;Hotel, motel, botel *;1.0
Počet hromadných ubytovacích zařízení;2023;Prachatice;Hotel garni;
Počet hromadných ubytovacích zařízení;2023;Prachatice;Penzion;112.0
Počet hromadných ubytovacích zařízení;2023;Prachatice;Kemp;10.0
Počet hromadných ubytovacích zařízení;2023;Prachatice;Chatová osada;5.0
Počet hromadných ubytovacích zařízení;2023;Prachatice;Turistická ubytovna;15.0
Počet hromadných ubytovacích zařízení;2023;Prachatice;Ostatní HUZ;32.0
Počet hromadných ubytovacích zařízení;2023;Strakonice;HUZ celkem;59.0
Počet hromadných ubytovacích zařízení;2023;Strakonice;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Strakonice;Hotel, motel, botel ****;2.0
Počet hromadných ubytovacích zařízení;2023;Strakonice;Hotel, motel, botel ***;5.0
Počet hromadných ubytovacích zařízení;2023;Strakonice;Hotel, motel, botel **;
Počet hromadných ubytovacích zařízení;2023;Strakonice;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Strakonice;Hotel garni;2.0
Počet hromadných ubytovacích zařízení;2023;Strakonice;Penzion;19.0
Počet hromadných ubytovacích zařízení;2023;Strakonice;Kemp;13.0
Počet hromadných ubytovacích zařízení;2023;Strakonice;Chatová osada;4.0
Počet hromadných ubytovacích zařízení;2023;Strakonice;Turistická ubytovna;3.0
Počet hromadných ubytovacích zařízení;2023;Strakonice;Ostatní HUZ;11.0
Počet hromadných ubytovacích zařízení;2023;Tábor;HUZ celkem;110.0
Počet hromadných ubytovacích zařízení;2023;Tábor;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Tábor;Hotel, motel, botel ****;3.0
Počet hromadných ubytovacích zařízení;2023;Tábor;Hotel, motel, botel ***;14.0
Počet hromadných ubytovacích zařízení;2023;Tábor;Hotel, motel, botel **;
Počet hromadných ubytovacích zařízení;2023;Tábor;Hotel, motel, botel *;1.0
Počet hromadných ubytovacích zařízení;2023;Tábor;Hotel garni;
Počet hromadných ubytovacích zařízení;2023;Tábor;Penzion;40.0
Počet hromadných ubytovacích zařízení;2023;Tábor;Kemp;13.0
Počet hromadných ubytovacích zařízení;2023;Tábor;Chatová osada;8.0
Počet hromadných ubytovacích zařízení;2023;Tábor;Turistická ubytovna;10.0
Počet hromadných ubytovacích zařízení;2023;Tábor;Ostatní HUZ;21.0
Počet hromadných ubytovacích zařízení;2023;Domažlice;HUZ celkem;54.0
Počet hromadných ubytovacích zařízení;2023;Domažlice;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Domažlice;Hotel, motel, botel ****;
Počet hromadných ubytovacích zařízení;2023;Domažlice;Hotel, motel, botel ***;12.0
Počet hromadných ubytovacích zařízení;2023;Domažlice;Hotel, motel, botel **;
Počet hromadných ubytovacích zařízení;2023;Domažlice;Hotel, motel, botel *;2.0
Počet hromadných ubytovacích zařízení;2023;Domažlice;Hotel garni;
Počet hromadných ubytovacích zařízení;2023;Domažlice;Penzion;25.0
Počet hromadných ubytovacích zařízení;2023;Domažlice;Kemp;2.0
Počet hromadných ubytovacích zařízení;2023;Domažlice;Chatová osada;4.0
Počet hromadných ubytovacích zařízení;2023;Domažlice;Turistická ubytovna;4.0
Počet hromadných ubytovacích zařízení;2023;Domažlice;Ostatní HUZ;5.0
Počet hromadných ubytovacích zařízení;2023;Klatovy;HUZ celkem;275.0
Počet hromadných ubytovacích zařízení;2023;Klatovy;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Klatovy;Hotel, motel, botel ****;8.0
Počet hromadných ubytovacích zařízení;2023;Klatovy;Hotel, motel, botel ***;33.0
Počet hromadných ubytovacích zařízení;2023;Klatovy;Hotel, motel, botel **;7.0
Počet hromadných ubytovacích zařízení;2023;Klatovy;Hotel, motel, botel *;6.0
Počet hromadných ubytovacích zařízení;2023;Klatovy;Hotel garni;1.0
Počet hromadných ubytovacích zařízení;2023;Klatovy;Penzion;129.0
Počet hromadných ubytovacích zařízení;2023;Klatovy;Kemp;24.0
Počet hromadných ubytovacích zařízení;2023;Klatovy;Chatová osada;4.0
Počet hromadných ubytovacích zařízení;2023;Klatovy;Turistická ubytovna;24.0
Počet hromadných ubytovacích zařízení;2023;Klatovy;Ostatní HUZ;39.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-město;HUZ celkem;67.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-město;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Plzeň-město;Hotel, motel, botel ****;13.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-město;Hotel, motel, botel ***;17.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-město;Hotel, motel, botel **;
Počet hromadných ubytovacích zařízení;2023;Plzeň-město;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Plzeň-město;Hotel garni;1.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-město;Penzion;23.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-město;Kemp;2.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-město;Chatová osada;
Počet hromadných ubytovacích zařízení;2023;Plzeň-město;Turistická ubytovna;2.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-město;Ostatní HUZ;9.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-jih;HUZ celkem;33.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-jih;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Plzeň-jih;Hotel, motel, botel ****;
Počet hromadných ubytovacích zařízení;2023;Plzeň-jih;Hotel, motel, botel ***;7.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-jih;Hotel, motel, botel **;
Počet hromadných ubytovacích zařízení;2023;Plzeň-jih;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Plzeň-jih;Hotel garni;1.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-jih;Penzion;10.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-jih;Kemp;1.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-jih;Chatová osada;3.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-jih;Turistická ubytovna;5.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-jih;Ostatní HUZ;6.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-sever;HUZ celkem;45.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-sever;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Plzeň-sever;Hotel, motel, botel ****;
Počet hromadných ubytovacích zařízení;2023;Plzeň-sever;Hotel, motel, botel ***;3.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-sever;Hotel, motel, botel **;
Počet hromadných ubytovacích zařízení;2023;Plzeň-sever;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Plzeň-sever;Hotel garni;
Počet hromadných ubytovacích zařízení;2023;Plzeň-sever;Penzion;12.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-sever;Kemp;10.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-sever;Chatová osada;6.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-sever;Turistická ubytovna;2.0
Počet hromadných ubytovacích zařízení;2023;Plzeň-sever;Ostatní HUZ;12.0
Počet hromadných ubytovacích zařízení;2023;Rokycany;HUZ celkem;33.0
Počet hromadných ubytovacích zařízení;2023;Rokycany;Hotel *****;1.0
Počet hromadných ubytovacích zařízení;2023;Rokycany;Hotel, motel, botel ****;1.0
Počet hromadných ubytovacích zařízení;2023;Rokycany;Hotel, motel, botel ***;4.0
Počet hromadných ubytovacích zařízení;2023;Rokycany;Hotel, motel, botel **;2.0
Počet hromadných ubytovacích zařízení;2023;Rokycany;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Rokycany;Hotel garni;
Počet hromadných ubytovacích zařízení;2023;Rokycany;Penzion;9.0
Počet hromadných ubytovacích zařízení;2023;Rokycany;Kemp;6.0
Počet hromadných ubytovacích zařízení;2023;Rokycany;Chatová osada;6.0
Počet hromadných ubytovacích zařízení;2023;Rokycany;Turistická ubytovna;1.0
Počet hromadných ubytovacích zařízení;2023;Rokycany;Ostatní HUZ;3.0
Počet hromadných ubytovacích zařízení;2023;Tachov;HUZ celkem;57.0
Počet hromadných ubytovacích zařízení;2023;Tachov;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Tachov;Hotel, motel, botel ****;2.0
Počet hromadných ubytovacích zařízení;2023;Tachov;Hotel, motel, botel ***;6.0
Počet hromadných ubytovacích zařízení;2023;Tachov;Hotel, motel, botel **;
Počet hromadných ubytovacích zařízení;2023;Tachov;Hotel, motel, botel *;2.0
Počet hromadných ubytovacích zařízení;2023;Tachov;Hotel garni;2.0
Počet hromadných ubytovacích zařízení;2023;Tachov;Penzion;24.0
Počet hromadných ubytovacích zařízení;2023;Tachov;Kemp;6.0
Počet hromadných ubytovacích zařízení;2023;Tachov;Chatová osada;6.0
Počet hromadných ubytovacích zařízení;2023;Tachov;Turistická ubytovna;3.0
Počet hromadných ubytovacích zařízení;2023;Tachov;Ostatní HUZ;6.0
Počet hromadných ubytovacích zařízení;2023;Cheb;HUZ celkem;228.0
Počet hromadných ubytovacích zařízení;2023;Cheb;Hotel *****;5.0
Počet hromadných ubytovacích zařízení;2023;Cheb;Hotel, motel, botel ****;49.0
Počet hromadných ubytovacích zařízení;2023;Cheb;Hotel, motel, botel ***;50.0
Počet hromadných ubytovacích zařízení;2023;Cheb;Hotel, motel, botel **;3.0
Počet hromadných ubytovacích zařízení;2023;Cheb;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Cheb;Hotel garni;9.0
Počet hromadných ubytovacích zařízení;2023;Cheb;Penzion;76.0
Počet hromadných ubytovacích zařízení;2023;Cheb;Kemp;15.0
Počet hromadných ubytovacích zařízení;2023;Cheb;Chatová osada;2.0
Počet hromadných ubytovacích zařízení;2023;Cheb;Turistická ubytovna;3.0
Počet hromadných ubytovacích zařízení;2023;Cheb;Ostatní HUZ;16.0
Počet hromadných ubytovacích zařízení;2023;Karlovy Vary;HUZ celkem;328.0
Počet hromadných ubytovacích zařízení;2023;Karlovy Vary;Hotel *****;7.0
Počet hromadných ubytovacích zařízení;2023;Karlovy Vary;Hotel, motel, botel ****;69.0
Počet hromadných ubytovacích zařízení;2023;Karlovy Vary;Hotel, motel, botel ***;50.0
Počet hromadných ubytovacích zařízení;2023;Karlovy Vary;Hotel, motel, botel **;6.0
Počet hromadných ubytovacích zařízení;2023;Karlovy Vary;Hotel, motel, botel *;2.0
Počet hromadných ubytovacích zařízení;2023;Karlovy Vary;Hotel garni;7.0
Počet hromadných ubytovacích zařízení;2023;Karlovy Vary;Penzion;112.0
Počet hromadných ubytovacích zařízení;2023;Karlovy Vary;Kemp;10.0
Počet hromadných ubytovacích zařízení;2023;Karlovy Vary;Chatová osada;2.0
Počet hromadných ubytovacích zařízení;2023;Karlovy Vary;Turistická ubytovna;8.0
Počet hromadných ubytovacích zařízení;2023;Karlovy Vary;Ostatní HUZ;55.0
Počet hromadných ubytovacích zařízení;2023;Sokolov;HUZ celkem;61.0
Počet hromadných ubytovacích zařízení;2023;Sokolov;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Sokolov;Hotel, motel, botel ****;2.0
Počet hromadných ubytovacích zařízení;2023;Sokolov;Hotel, motel, botel ***;7.0
Počet hromadných ubytovacích zařízení;2023;Sokolov;Hotel, motel, botel **;2.0
Počet hromadných ubytovacích zařízení;2023;Sokolov;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Sokolov;Hotel garni;
Počet hromadných ubytovacích zařízení;2023;Sokolov;Penzion;29.0
Počet hromadných ubytovacích zařízení;2023;Sokolov;Kemp;7.0
Počet hromadných ubytovacích zařízení;2023;Sokolov;Chatová osada;
Počet hromadných ubytovacích zařízení;2023;Sokolov;Turistická ubytovna;5.0
Počet hromadných ubytovacích zařízení;2023;Sokolov;Ostatní HUZ;9.0
Počet hromadných ubytovacích zařízení;2023;Děčín;HUZ celkem;165.0
Počet hromadných ubytovacích zařízení;2023;Děčín;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Děčín;Hotel, motel, botel ****;9.0
Počet hromadných ubytovacích zařízení;2023;Děčín;Hotel, motel, botel ***;16.0
Počet hromadných ubytovacích zařízení;2023;Děčín;Hotel, motel, botel **;5.0
Počet hromadných ubytovacích zařízení;2023;Děčín;Hotel, motel, botel *;2.0
Počet hromadných ubytovacích zařízení;2023;Děčín;Hotel garni;2.0
Počet hromadných ubytovacích zařízení;2023;Děčín;Penzion;97.0
Počet hromadných ubytovacích zařízení;2023;Děčín;Kemp;9.0
Počet hromadných ubytovacích zařízení;2023;Děčín;Chatová osada;3.0
Počet hromadných ubytovacích zařízení;2023;Děčín;Turistická ubytovna;9.0
Počet hromadných ubytovacích zařízení;2023;Děčín;Ostatní HUZ;13.0
Počet hromadných ubytovacích zařízení;2023;Chomutov;HUZ celkem;116.0
Počet hromadných ubytovacích zařízení;2023;Chomutov;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Chomutov;Hotel, motel, botel ****;7.0
Počet hromadných ubytovacích zařízení;2023;Chomutov;Hotel, motel, botel ***;16.0
Počet hromadných ubytovacích zařízení;2023;Chomutov;Hotel, motel, botel **;4.0
Počet hromadných ubytovacích zařízení;2023;Chomutov;Hotel, motel, botel *;2.0
Počet hromadných ubytovacích zařízení;2023;Chomutov;Hotel garni;2.0
Počet hromadných ubytovacích zařízení;2023;Chomutov;Penzion;46.0
Počet hromadných ubytovacích zařízení;2023;Chomutov;Kemp;11.0
Počet hromadných ubytovacích zařízení;2023;Chomutov;Chatová osada;2.0
Počet hromadných ubytovacích zařízení;2023;Chomutov;Turistická ubytovna;10.0
Počet hromadných ubytovacích zařízení;2023;Chomutov;Ostatní HUZ;16.0
Počet hromadných ubytovacích zařízení;2023;Litoměřice;HUZ celkem;59.0
Počet hromadných ubytovacích zařízení;2023;Litoměřice;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Litoměřice;Hotel, motel, botel ****;
Počet hromadných ubytovacích zařízení;2023;Litoměřice;Hotel, motel, botel ***;14.0
Počet hromadných ubytovacích zařízení;2023;Litoměřice;Hotel, motel, botel **;2.0
Počet hromadných ubytovacích zařízení;2023;Litoměřice;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Litoměřice;Hotel garni;1.0
Počet hromadných ubytovacích zařízení;2023;Litoměřice;Penzion;19.0
Počet hromadných ubytovacích zařízení;2023;Litoměřice;Kemp;6.0
Počet hromadných ubytovacích zařízení;2023;Litoměřice;Chatová osada;3.0
Počet hromadných ubytovacích zařízení;2023;Litoměřice;Turistická ubytovna;8.0
Počet hromadných ubytovacích zařízení;2023;Litoměřice;Ostatní HUZ;6.0
Počet hromadných ubytovacích zařízení;2023;Louny;HUZ celkem;31.0
Počet hromadných ubytovacích zařízení;2023;Louny;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Louny;Hotel, motel, botel ****;1.0
Počet hromadných ubytovacích zařízení;2023;Louny;Hotel, motel, botel ***;11.0
Počet hromadných ubytovacích zařízení;2023;Louny;Hotel, motel, botel **;1.0
Počet hromadných ubytovacích zařízení;2023;Louny;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Louny;Hotel garni;
Počet hromadných ubytovacích zařízení;2023;Louny;Penzion;8.0
Počet hromadných ubytovacích zařízení;2023;Louny;Kemp;2.0
Počet hromadných ubytovacích zařízení;2023;Louny;Chatová osada;1.0
Počet hromadných ubytovacích zařízení;2023;Louny;Turistická ubytovna;3.0
Počet hromadných ubytovacích zařízení;2023;Louny;Ostatní HUZ;4.0
Počet hromadných ubytovacích zařízení;2023;Most;HUZ celkem;37.0
Počet hromadných ubytovacích zařízení;2023;Most;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Most;Hotel, motel, botel ****;2.0
Počet hromadných ubytovacích zařízení;2023;Most;Hotel, motel, botel ***;9.0
Počet hromadných ubytovacích zařízení;2023;Most;Hotel, motel, botel **;
Počet hromadných ubytovacích zařízení;2023;Most;Hotel, motel, botel *;1.0
Počet hromadných ubytovacích zařízení;2023;Most;Hotel garni;
Počet hromadných ubytovacích zařízení;2023;Most;Penzion;12.0
Počet hromadných ubytovacích zařízení;2023;Most;Kemp;
Počet hromadných ubytovacích zařízení;2023;Most;Chatová osada;
Počet hromadných ubytovacích zařízení;2023;Most;Turistická ubytovna;4.0
Počet hromadných ubytovacích zařízení;2023;Most;Ostatní HUZ;9.0
Počet hromadných ubytovacích zařízení;2023;Teplice;HUZ celkem;59.0
Počet hromadných ubytovacích zařízení;2023;Teplice;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Teplice;Hotel, motel, botel ****;6.0
Počet hromadných ubytovacích zařízení;2023;Teplice;Hotel, motel, botel ***;13.0
Počet hromadných ubytovacích zařízení;2023;Teplice;Hotel, motel, botel **;1.0
Počet hromadných ubytovacích zařízení;2023;Teplice;Hotel, motel, botel *;1.0
Počet hromadných ubytovacích zařízení;2023;Teplice;Hotel garni;2.0
Počet hromadných ubytovacích zařízení;2023;Teplice;Penzion;21.0
Počet hromadných ubytovacích zařízení;2023;Teplice;Kemp;3.0
Počet hromadných ubytovacích zařízení;2023;Teplice;Chatová osada;
Počet hromadných ubytovacích zařízení;2023;Teplice;Turistická ubytovna;1.0
Počet hromadných ubytovacích zařízení;2023;Teplice;Ostatní HUZ;11.0
Počet hromadných ubytovacích zařízení;2023;Ústí nad Labem;HUZ celkem;43.0
Počet hromadných ubytovacích zařízení;2023;Ústí nad Labem;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Ústí nad Labem;Hotel, motel, botel ****;3.0
Počet hromadných ubytovacích zařízení;2023;Ústí nad Labem;Hotel, motel, botel ***;4.0
Počet hromadných ubytovacích zařízení;2023;Ústí nad Labem;Hotel, motel, botel **;1.0
Počet hromadných ubytovacích zařízení;2023;Ústí nad Labem;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Ústí nad Labem;Hotel garni;
Počet hromadných ubytovacích zařízení;2023;Ústí nad Labem;Penzion;24.0
Počet hromadných ubytovacích zařízení;2023;Ústí nad Labem;Kemp;4.0
Počet hromadných ubytovacích zařízení;2023;Ústí nad Labem;Chatová osada;
Počet hromadných ubytovacích zařízení;2023;Ústí nad Labem;Turistická ubytovna;4.0
Počet hromadných ubytovacích zařízení;2023;Ústí nad Labem;Ostatní HUZ;3.0
Počet hromadných ubytovacích zařízení;2023;Česká Lípa;HUZ celkem;148.0
Počet hromadných ubytovacích zařízení;2023;Česká Lípa;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Česká Lípa;Hotel, motel, botel ****;6.0
Počet hromadných ubytovacích zařízení;2023;Česká Lípa;Hotel, motel, botel ***;9.0
Počet hromadných ubytovacích zařízení;2023;Česká Lípa;Hotel, motel, botel **;1.0
Počet hromadných ubytovacích zařízení;2023;Česká Lípa;Hotel, motel, botel *;1.0
Počet hromadných ubytovacích zařízení;2023;Česká Lípa;Hotel garni;
Počet hromadných ubytovacích zařízení;2023;Česká Lípa;Penzion;55.0
Počet hromadných ubytovacích zařízení;2023;Česká Lípa;Kemp;13.0
Počet hromadných ubytovacích zařízení;2023;Česká Lípa;Chatová osada;32.0
Počet hromadných ubytovacích zařízení;2023;Česká Lípa;Turistická ubytovna;10.0
Počet hromadných ubytovacích zařízení;2023;Česká Lípa;Ostatní HUZ;21.0
Počet hromadných ubytovacích zařízení;2023;Jablonec nad Nisou;HUZ celkem;368.0
Počet hromadných ubytovacích zařízení;2023;Jablonec nad Nisou;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Jablonec nad Nisou;Hotel, motel, botel ****;12.0
Počet hromadných ubytovacích zařízení;2023;Jablonec nad Nisou;Hotel, motel, botel ***;49.0
Počet hromadných ubytovacích zařízení;2023;Jablonec nad Nisou;Hotel, motel, botel **;4.0
Počet hromadných ubytovacích zařízení;2023;Jablonec nad Nisou;Hotel, motel, botel *;3.0
Počet hromadných ubytovacích zařízení;2023;Jablonec nad Nisou;Hotel garni;3.0
Počet hromadných ubytovacích zařízení;2023;Jablonec nad Nisou;Penzion;209.0
Počet hromadných ubytovacích zařízení;2023;Jablonec nad Nisou;Kemp;3.0
Počet hromadných ubytovacích zařízení;2023;Jablonec nad Nisou;Chatová osada;1.0
Počet hromadných ubytovacích zařízení;2023;Jablonec nad Nisou;Turistická ubytovna;21.0
Počet hromadných ubytovacích zařízení;2023;Jablonec nad Nisou;Ostatní HUZ;63.0
Počet hromadných ubytovacích zařízení;2023;Liberec;HUZ celkem;145.0
Počet hromadných ubytovacích zařízení;2023;Liberec;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Liberec;Hotel, motel, botel ****;14.0
Počet hromadných ubytovacích zařízení;2023;Liberec;Hotel, motel, botel ***;20.0
Počet hromadných ubytovacích zařízení;2023;Liberec;Hotel, motel, botel **;
Počet hromadných ubytovacích zařízení;2023;Liberec;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Liberec;Hotel garni;1.0
Počet hromadných ubytovacích zařízení;2023;Liberec;Penzion;67.0
Počet hromadných ubytovacích zařízení;2023;Liberec;Kemp;7.0
Počet hromadných ubytovacích zařízení;2023;Liberec;Chatová osada;5.0
Počet hromadných ubytovacích zařízení;2023;Liberec;Turistická ubytovna;12.0
Počet hromadných ubytovacích zařízení;2023;Liberec;Ostatní HUZ;19.0
Počet hromadných ubytovacích zařízení;2023;Semily;HUZ celkem;288.0
Počet hromadných ubytovacích zařízení;2023;Semily;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Semily;Hotel, motel, botel ****;2.0
Počet hromadných ubytovacích zařízení;2023;Semily;Hotel, motel, botel ***;32.0
Počet hromadných ubytovacích zařízení;2023;Semily;Hotel, motel, botel **;4.0
Počet hromadných ubytovacích zařízení;2023;Semily;Hotel, motel, botel *;5.0
Počet hromadných ubytovacích zařízení;2023;Semily;Hotel garni;3.0
Počet hromadných ubytovacích zařízení;2023;Semily;Penzion;132.0
Počet hromadných ubytovacích zařízení;2023;Semily;Kemp;10.0
Počet hromadných ubytovacích zařízení;2023;Semily;Chatová osada;2.0
Počet hromadných ubytovacích zařízení;2023;Semily;Turistická ubytovna;21.0
Počet hromadných ubytovacích zařízení;2023;Semily;Ostatní HUZ;77.0
Počet hromadných ubytovacích zařízení;2023;Hradec Králové;HUZ celkem;53.0
Počet hromadných ubytovacích zařízení;2023;Hradec Králové;Hotel *****;
Počet hromadných ubytovacích zařízení;2023;Hradec Králové;Hotel, motel, botel ****;7.0
Počet hromadných ubytovacích zařízení;2023;Hradec Králové;Hotel, motel, botel ***;9.0
Počet hromadných ubytovacích zařízení;2023;Hradec Králové;Hotel, motel, botel **;2.0
Počet hromadných ubytovacích zařízení;2023;Hradec Králové;Hotel, motel, botel *;
Počet hromadných ubytovacích zařízení;2023;Hradec Králové;Hotel garni;
Počet hromadných ubytovacích zařízení;2023;Hradec Králové;Penzion;22.0
