Kumulace měsíců,PCSU,Kraje,Ukazatel,value
01-02 2025,Stavební úřad kromě speciálního,Královéhradecký kraj,Dokončené byty v nových rodinných domech,117
01-02 2025,Stavební úřad kromě speciálního,Královéhradecký kraj,Dokončené byty v nových bytových domech,15
01-02 2025,Stavební úřad kromě speciálního,Královéhradecký kraj,Dokončené byty v nebytových budovách,15
01-02 2025,Stavební úřad kromě speciálního,Pardubický kraj,Zahájené byty,241
01-02 2025,Stavební úřad kromě speciálního,Pardubický kraj,Zahájené byty - nová výstavba,210
01-02 2025,Stavební úřad kromě speciálního,Pardubický kraj,Zahájené byty - změna dokončených staveb,31
01-02 2025,Stavební úřad kromě speciálního,Pardubický kraj,Zahájené byty v nových rodinných domech,95
01-02 2025,Stavební úřad kromě speciálního,Pardubický kraj,Zahájené byty v nových bytových domech,115
01-02 2025,Stavební úřad kromě speciálního,Pardubický kraj,Zahájené byty v nebytových budovách,4
01-02 2025,Stavební úřad kromě speciálního,Pardubický kraj,Dokončené byty,219
01-02 2025,Stavební úřad kromě speciálního,Pardubický kraj,Dokončené byty - nová výstavba,199
01-02 2025,Stavební úřad kromě speciálního,Pardubický kraj,Dokončené byty - změna dokončených staveb,20
01-02 2025,Stavební úřad kromě speciálního,Pardubický kraj,Dokončené byty v nových rodinných domech,160
01-02 2025,Stavební úřad kromě speciálního,Pardubický kraj,Dokončené byty v nových bytových domech,33
01-02 2025,Stavební úřad kromě speciálního,Pardubický kraj,Dokončené byty v nebytových budovách,12
01-02 2025,Stavební úřad kromě speciálního,Kraj Vysočina,Zahájené byty,170
01-02 2025,Stavební úřad kromě speciálního,Kraj Vysočina,Zahájené byty - nová výstavba,151
01-02 2025,Stavební úřad kromě speciálního,Kraj Vysočina,Zahájené byty - změna dokončených staveb,19
01-02 2025,Stavební úřad kromě speciálního,Kraj Vysočina,Zahájené byty v nových rodinných domech,66
01-02 2025,Stavební úřad kromě speciálního,Kraj Vysočina,Zahájené byty v nových bytových domech,85
01-02 2025,Stavební úřad kromě speciálního,Kraj Vysočina,Zahájené byty v nebytových budovách,5
01-02 2025,Stavební úřad kromě speciálního,Kraj Vysočina,Dokončené byty,194
01-02 2025,Stavební úřad kromě speciálního,Kraj Vysočina,Dokončené byty - nová výstavba,171
01-02 2025,Stavební úřad kromě speciálního,Kraj Vysočina,Dokončené byty - změna dokončených staveb,23
01-02 2025,Stavební úřad kromě speciálního,Kraj Vysočina,Dokončené byty v nových rodinných domech,113
01-02 2025,Stavební úřad kromě speciálního,Kraj Vysočina,Dokončené byty v nových bytových domech,54
01-02 2025,Stavební úřad kromě speciálního,Kraj Vysočina,Dokončené byty v nebytových budovách,10
01-02 2025,Stavební úřad kromě speciálního,Jihomoravský kraj,Zahájené byty,672
01-02 2025,Stavební úřad kromě speciálního,Jihomoravský kraj,Zahájené byty - nová výstavba,605
01-02 2025,Stavební úřad kromě speciálního,Jihomoravský kraj,Zahájené byty - změna dokončených staveb,67
01-02 2025,Stavební úřad kromě speciálního,Jihomoravský kraj,Zahájené byty v nových rodinných domech,213
01-02 2025,Stavební úřad kromě speciálního,Jihomoravský kraj,Zahájené byty v nových bytových domech,388
01-02 2025,Stavební úřad kromě speciálního,Jihomoravský kraj,Zahájené byty v nebytových budovách,4
