Území;Ukazatel;Typ indexu;Očištění;Typ ceny;Odvětví (NACE);Roky;value
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2011;101.6869562801
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2012;98.9305236965
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2013;101.1858751019
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2014;105.4881985752
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2015;107.6712325749
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2016;106.0814117861
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2017;104.5377762888
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2018;102.6712545601
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2019;103.7315788911
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2020;93.845686416
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2021;105.4200780668
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2022;96.0562373267
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2023;98.4931447319
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47 Maloobchod (vč.maloobchodního prodeje pohonných hmot) a prodej a opravy motorových vozidel;2024;103.4843854948
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2001;108.2272643285
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2002;103.3039031715
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2003;104.2457152408
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2004;102.4082567657
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2005;108.8629843155
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2006;112.7252927962
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2007;113.1143844033
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2008;102.3574051682
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2009;90.9153180487
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2010;103.5440681946
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2011;103.0784733174
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2012;98.3710250857
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2013;102.7238830418
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2014;109.4250486936
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2015;110.8243954784
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2016;107.517230907
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2017;103.1428995625
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2018;99.1921339375
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2019;101.5169978997
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2020;86.1159152373
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2021;107.5367487182
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2022;95.9476377933
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2023;105.0452880243
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot;2024;101.6910004627
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2001;113.1057785811
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2002;103.1710308263
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2003;105.1941471959
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2004;104.3703484823
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2005;112.7415421132
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2006;116.7965355338
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2007;115.6708953962
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2008;99.07840647
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2009;88.6987887468
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2010;107.2251362225
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2011;105.3306727256
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2012;98.2973857182
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2013;104.2429198119
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2014;111.7638620559
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2015;112.015509297
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2016;107.9869050685
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2017;102.6476544904
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2018;97.9790878779
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2019;101.3145644031
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2020;84.7531923074
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2021;108.426363223
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2022;95.861328844
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2023;105.0075781867
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45 Obchod, opravy a údržba motorových vozidel;2024;100.8234962478
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2001;113.0317579738
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2002;106.0515746178
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2003;105.0796662084
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2004;103.937907071
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2005;114.3049981113
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2006;119.6623970691
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2007;116.0796103191
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2008;98.9367712956
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2009;88.329307959
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2010;109.2273824991
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2011;106.642174216
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2012;98.8250211247
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2013;104.8826684884
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2014;112.3335216447
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2015;113.206838992
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2016;108.8877415742
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2017;101.8960783924
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2018;98.2180438392
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2019;102.1007182017
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2020;84.1970479506
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2021;108.2454293971
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2022;95.5077220157
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2023;105.5948777307
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;"45.1+45.3+45.4 Obchod s motorovými vozidly; obchod, opravy a údržba motocyklů";2024;100.5796366551
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2001;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2002;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2003;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2004;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2005;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2006;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2007;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2008;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2009;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2010;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2011;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2012;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2013;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2014;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2015;113.209710807
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2016;110.3191888142
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2017;101.1880730779
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2018;96.296551333
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2019;101.309124846
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2020;83.7434672988
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2021;107.5463828527
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2022;94.4648551374
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2023;109.2025327497
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.1 Obchod s motorovými vozidly, kromě motocyklů;2024;101.3831615592
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2001;113.3877261971
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2002;92.2333652674
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2003;105.6939660193
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2004;106.2473947912
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2005;106.102750202
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2006;103.6867020695
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2007;113.5131653721
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2008;99.8430472332
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2009;90.6753854834
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2010;100.8180053529
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2011;100.7838469578
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2012;96.361803983
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2013;101.8360700791
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2014;109.5565837855
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2015;107.7639072256
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2016;104.6096337507
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2017;105.5805746835
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2018;97.07913741
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2019;98.3190347586
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2020;87.0701440759
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2021;109.155278129
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2022;97.2740047067
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2023;102.7038924175
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.2 Opravy a údržba motorových vozidel, kromě motocyklů;2024;101.8069623044
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.3 Obchod s díly a příslušenstvím pro motorová vozidla, kromě motocyklů;2000;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.3 Obchod s díly a příslušenstvím pro motorová vozidla, kromě motocyklů;2001;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.3 Obchod s díly a příslušenstvím pro motorová vozidla, kromě motocyklů;2002;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.3 Obchod s díly a příslušenstvím pro motorová vozidla, kromě motocyklů;2003;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.3 Obchod s díly a příslušenstvím pro motorová vozidla, kromě motocyklů;2004;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.3 Obchod s díly a příslušenstvím pro motorová vozidla, kromě motocyklů;2005;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.3 Obchod s díly a příslušenstvím pro motorová vozidla, kromě motocyklů;2006;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.3 Obchod s díly a příslušenstvím pro motorová vozidla, kromě motocyklů;2007;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.3 Obchod s díly a příslušenstvím pro motorová vozidla, kromě motocyklů;2008;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.3 Obchod s díly a příslušenstvím pro motorová vozidla, kromě motocyklů;2009;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.3 Obchod s díly a příslušenstvím pro motorová vozidla, kromě motocyklů;2010;
Česko;Index tržeb bez DPH  (%);Meziroční index;Bez očištění;Stálé ceny;45.3 Obchod s díly a příslušenstvím pro motorová vozidla, kromě motocyklů;2011;
