Ukazatel,Rok,Pohlaví,"ČR, kraje",Věkové skupiny (pětileté),value
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,25 - 29,39238
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,30 - 34,49391
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,35 - 39,51426
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,40 - 44,54499
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,45 - 49,68439
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,50 - 54,65606
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,55 - 59,52280
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,60 - 64,47900
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,65 - 69,45956
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,70 - 74,47944
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,75 - 79,39882
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,80 - 84,21159
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,85 - 89,9115
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,90 - 94,3185
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Ústecký kraj,95 a více,623
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,Celkem,449494
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,0,3273
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,1 - 4,16748
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,5 - 9,24654
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,10 - 14,24702
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,15 - 19,26389
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,20 - 24,22091
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,25 - 29,21561
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,30 - 34,27150
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,35 - 39,29370
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,40 - 44,31365
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,45 - 49,38579
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,50 - 54,35891
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,55 - 59,27702
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,60 - 64,25567
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,65 - 69,24585
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,70 - 74,26798
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,75 - 79,22646
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,80 - 84,12228
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,85 - 89,5537
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,90 - 94,2201
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Liberecký kraj,95 a více,457
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,Celkem,555923
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,0,4166
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,1 - 4,21121
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,5 - 9,29048
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,10 - 14,29354
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,15 - 19,32152
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,20 - 24,26730
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,25 - 29,26385
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,30 - 34,33021
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,35 - 39,34665
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,40 - 44,36500
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,45 - 49,45891
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,50 - 54,43194
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,55 - 59,35042
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,60 - 64,32634
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,65 - 69,33258
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,70 - 74,34346
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,75 - 79,28824
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,80 - 84,17414
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,85 - 89,8125
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,90 - 94,3334
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Královéhradecký kraj,95 a více,719
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,Celkem,530469
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,0,4211
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,1 - 4,20867
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,5 - 9,29034
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,10 - 14,28921
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,15 - 19,30063
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,20 - 24,25766
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,25 - 29,26389
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,30 - 34,33145
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,35 - 39,34437
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,40 - 44,36092
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,45 - 49,44849
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,50 - 54,40895
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,55 - 59,32642
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,60 - 64,30742
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,65 - 69,30761
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,70 - 74,30944
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,75 - 79,24924
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,80 - 84,14957
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,85 - 89,7234
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,90 - 94,3011
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Pardubický kraj,95 a více,585
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,Celkem,517647
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,0,4204
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,1 - 4,20761
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,5 - 9,27895
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,10 - 14,27105
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,15 - 19,28606
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,20 - 24,24924
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,25 - 29,25554
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,30 - 34,32157
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,35 - 39,32944
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,40 - 44,34696
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,45 - 49,41793
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,50 - 54,39393
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,55 - 59,33028
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,60 - 64,32301
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,65 - 69,31941
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,70 - 74,29382
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,75 - 79,24729
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,80 - 84,15037
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,85 - 89,7767
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,90 - 94,2842
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Kraj Vysočina,95 a více,588
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,Celkem,1229343
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,0,9935
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,1 - 4,50074
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,5 - 9,68838
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,10 - 14,66238
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,15 - 19,67147
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,20 - 24,57656
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,25 - 29,59191
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,30 - 34,80264
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,35 - 39,86006
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,40 - 44,90294
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,45 - 49,103668
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,50 - 54,91547
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,55 - 59,74691
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,60 - 64,70146
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,65 - 69,68960
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,70 - 74,66962
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,75 - 79,56035
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,80 - 84,36069
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,85 - 89,17061
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,90 - 94,7023
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Jihomoravský kraj,95 a více,1538
Počet obyvatel k 31. 12. (koncový stav),2024,Celkem,Olomoucký kraj,Celkem,631500
