Území;Ukazatel;Typ indexu;Typ tržeb;Vybraná průmyslová činnost;Roky;value
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2003;103.286109811
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2002;99.624314831
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2001;111.2684724982
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2000;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2024;85.9135348256
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2023;104.0459728835
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2022;142.46114081
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2021;112.810923336
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2020;85.2785715693
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2019;90.779202566
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2018;102.7606709828
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2017;108.5112208166
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2016;85.1224586783
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2015;91.0114374768
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2014;98.2714624565
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2013;93.3381543831
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2012;89.7415255601
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2011;105.8812028781
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2010;107.1102053649
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2009;81.1055301122
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2008;115.6338336949
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2007;98.3325852002
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2006;111.345993861
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2005;106.6037309158
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2004;113.8751348515
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2003;99.1028946486
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2002;98.3269978757
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2001;104.3569624326
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2000;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2024;101.8625292374
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2023;103.1678060369
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2022;114.2918324325
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2021;111.3095507047
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2020;93.2305291073
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2019;100.6120308904
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2018;103.7672437748
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2017;107.6824323936
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2016;101.0432435648
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2015;102.6214110059
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2014;110.9371751422
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2013;101.4420791945
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2012;102.2308017849
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2011;108.5521109195
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2010;110.8372943361
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2009;84.673842237
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2008;97.0308925474
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2007;114.1208448506
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2006;108.9407953987
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2005;104.6954757434
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2004;117.1670624771
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2003;103.6529202443
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2002;99.8580177251
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2001;111.8037326812
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;C Zpracovatelský průmysl;2000;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2024;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2023;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2022;136.3362721864
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2021;102.3610665941
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2020;105.2880712686
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2019;108.7827414101
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2018;100.4433817068
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2017;104.5314516017
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2016;102.3385450601
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2015;99.9855758555
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2014;89.5172345354
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2013;105.4836683866
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2012;104.243167324
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2011;95.8235716156
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2010;93.3286780668
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2009;89.3942607781
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2008;113.2836941783
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2007;115.7125610698
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2006;101.1316368019
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2005;127.9077172925
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2004;97.4333231319
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2003;100.7412369441
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2002;97.4870171809
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2001;108.2744990162
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu;2000;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2024;75.7637535322
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2023;119.3481410097
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2022;129.3564157833
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2021;111.1544141816
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2020;78.8960119137
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2019;86.7177379362
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2018;97.9175220916
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2017;107.9183081638
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2016;90.7638337747
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2015;94.3248735682
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2014;87.3508792984
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2013;88.8550262795
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2012;87.4051819692
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2011;106.0664695377
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2010;105.3451775289
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2009;78.1551699912
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2008;119.5653100831
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2007;104.2566200306
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2006;120.7214711912
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2005;105.7748732368
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2004;117.6025029673
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2003;88.509365282
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2002;96.5050971809
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2001;104.4560152113
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;05 Těžba a úprava černého a hnědého uhlí;2000;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2024;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2023;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2022;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2021;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2020;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2019;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2018;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2017;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2016;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2015;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2014;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2013;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2012;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2011;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2010;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2009;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2008;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2007;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2006;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2005;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2004;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2003;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2002;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2001;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;06 Těžba ropy a zemního plynu;2000;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2024;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2023;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2022;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2021;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2020;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2019;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2018;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2017;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2016;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2015;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2014;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2013;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2012;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2011;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2010;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2009;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2008;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2007;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2006;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2005;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2004;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2003;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2002;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2001;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;07 Těžba a úprava rud;2000;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;08 Ostatní těžba a dobývání;2024;105.1184485165
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;08 Ostatní těžba a dobývání;2023;101.9923741301
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;08 Ostatní těžba a dobývání;2022;115.6816369326
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;08 Ostatní těžba a dobývání;2021;115.0090702761
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;08 Ostatní těžba a dobývání;2020;97.1813430163
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;08 Ostatní těžba a dobývání;2019;105.3650727669
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;08 Ostatní těžba a dobývání;2018;109.5279667684
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;08 Ostatní těžba a dobývání;2017;106.8876254332
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;08 Ostatní těžba a dobývání;2016;94.3609011811
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;08 Ostatní těžba a dobývání;2015;98.5381048392
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;08 Ostatní těžba a dobývání;2014;109.9133771478
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;08 Ostatní těžba a dobývání;2013;96.9208556519
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;08 Ostatní těžba a dobývání;2012;87.8268525018
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;08 Ostatní těžba a dobývání;2011;98.5495006964
