Ukazatel,Rok sčítání,Pohlaví,Území,Národnost,value
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Ukrajinská,1026
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Vietnamská,470
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Neuvedena,167780
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Obyvatelstvo celkem,1162841
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Česká,656667
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Moravská,27901
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Slezská,11011
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Slovenská,11990
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Německá,465
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Polská,18378
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Romská,768
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Ruská,440
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Ukrajinská,1429
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Vietnamská,1869
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Neuvedena,361868
