Roky;ČR, kraje, okresy;Ukazatel;value
2023;Moravskoslezský kraj;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - ženy;19618.0
2023;Moravskoslezský kraj;Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením;6240.0
2023;Moravskoslezský kraj;Uchazeči o zaměstnání v evidenci ÚP s nárokem na podporu - celkem;10912.0
2023;Moravskoslezský kraj;Uchazeči o zaměstnání v evidenci ÚP s nárokem na podporu - dosažitelní;10533.0
2023;Moravskoslezský kraj;Podíl nezaměstnaných osob - celkem (%);5.22931859
2023;Moravskoslezský kraj;Podíl nezaměstnaných osob - muži (%);5.1734116
2023;Moravskoslezský kraj;Podíl nezaměstnaných osob - ženy (%);5.28764258
2023;Moravskoslezský kraj;Pracovní místa v evidenci ÚP celkem;11356.0
2023;Moravskoslezský kraj;Pracovní místa v evidenci ÚP pro absolventy a mladistvé;2905.0
2023;Moravskoslezský kraj;Pracovní místa v evidenci ÚP pro osoby se zdravotním postižením;1032.0
2023;Moravskoslezský kraj;Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;3.77879535047552
2023;Moravskoslezský kraj;Počet dosažitelných uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;3.49084184572032
2023;Hlavní město Praha;Uchazeči o zaměstnání v evidenci ÚP - celkem;
2023;Hlavní město Praha;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní;
2023;Hlavní město Praha;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - muži;
2023;Hlavní město Praha;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - ženy;
2023;Hlavní město Praha;Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením;
2023;Hlavní město Praha;Uchazeči o zaměstnání v evidenci ÚP s nárokem na podporu - celkem;
2023;Hlavní město Praha;Uchazeči o zaměstnání v evidenci ÚP s nárokem na podporu - dosažitelní;
2023;Hlavní město Praha;Podíl nezaměstnaných osob - celkem (%);
2023;Hlavní město Praha;Podíl nezaměstnaných osob - muži (%);
2023;Hlavní město Praha;Podíl nezaměstnaných osob - ženy (%);
2023;Hlavní město Praha;Pracovní místa v evidenci ÚP celkem;
2023;Hlavní město Praha;Pracovní místa v evidenci ÚP pro absolventy a mladistvé;
2023;Hlavní město Praha;Pracovní místa v evidenci ÚP pro osoby se zdravotním postižením;
2023;Hlavní město Praha;Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;
2023;Hlavní město Praha;Počet dosažitelných uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;
2023;Benešov;Uchazeči o zaměstnání v evidenci ÚP - celkem;1390.0
2023;Benešov;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní;1228.0
2023;Benešov;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - muži;558.0
2023;Benešov;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - ženy;670.0
