Ukazatel;Stát;Věk (roky);Roky (ČR);Pohlaví;value
Naděje dožití (ex);Česko;0;1945;muži;50.4321848694
Naděje dožití (ex);Česko;0;1945;ženy;58.6362166501
Naděje dožití (ex);Česko;0;1944;muži;56.6474049947
Naděje dožití (ex);Česko;0;1944;ženy;60.8210366779
Naděje dožití (ex);Česko;0;1943;muži;56.0990334091
Naděje dožití (ex);Česko;0;1943;ženy;59.7714844657
Naděje dožití (ex);Česko;0;1942;muži;55.4400984215
Naděje dožití (ex);Česko;0;1942;ženy;59.8266279378
Naděje dožití (ex);Česko;0;1941;muži;56.39864327
Naděje dožití (ex);Česko;0;1941;ženy;60.4842679486
Naděje dožití (ex);Česko;0;1940;muži;56.3546965086
Naděje dožití (ex);Česko;0;1940;ženy;60.7681321952
Naděje dožití (ex);Česko;0;1939;muži;56.1536080683
Naděje dožití (ex);Česko;0;1939;ženy;60.187426147
Naděje dožití (ex);Česko;0;1938;muži;55.866225764
Naděje dožití (ex);Česko;0;1938;ženy;60.4475575284
Naděje dožití (ex);Česko;0;1937;muži;56.4490536865
Naděje dožití (ex);Česko;0;1937;ženy;60.4067486739
Naděje dožití (ex);Česko;0;1936;muži;56.1681188795
Naděje dožití (ex);Česko;0;1936;ženy;59.8357334543
Naděje dožití (ex);Česko;0;1935;muži;55.7642824259
Naděje dožití (ex);Česko;0;1935;ženy;59.7909463144
Naděje dožití (ex);Česko;0;1934;muži;55.8248867145
Naděje dožití (ex);Česko;0;1934;ženy;59.6334644405
Naděje dožití (ex);Česko;0;1933;muži;55.4078490617
Naděje dožití (ex);Česko;0;1933;ženy;58.7947712746
Naděje dožití (ex);Česko;0;1932;muži;54.788926875
Naděje dožití (ex);Česko;0;1932;ženy;58.3691750654
Naděje dožití (ex);Česko;0;1931;muži;54.4540176886
Naděje dožití (ex);Česko;0;1931;ženy;58.2795616844
Naděje dožití (ex);Česko;0;1930;muži;53.7005955613
Naděje dožití (ex);Česko;0;1930;ženy;57.6136085044
Naděje dožití (ex);Česko;0;1929;muži;52.378088011
Naděje dožití (ex);Česko;0;1929;ženy;56.1458536148
Naděje dožití (ex);Česko;0;1928;muži;52.9728576846
Naděje dožití (ex);Česko;0;1928;ženy;56.672186081
Naděje dožití (ex);Česko;0;1927;muži;51.9078796612
Naděje dožití (ex);Česko;0;1927;ženy;55.1079173619
Naděje dožití (ex);Česko;0;1926;muži;52.6585225811
Naděje dožití (ex);Česko;0;1926;ženy;55.8563387863
Naděje dožití (ex);Česko;0;1925;muži;52.8536850027
Naděje dožití (ex);Česko;0;1925;ženy;56.0537490893
Naděje dožití (ex);Česko;0;1924;muži;52.6106674868
Naděje dožití (ex);Česko;0;1924;ženy;55.8399842955
Naděje dožití (ex);Česko;0;1923;muži;52.8793183006
Naděje dožití (ex);Česko;0;1923;ženy;55.8588373484
Naděje dožití (ex);Česko;0;1922;muži;49.5876774786
Naděje dožití (ex);Česko;0;1922;ženy;52.6985217523
Naděje dožití (ex);Česko;0;1921;muži;48.8224915263
Naděje dožití (ex);Česko;0;1921;ženy;51.8279599416
Naděje dožití (ex);Česko;0;1920;muži;47.0306280001
Naděje dožití (ex);Česko;0;1920;ženy;49.777447325
