Území;Ukazatel;Typ indexu;Typ tržeb;Vybraná průmyslová činnost;Čtvrtletí;value
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2014;107.5687619778
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2014;110.0370819563
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2014;111.118687575
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2013;107.6811391054
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2013;102.7403044919
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2013;99.5181707621
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2013;96.3254212183
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2012;96.8268173332
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2012;102.2838539535
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2012;103.1892753316
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2012;106.1526753418
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2011;105.3279831936
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2011;104.2284389375
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2011;108.7428796909
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2011;112.2299125534
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2010;111.1672586254
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2010;112.6706705274
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2010;110.1739504933
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2010;102.7287595348
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2009;94.0144635233
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2009;84.8165827616
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2009;80.5754863117
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2009;81.1945867199
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2008;88.9595173486
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2008;98.1157646685
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2008;102.9486437476
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2008;105.4785803631
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2007;111.123335369
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2007;112.8155895619
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2007;114.342604498
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2007;117.1477263603
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2006;108.4556810004
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2006;107.6887869772
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2006;108.2497127016
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2006;109.3221718412
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2005;106.7086333777
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2005;105.2689593256
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2005;105.7083575529
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2005;107.2316738174
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2004;114.4680225562
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2004;118.0525531333
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2004;116.8971660429
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2004;112.9477888785
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2003;104.3128816914
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2003;103.9104164514
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2003;102.3050650662
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2003;102.5326113377
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2002;102.6414921606
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2002;98.0349173029
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2002;98.4643174236
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2002;99.1794885797
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2001;104.288352619
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2001;109.5074956697
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2001;113.3994878618
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2001;119.5839514269
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);4. čtvrtletí 2000;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);3. čtvrtletí 2000;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);2. čtvrtletí 2000;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl celkem (B+C+D);1. čtvrtletí 2000;
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;1. čtvrtletí 2025;94.1987804247
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;4. čtvrtletí 2024;95.7835026474
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;3. čtvrtletí 2024;82.9912145947
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2. čtvrtletí 2024;87.7531185655
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;1. čtvrtletí 2024;77.1841060925
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;4. čtvrtletí 2023;90.1686638103
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;3. čtvrtletí 2023;108.4633350176
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2. čtvrtletí 2023;112.7994787496
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;1. čtvrtletí 2023;108.1288875374
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;4. čtvrtletí 2022;131.7144904489
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;3. čtvrtletí 2022;139.2647334889
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2. čtvrtletí 2022;135.4171092707
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;1. čtvrtletí 2022;171.6883180187
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;4. čtvrtletí 2021;128.3663698907
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;3. čtvrtletí 2021;119.4140241521
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2. čtvrtletí 2021;108.6126595077
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;1. čtvrtletí 2021;92.9057448797
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;4. čtvrtletí 2020;91.9761776666
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;3. čtvrtletí 2020;79.6993780476
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2. čtvrtletí 2020;81.1279739975
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;1. čtvrtletí 2020;88.5743975399
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;4. čtvrtletí 2019;88.5955801746
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;3. čtvrtletí 2019;87.8094663678
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2. čtvrtletí 2019;95.452619148
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;1. čtvrtletí 2019;91.668532207
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;4. čtvrtletí 2018;98.6695897666
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;3. čtvrtletí 2018;111.1326796198
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2. čtvrtletí 2018;104.2353449753
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;1. čtvrtletí 2018;97.5568700922
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;4. čtvrtletí 2017;106.4434823847
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;3. čtvrtletí 2017;109.0139925223
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2. čtvrtletí 2017;106.224801218
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;1. čtvrtletí 2017;112.8596400133
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;4. čtvrtletí 2016;88.9195402837
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;3. čtvrtletí 2016;86.4640874039
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2. čtvrtletí 2016;87.2190191104
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;1. čtvrtletí 2016;77.9472412506
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;4. čtvrtletí 2015;86.0450558493
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;3. čtvrtletí 2015;91.739024397
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2. čtvrtletí 2015;81.5207613854
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;1. čtvrtletí 2015;108.654595244
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;4. čtvrtletí 2014;98.539882097
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;3. čtvrtletí 2014;93.2310188431
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2. čtvrtletí 2014;104.6320506901
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;1. čtvrtletí 2014;96.3045216681
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;4. čtvrtletí 2013;103.9412833534
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;3. čtvrtletí 2013;90.0255205539
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2. čtvrtletí 2013;88.5952025591
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;1. čtvrtletí 2013;90.8370260233
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;4. čtvrtletí 2012;83.6451517065
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;3. čtvrtletí 2012;89.7505282536
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2. čtvrtletí 2012;90.4493011042
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;1. čtvrtletí 2012;96.7576979226
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;4. čtvrtletí 2011;104.0673636357
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;3. čtvrtletí 2011;101.9619021878
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2. čtvrtletí 2011;109.1299986717
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;1. čtvrtletí 2011;109.4300674153
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;4. čtvrtletí 2010;104.5255331383
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;3. čtvrtletí 2010;113.6721851449
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2. čtvrtletí 2010;110.6527969048
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;1. čtvrtletí 2010;98.863543943
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;4. čtvrtletí 2009;88.4766290701
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;3. čtvrtletí 2009;82.610782936
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2. čtvrtletí 2009;76.2872310672
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;1. čtvrtletí 2009;76.7298730146
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;4. čtvrtletí 2008;103.583087083
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;3. čtvrtletí 2008;114.8983042598
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2. čtvrtletí 2008;121.8264761295
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;1. čtvrtletí 2008;125.587478028
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;4. čtvrtletí 2007;103.4904198072
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;3. čtvrtletí 2007;93.2451963859
Česko;Tržby z průmyslové činnosti (běžné ceny);Meziroční index, kalendářní očištění;Celkem;B Těžba a dobývání;2. čtvrtletí 2007;100.1624109776
