Kategorie;Území;Měsíce;Ukazatel;Rezidence;value
Hromadná ubytovací zařízení celkem;Česko;červenec 2024;Počet přenocování;Rezidenti;5414057.0
Hromadná ubytovací zařízení celkem;Česko;červenec 2024;Počet přenocování;Nerezidenti;2731888.0
Hromadná ubytovací zařízení celkem;Česko;červenec 2024;Průměrný počet přenocování ;Celkem;2.8815619119
Hromadná ubytovací zařízení celkem;Česko;červenec 2024;Průměrný počet přenocování ;Rezidenti;3.1391169631
Hromadná ubytovací zařízení celkem;Česko;červenec 2024;Průměrný počet přenocování ;Nerezidenti;2.4785481572
Hromadná ubytovací zařízení celkem;Česko;červen 2024;Počet hostů;Celkem;2245852.0
Hromadná ubytovací zařízení celkem;Česko;červen 2024;Počet hostů;Rezidenti;1306300.0
Hromadná ubytovací zařízení celkem;Česko;červen 2024;Počet hostů;Nerezidenti;939552.0
Hromadná ubytovací zařízení celkem;Česko;červen 2024;Počet přenocování;Celkem;5273178.0
Hromadná ubytovací zařízení celkem;Česko;červen 2024;Počet přenocování;Rezidenti;3122032.0
Hromadná ubytovací zařízení celkem;Česko;červen 2024;Počet přenocování;Nerezidenti;2151146.0
Hromadná ubytovací zařízení celkem;Česko;červen 2024;Průměrný počet přenocování ;Celkem;2.3479632674
Hromadná ubytovací zařízení celkem;Česko;červen 2024;Průměrný počet přenocování ;Rezidenti;2.389980862
Hromadná ubytovací zařízení celkem;Česko;červen 2024;Průměrný počet přenocování ;Nerezidenti;2.2895443786
Hromadná ubytovací zařízení celkem;Česko;květen 2024;Počet hostů;Celkem;2158672.0
Hromadná ubytovací zařízení celkem;Česko;květen 2024;Počet hostů;Rezidenti;1118290.0
Hromadná ubytovací zařízení celkem;Česko;květen 2024;Počet hostů;Nerezidenti;1040382.0
Hromadná ubytovací zařízení celkem;Česko;květen 2024;Počet přenocování;Celkem;5093866.0
Hromadná ubytovací zařízení celkem;Česko;květen 2024;Počet přenocování;Rezidenti;2671882.0
Hromadná ubytovací zařízení celkem;Česko;květen 2024;Počet přenocování;Nerezidenti;2421984.0
Hromadná ubytovací zařízení celkem;Česko;květen 2024;Průměrný počet přenocování ;Celkem;2.3597220884
Hromadná ubytovací zařízení celkem;Česko;květen 2024;Průměrný počet přenocování ;Rezidenti;2.3892568117
Hromadná ubytovací zařízení celkem;Česko;květen 2024;Průměrný počet přenocování ;Nerezidenti;2.3279756859
Hromadná ubytovací zařízení celkem;Česko;duben 2024;Počet hostů;Celkem;1576710.0
Hromadná ubytovací zařízení celkem;Česko;duben 2024;Počet hostů;Rezidenti;781025.0
Hromadná ubytovací zařízení celkem;Česko;duben 2024;Počet hostů;Nerezidenti;795685.0
Hromadná ubytovací zařízení celkem;Česko;duben 2024;Počet přenocování;Celkem;3683181.0
Hromadná ubytovací zařízení celkem;Česko;duben 2024;Počet přenocování;Rezidenti;1792742.0
Hromadná ubytovací zařízení celkem;Česko;duben 2024;Počet přenocování;Nerezidenti;1890439.0
Hromadná ubytovací zařízení celkem;Česko;duben 2024;Průměrný počet přenocování ;Celkem;2.3359913998
Hromadná ubytovací zařízení celkem;Česko;duben 2024;Průměrný počet přenocování ;Rezidenti;2.2953708268
Hromadná ubytovací zařízení celkem;Česko;duben 2024;Průměrný počet přenocování ;Nerezidenti;2.3758635641
Hromadná ubytovací zařízení celkem;Česko;březen 2024;Počet hostů;Celkem;1554485.0
Hromadná ubytovací zařízení celkem;Česko;březen 2024;Počet hostů;Rezidenti;799887.0
Hromadná ubytovací zařízení celkem;Česko;březen 2024;Počet hostů;Nerezidenti;754598.0
Hromadná ubytovací zařízení celkem;Česko;březen 2024;Počet přenocování;Celkem;3828717.0
Hromadná ubytovací zařízení celkem;Česko;březen 2024;Počet přenocování;Rezidenti;1977330.0
Hromadná ubytovací zařízení celkem;Česko;březen 2024;Počet přenocování;Nerezidenti;1851387.0
Hromadná ubytovací zařízení celkem;Česko;březen 2024;Průměrný počet přenocování ;Celkem;2.4630131523
Hromadná ubytovací zařízení celkem;Česko;březen 2024;Průměrný počet přenocování ;Rezidenti;2.4720116716
Hromadná ubytovací zařízení celkem;Česko;březen 2024;Průměrný počet přenocování ;Nerezidenti;2.4534745653
Hromadná ubytovací zařízení celkem;Česko;únor 2024;Počet hostů;Celkem;1337653.0
Hromadná ubytovací zařízení celkem;Česko;únor 2024;Počet hostů;Rezidenti;725865.0
Hromadná ubytovací zařízení celkem;Česko;únor 2024;Počet hostů;Nerezidenti;611788.0
Hromadná ubytovací zařízení celkem;Česko;únor 2024;Počet přenocování;Celkem;3655530.0
Hromadná ubytovací zařízení celkem;Česko;únor 2024;Počet přenocování;Rezidenti;2037809.0
Hromadná ubytovací zařízení celkem;Česko;únor 2024;Počet přenocování;Nerezidenti;1617721.0
Hromadná ubytovací zařízení celkem;Česko;únor 2024;Průměrný počet přenocování ;Celkem;2.7327939309
Hromadná ubytovací zařízení celkem;Česko;únor 2024;Průměrný počet přenocování ;Rezidenti;2.8074214902
Hromadná ubytovací zařízení celkem;Česko;únor 2024;Průměrný počet přenocování ;Nerezidenti;2.6442509497
Hromadná ubytovací zařízení celkem;Česko;leden 2024;Počet hostů;Celkem;1196965.0
Hromadná ubytovací zařízení celkem;Česko;leden 2024;Počet hostů;Rezidenti;628706.0
Hromadná ubytovací zařízení celkem;Česko;leden 2024;Počet hostů;Nerezidenti;568259.0
Hromadná ubytovací zařízení celkem;Česko;leden 2024;Počet přenocování;Celkem;3001943.0
Hromadná ubytovací zařízení celkem;Česko;leden 2024;Počet přenocování;Rezidenti;1577332.0
Hromadná ubytovací zařízení celkem;Česko;leden 2024;Počet přenocování;Nerezidenti;1424611.0
Hromadná ubytovací zařízení celkem;Česko;leden 2024;Průměrný počet přenocování ;Celkem;2.5079622211
Hromadná ubytovací zařízení celkem;Česko;leden 2024;Průměrný počet přenocování ;Rezidenti;2.5088546952
Hromadná ubytovací zařízení celkem;Česko;leden 2024;Průměrný počet přenocování ;Nerezidenti;2.5069748125
Hromadná ubytovací zařízení celkem;Česko;prosinec 2023;Počet hostů;Celkem;1461969.0
Hromadná ubytovací zařízení celkem;Česko;prosinec 2023;Počet hostů;Rezidenti;624453.0
