"Česko, kraje, okresy",Ukazatel,Druh soc. dávek,Roky,value
Česko,Počet vyplacených dávek státní sociální podpory,Dávky státní sociální podpory celkem,2023,10408097.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky státní sociální podpory celkem,2024,10321468.0
Česko,Počet vyplacených dávek státní sociální podpory,Přídavek na dítě,2012,5570195.0
Česko,Počet vyplacených dávek státní sociální podpory,Přídavek na dítě,2013,5536893.0
Česko,Počet vyplacených dávek státní sociální podpory,Přídavek na dítě,2014,5334139.0
Česko,Počet vyplacených dávek státní sociální podpory,Přídavek na dítě,2015,5089100.0
Česko,Počet vyplacených dávek státní sociální podpory,Přídavek na dítě,2016,4695752.0
Česko,Počet vyplacených dávek státní sociální podpory,Přídavek na dítě,2017,4131413.0
Česko,Počet vyplacených dávek státní sociální podpory,Přídavek na dítě,2018,3242223.0
Česko,Počet vyplacených dávek státní sociální podpory,Přídavek na dítě,2019,2871311.0
Česko,Počet vyplacených dávek státní sociální podpory,Přídavek na dítě,2020,2709474.0
Česko,Počet vyplacených dávek státní sociální podpory,Přídavek na dítě,2021,2799085.0
Česko,Počet vyplacených dávek státní sociální podpory,Přídavek na dítě,2022,3464833.0
Česko,Počet vyplacených dávek státní sociální podpory,Přídavek na dítě,2023,4179252.0
Česko,Počet vyplacených dávek státní sociální podpory,Přídavek na dítě,2024,4044399.0
Česko,Počet vyplacených dávek státní sociální podpory,Rodičovský příspěvek,2012,3700352.0
Česko,Počet vyplacených dávek státní sociální podpory,Rodičovský příspěvek,2013,3534335.0
Česko,Počet vyplacených dávek státní sociální podpory,Rodičovský příspěvek,2014,3353936.0
Česko,Počet vyplacených dávek státní sociální podpory,Rodičovský příspěvek,2015,3328110.0
Česko,Počet vyplacených dávek státní sociální podpory,Rodičovský příspěvek,2016,3297317.0
Česko,Počet vyplacených dávek státní sociální podpory,Rodičovský příspěvek,2017,3343752.0
Česko,Počet vyplacených dávek státní sociální podpory,Rodičovský příspěvek,2018,3385196.0
Česko,Počet vyplacených dávek státní sociální podpory,Rodičovský příspěvek,2019,3404220.0
Česko,Počet vyplacených dávek státní sociální podpory,Rodičovský příspěvek,2020,3774769.0
Česko,Počet vyplacených dávek státní sociální podpory,Rodičovský příspěvek,2021,3596608.0
Česko,Počet vyplacených dávek státní sociální podpory,Rodičovský příspěvek,2022,3409384.0
Česko,Počet vyplacených dávek státní sociální podpory,Rodičovský příspěvek,2023,3230501.0
Česko,Počet vyplacených dávek státní sociální podpory,Rodičovský příspěvek,2024,2968844.0
Česko,Počet vyplacených dávek státní sociální podpory,Příspěvek na bydlení,2012,1950174.0
Česko,Počet vyplacených dávek státní sociální podpory,Příspěvek na bydlení,2013,2318431.0
Česko,Počet vyplacených dávek státní sociální podpory,Příspěvek na bydlení,2014,2637497.0
Česko,Počet vyplacených dávek státní sociální podpory,Příspěvek na bydlení,2015,2693280.0
Česko,Počet vyplacených dávek státní sociální podpory,Příspěvek na bydlení,2016,2652693.0
Česko,Počet vyplacených dávek státní sociální podpory,Příspěvek na bydlení,2017,2489459.0
Česko,Počet vyplacených dávek státní sociální podpory,Příspěvek na bydlení,2018,2222177.0
Česko,Počet vyplacených dávek státní sociální podpory,Příspěvek na bydlení,2019,1990620.0
Česko,Počet vyplacených dávek státní sociální podpory,Příspěvek na bydlení,2020,1871248.0
Česko,Počet vyplacených dávek státní sociální podpory,Příspěvek na bydlení,2021,1752508.0
Česko,Počet vyplacených dávek státní sociální podpory,Příspěvek na bydlení,2022,2021052.0
Česko,Počet vyplacených dávek státní sociální podpory,Příspěvek na bydlení,2023,2988326.0
Česko,Počet vyplacených dávek státní sociální podpory,Příspěvek na bydlení,2024,3299481.0
Česko,Počet vyplacených dávek státní sociální podpory,Porodné,2012,11030.0
Česko,Počet vyplacených dávek státní sociální podpory,Porodné,2013,11317.0
Česko,Počet vyplacených dávek státní sociální podpory,Porodné,2014,10948.0
Česko,Počet vyplacených dávek státní sociální podpory,Porodné,2015,22152.0
Česko,Počet vyplacených dávek státní sociální podpory,Porodné,2016,22499.0
Česko,Počet vyplacených dávek státní sociální podpory,Porodné,2017,19238.0
Česko,Počet vyplacených dávek státní sociální podpory,Porodné,2018,15559.0
Česko,Počet vyplacených dávek státní sociální podpory,Porodné,2019,11878.0
Česko,Počet vyplacených dávek státní sociální podpory,Porodné,2020,9230.0
Česko,Počet vyplacených dávek státní sociální podpory,Porodné,2021,8410.0
Česko,Počet vyplacených dávek státní sociální podpory,Porodné,2022,7732.0
Česko,Počet vyplacených dávek státní sociální podpory,Porodné,2023,7672.0
Česko,Počet vyplacených dávek státní sociální podpory,Porodné,2024,6395.0
Česko,Počet vyplacených dávek státní sociální podpory,Pohřebné,2012,2905.0
Česko,Počet vyplacených dávek státní sociální podpory,Pohřebné,2013,2850.0
Česko,Počet vyplacených dávek státní sociální podpory,Pohřebné,2014,2649.0
Česko,Počet vyplacených dávek státní sociální podpory,Pohřebné,2015,2729.0
Česko,Počet vyplacených dávek státní sociální podpory,Pohřebné,2016,2655.0
Česko,Počet vyplacených dávek státní sociální podpory,Pohřebné,2017,2573.0
Česko,Počet vyplacených dávek státní sociální podpory,Pohřebné,2018,2512.0
Česko,Počet vyplacených dávek státní sociální podpory,Pohřebné,2019,2440.0
Česko,Počet vyplacených dávek státní sociální podpory,Pohřebné,2020,2420.0
Česko,Počet vyplacených dávek státní sociální podpory,Pohřebné,2021,2666.0
Česko,Počet vyplacených dávek státní sociální podpory,Pohřebné,2022,2553.0
Česko,Počet vyplacených dávek státní sociální podpory,Pohřebné,2023,2346.0
Česko,Počet vyplacených dávek státní sociální podpory,Pohřebné,2024,2349.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky pěstounské péče,2012,242654.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky pěstounské péče,2013,265997.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky pěstounské péče,2014,300023.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky pěstounské péče,2015,327090.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky pěstounské péče,2016,344488.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky pěstounské péče,2017,356070.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky pěstounské péče,2018,363368.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky pěstounské péče,2019,367855.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky pěstounské péče,2020,371061.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky pěstounské péče,2021,374593.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky pěstounské péče,2022,419627.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky pěstounské péče,2023,438316.0
Česko,Počet vyplacených dávek státní sociální podpory,Dávky pěstounské péče,2024,451662.0
