Ukazatel,Typ indexu,Území,Klasifikace stavebních děl,Čtvrtletí,value
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2006,102.3
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2006,102.8
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2006,103.3
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2006,103.4
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2007,104.0
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2007,104.2
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2007,104.5
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2007,104.8
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2008,105.0
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2008,105.0
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2008,104.3
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2008,103.5
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2009,102.0
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2009,100.8
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2009,99.9
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2009,99.6
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2010,99.6
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2010,99.4
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2010,99.4
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2010,99.5
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2011,99.5
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2011,99.6
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2011,99.7
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2011,99.6
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2012,99.4
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2012,99.5
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2012,99.5
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2012,99.2
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2013,99.1
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2013,98.7
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2013,98.7
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2013,99.3
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,1. čtvrtletí 2014,99.8
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,2. čtvrtletí 2014,100.5
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,3. čtvrtletí 2014,100.8
Index cen stavebních děl,Meziroční index,Česko,1 Budovy,4. čtvrtletí 2014,100.9
