Kategorie;Území;Čtvrtletí;Rezidence;Ukazatel;value
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Rumunsko;Počet přenocování;53558.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Rumunsko;Průměrný počet přenocování ;2.3899152164
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Rusko;Počet hostů;8656.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Rusko;Počet přenocování;23793.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Rusko;Průměrný počet přenocování ;2.7487292052
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Řecko;Počet hostů;17494.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Řecko;Počet přenocování;54594.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Řecko;Průměrný počet přenocování ;3.1207271064
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Slovensko;Počet hostů;163578.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Slovensko;Počet přenocování;318223.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Slovensko;Průměrný počet přenocování ;1.9453899669
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Slovinsko;Počet hostů;5491.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Slovinsko;Počet přenocování;13106.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Slovinsko;Průměrný počet přenocování ;2.3868147878
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Velká Británie a Severní Irsko;Počet hostů;131548.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Velká Británie a Severní Irsko;Počet přenocování;353243.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Velká Británie a Severní Irsko;Průměrný počet přenocování ;2.6852783775
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Srbsko a Černá Hora;Počet hostů;8861.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Srbsko a Černá Hora;Počet přenocování;22140.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Srbsko a Černá Hora;Průměrný počet přenocování ;2.498589324
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Španělsko;Počet hostů;53089.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Španělsko;Počet přenocování;149621.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Španělsko;Průměrný počet přenocování ;2.8183051103
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Švédsko;Počet hostů;11704.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Švédsko;Počet přenocování;27487.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Švédsko;Průměrný počet přenocování ;2.3485133288
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Švýcarsko;Počet hostů;15252.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Švýcarsko;Počet přenocování;37195.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Švýcarsko;Průměrný počet přenocování ;2.4386965644
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Turecko;Počet hostů;26970.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Turecko;Počet přenocování;68004.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Turecko;Průměrný počet přenocování ;2.5214682981
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Ukrajina;Počet hostů;79523.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Ukrajina;Počet přenocování;182750.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Ukrajina;Průměrný počet přenocování ;2.2980772858
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Ostatní evropské země;Počet hostů;24386.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Ostatní evropské země;Počet přenocování;59471.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Ostatní evropské země;Průměrný počet přenocování ;2.4387353399
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Kanada;Počet hostů;8992.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Kanada;Počet přenocování;22520.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Kanada;Průměrný počet přenocování ;2.5044483986
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Spojené státy;Počet hostů;67033.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Spojené státy;Počet přenocování;168682.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Spojené státy;Průměrný počet přenocování ;2.516402369
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Brazílie;Počet hostů;11018.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Brazílie;Počet přenocování;29266.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Brazílie;Průměrný počet přenocování ;2.6561989472
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Mexiko;Počet hostů;8018.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Mexiko;Počet přenocování;19420.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Mexiko;Průměrný počet přenocování ;2.4220503866
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Argentina;Počet hostů;3728.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Argentina;Počet přenocování;9259.0
