Kategorie;Druh zařízení;ČR, kraje;Čtvrtletí;Rezidence;Ukazatel;value
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Litva;Počet přenocování;1652.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Litva;Průměrný počet přenocování ;3.7207207207
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Lotyšsko;Počet hostů;352.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Lotyšsko;Počet přenocování;1627.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Lotyšsko;Průměrný počet přenocování ;4.6221590909
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Lucembursko;Počet hostů;46.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Lucembursko;Počet přenocování;123.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Lucembursko;Průměrný počet přenocování ;2.6739130435
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Lichtenštejnsko;Počet hostů;6.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Lichtenštejnsko;Počet přenocování;12.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Lichtenštejnsko;Průměrný počet přenocování ;2.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Maďarsko;Počet hostů;524.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Maďarsko;Počet přenocování;1582.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Maďarsko;Průměrný počet přenocování ;3.0190839695
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Malta;Počet hostů;18.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Malta;Počet přenocování;82.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Malta;Průměrný počet přenocování ;4.5555555556
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Německo;Počet hostů;56797.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Německo;Počet přenocování;285383.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Německo;Průměrný počet přenocování ;5.0246139761
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Nizozemské království;Počet hostů;1330.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Nizozemské království;Počet přenocování;4364.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Nizozemské království;Průměrný počet přenocování ;3.2812030075
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Norsko;Počet hostů;205.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Norsko;Počet přenocování;631.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Norsko;Průměrný počet přenocování ;3.0780487805
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Polsko;Počet hostů;2274.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Polsko;Počet přenocování;5762.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Polsko;Průměrný počet přenocování ;2.5338610378
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Portugalsko;Počet hostů;96.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Portugalsko;Počet přenocování;397.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Portugalsko;Průměrný počet přenocování ;4.1354166667
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Rakousko;Počet hostů;1896.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Rakousko;Počet přenocování;5385.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Rakousko;Průměrný počet přenocování ;2.8401898734
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Rumunsko;Počet hostů;661.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Rumunsko;Počet přenocování;3181.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Rumunsko;Průměrný počet přenocování ;4.8124054463
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Rusko;Počet hostů;994.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Rusko;Počet přenocování;5531.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Rusko;Průměrný počet přenocování ;5.5643863179
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Řecko;Počet hostů;166.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Řecko;Počet přenocování;729.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Řecko;Průměrný počet přenocování ;4.3915662651
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Slovensko;Počet hostů;4600.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Slovensko;Počet přenocování;15268.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Slovensko;Průměrný počet přenocování ;3.3191304348
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Slovinsko;Počet hostů;194.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Slovinsko;Počet přenocování;543.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Slovinsko;Průměrný počet přenocování ;2.7989690722
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Velká Británie a Severní Irsko;Počet hostů;1008.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Velká Británie a Severní Irsko;Počet přenocování;3688.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Velká Británie a Severní Irsko;Průměrný počet přenocování ;3.6587301587
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Srbsko a Černá Hora;Počet hostů;74.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Srbsko a Černá Hora;Počet přenocování;205.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Srbsko a Černá Hora;Průměrný počet přenocování ;2.7702702703
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Španělsko;Počet hostů;844.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Španělsko;Počet přenocování;2572.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Španělsko;Průměrný počet přenocování ;3.0473933649
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Švédsko;Počet hostů;706.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Švédsko;Počet přenocování;2012.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Švédsko;Průměrný počet přenocování ;2.8498583569
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Švýcarsko;Počet hostů;957.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Švýcarsko;Počet přenocování;3442.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Švýcarsko;Průměrný počet přenocování ;3.5966562173
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Turecko;Počet hostů;203.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Turecko;Počet přenocování;533.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Turecko;Průměrný počet přenocování ;2.6256157635
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Ukrajina;Počet hostů;2872.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Ukrajina;Počet přenocování;18211.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Ukrajina;Průměrný počet přenocování ;6.3408774373
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Ostatní evropské země;Počet hostů;662.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Ostatní evropské země;Počet přenocování;5211.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Ostatní evropské země;Průměrný počet přenocování ;7.8716012085
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Kanada;Počet hostů;548.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Kanada;Počet přenocování;3464.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Kanada;Průměrný počet přenocování ;6.3211678832
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Spojené státy;Počet hostů;2724.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Spojené státy;Počet přenocování;20962.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Spojené státy;Průměrný počet přenocování ;7.6953010279
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Brazílie;Počet hostů;138.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Brazílie;Počet přenocování;265.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Brazílie;Průměrný počet přenocování ;1.9202898551
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Mexiko;Počet hostů;96.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Mexiko;Počet přenocování;208.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Mexiko;Průměrný počet přenocování ;2.1666666667
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Argentina;Počet hostů;60.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Argentina;Počet přenocování;176.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Argentina;Průměrný počet přenocování ;2.9333333333
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Ostatní americké země;Počet hostů;56.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Ostatní americké země;Počet přenocování;192.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Ostatní americké země;Průměrný počet přenocování ;3.4285714286
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Čína;Počet hostů;794.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Čína;Počet přenocování;1065.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Čína;Průměrný počet přenocování ;1.3413098237
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Indie;Počet hostů;109.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Indie;Počet přenocování;282.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Indie;Průměrný počet přenocování ;2.5871559633
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Izrael;Počet hostů;4291.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Izrael;Počet přenocování;47042.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Izrael;Průměrný počet přenocování ;10.9629457003
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Japonsko;Počet hostů;158.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Japonsko;Počet přenocování;303.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Japonsko;Průměrný počet přenocování ;1.917721519
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Korejská republika;Počet hostů;367.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Korejská republika;Počet přenocování;626.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Korejská republika;Průměrný počet přenocování ;1.7057220708
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Tchaj-wan;Počet hostů;3876.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Tchaj-wan;Počet přenocování;4057.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Tchaj-wan;Průměrný počet přenocování ;1.0466976264
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Saúdská Arábie;Počet hostů;1088.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Saúdská Arábie;Počet přenocování;18109.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Saúdská Arábie;Průměrný počet přenocování ;16.6443014706
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Spojené arabské emiráty;Počet hostů;265.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Spojené arabské emiráty;Počet přenocování;2823.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Spojené arabské emiráty;Průměrný počet přenocování ;10.6528301887
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Thajsko;Počet hostů;28.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Thajsko;Počet přenocování;64.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Thajsko;Průměrný počet přenocování ;2.2857142857
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Kazachstán;Počet hostů;1071.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Kazachstán;Počet přenocování;9061.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Kazachstán;Průměrný počet přenocování ;8.4603174603
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Ostatní asijské země;Počet hostů;3251.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Ostatní asijské země;Počet přenocování;37131.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Ostatní asijské země;Průměrný počet přenocování ;11.4214087973
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Jižní Afrika;Počet hostů;94.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Jižní Afrika;Počet přenocování;1256.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Jižní Afrika;Průměrný počet přenocování ;13.3617021277
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Ostatní africké země;Počet hostů;102.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Ostatní africké země;Počet přenocování;1060.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Ostatní africké země;Průměrný počet přenocování ;10.3921568627
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Austrálie;Počet hostů;211.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Austrálie;Počet přenocování;729.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Austrálie;Průměrný počet přenocování ;3.4549763033
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Nový Zéland;Počet hostů;42.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Nový Zéland;Počet přenocování;125.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Nový Zéland;Průměrný počet přenocování ;2.9761904762
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Oceánie;Počet hostů;2.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Oceánie;Počet přenocování;8.0
Hromadná ubytovací zařízení celkem;Lázeňské ubytovací zařízení;Česko;3. čtvrtletí 2024;Oceánie;Průměrný počet přenocování ;4.0
