Ukazatel,Rok sčítání,Pohlaví,Území,Bydliště v době narození,value
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,"V ČR, místo nezjištěno",33550
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,V zahraničí,68146
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,z toho ve Slovenské republice,30256
Počet obyvatel (obvyklý pobyt),2021,Celkem,Jihomoravský kraj,Nezjištěno,64
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Obyvatelstvo celkem,619788
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,V obci obvyklého pobytu,317785
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,V jiné obci okresu,132424
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,V jiném okrese kraje,44350
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,V jiném kraji,83353
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,"V ČR, místo nezjištěno",19386
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,V zahraničí,22481
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,z toho ve Slovenské republice,11731
Počet obyvatel (obvyklý pobyt),2021,Celkem,Olomoucký kraj,Nezjištěno,9
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Obyvatelstvo celkem,564331
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,V obci obvyklého pobytu,310222
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,V jiné obci okresu,119731
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,V jiném okrese kraje,33433
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,V jiném kraji,66358
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,"V ČR, místo nezjištěno",15849
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,V zahraničí,18726
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,z toho ve Slovenské republice,11021
Počet obyvatel (obvyklý pobyt),2021,Celkem,Zlínský kraj,Nezjištěno,12
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Obyvatelstvo celkem,1162841
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,V obci obvyklého pobytu,651104
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,V jiné obci okresu,173583
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,V jiném okrese kraje,148090
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,V jiném kraji,95656
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,"V ČR, místo nezjištěno",39044
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,V zahraničí,55337
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,z toho ve Slovenské republice,36364
Počet obyvatel (obvyklý pobyt),2021,Celkem,Moravskoslezský kraj,Nezjištěno,27
