Roky;Ukazatel;Oblasti destinačního managementu členěné;Kategorie ubytovacího zařízení;value
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Středočeský kraj;Hotel, motel, botel ****;
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Středočeský kraj;Hotel, motel, botel ***;1.0
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Středočeský kraj;Hotel, motel, botel **;
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Středočeský kraj;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Středočeský kraj;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Středočeský kraj;Penzion;2.0
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Středočeský kraj;Kemp;1.0
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Středočeský kraj;Chatová osada;1.0
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Středočeský kraj;Turistická ubytovna;1.0
2023;Počet hromadných ubytovacích zařízení;Máchův kraj - Středočeský kraj;Ostatní HUZ;
2023;Počet hromadných ubytovacích zařízení;Česká Kanada;HUZ celkem;137.0
2023;Počet hromadných ubytovacích zařízení;Česká Kanada;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Česká Kanada;Hotel, motel, botel ****;2.0
2023;Počet hromadných ubytovacích zařízení;Česká Kanada;Hotel, motel, botel ***;8.0
2023;Počet hromadných ubytovacích zařízení;Česká Kanada;Hotel, motel, botel **;3.0
2023;Počet hromadných ubytovacích zařízení;Česká Kanada;Hotel, motel, botel *;4.0
2023;Počet hromadných ubytovacích zařízení;Česká Kanada;Hotel garni;1.0
2023;Počet hromadných ubytovacích zařízení;Česká Kanada;Penzion;75.0
2023;Počet hromadných ubytovacích zařízení;Česká Kanada;Kemp;7.0
2023;Počet hromadných ubytovacích zařízení;Česká Kanada;Chatová osada;11.0
2023;Počet hromadných ubytovacích zařízení;Česká Kanada;Turistická ubytovna;6.0
2023;Počet hromadných ubytovacích zařízení;Česká Kanada;Ostatní HUZ;20.0
2023;Počet hromadných ubytovacích zařízení;Budějovicko;HUZ celkem;121.0
2023;Počet hromadných ubytovacích zařízení;Budějovicko;Hotel *****;2.0
2023;Počet hromadných ubytovacích zařízení;Budějovicko;Hotel, motel, botel ****;11.0
2023;Počet hromadných ubytovacích zařízení;Budějovicko;Hotel, motel, botel ***;19.0
2023;Počet hromadných ubytovacích zařízení;Budějovicko;Hotel, motel, botel **;
2023;Počet hromadných ubytovacích zařízení;Budějovicko;Hotel, motel, botel *;1.0
2023;Počet hromadných ubytovacích zařízení;Budějovicko;Hotel garni;2.0
2023;Počet hromadných ubytovacích zařízení;Budějovicko;Penzion;48.0
2023;Počet hromadných ubytovacích zařízení;Budějovicko;Kemp;12.0
2023;Počet hromadných ubytovacích zařízení;Budějovicko;Chatová osada;4.0
2023;Počet hromadných ubytovacích zařízení;Budějovicko;Turistická ubytovna;7.0
2023;Počet hromadných ubytovacích zařízení;Budějovicko;Ostatní HUZ;15.0
2023;Počet hromadných ubytovacích zařízení;Český Krumlov a okolí;HUZ celkem;150.0
2023;Počet hromadných ubytovacích zařízení;Český Krumlov a okolí;Hotel *****;1.0
2023;Počet hromadných ubytovacích zařízení;Český Krumlov a okolí;Hotel, motel, botel ****;11.0
2023;Počet hromadných ubytovacích zařízení;Český Krumlov a okolí;Hotel, motel, botel ***;7.0
2023;Počet hromadných ubytovacích zařízení;Český Krumlov a okolí;Hotel, motel, botel **;1.0
2023;Počet hromadných ubytovacích zařízení;Český Krumlov a okolí;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Český Krumlov a okolí;Hotel garni;7.0
2023;Počet hromadných ubytovacích zařízení;Český Krumlov a okolí;Penzion;87.0
2023;Počet hromadných ubytovacích zařízení;Český Krumlov a okolí;Kemp;13.0
2023;Počet hromadných ubytovacích zařízení;Český Krumlov a okolí;Chatová osada;1.0
2023;Počet hromadných ubytovacích zařízení;Český Krumlov a okolí;Turistická ubytovna;8.0
2023;Počet hromadných ubytovacích zařízení;Český Krumlov a okolí;Ostatní HUZ;14.0
2023;Počet hromadných ubytovacích zařízení;Lipensko;HUZ celkem;194.0
2023;Počet hromadných ubytovacích zařízení;Lipensko;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Lipensko;Hotel, motel, botel ****;5.0
2023;Počet hromadných ubytovacích zařízení;Lipensko;Hotel, motel, botel ***;31.0
2023;Počet hromadných ubytovacích zařízení;Lipensko;Hotel, motel, botel **;2.0
2023;Počet hromadných ubytovacích zařízení;Lipensko;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Lipensko;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Lipensko;Penzion;85.0
2023;Počet hromadných ubytovacích zařízení;Lipensko;Kemp;13.0
2023;Počet hromadných ubytovacích zařízení;Lipensko;Chatová osada;12.0
2023;Počet hromadných ubytovacích zařízení;Lipensko;Turistická ubytovna;4.0
2023;Počet hromadných ubytovacích zařízení;Lipensko;Ostatní HUZ;42.0
2023;Počet hromadných ubytovacích zařízení;Novohradsko-Doudlebsko;HUZ celkem;63.0
2023;Počet hromadných ubytovacích zařízení;Novohradsko-Doudlebsko;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Novohradsko-Doudlebsko;Hotel, motel, botel ****;1.0
2023;Počet hromadných ubytovacích zařízení;Novohradsko-Doudlebsko;Hotel, motel, botel ***;6.0
2023;Počet hromadných ubytovacích zařízení;Novohradsko-Doudlebsko;Hotel, motel, botel **;
2023;Počet hromadných ubytovacích zařízení;Novohradsko-Doudlebsko;Hotel, motel, botel *;2.0
2023;Počet hromadných ubytovacích zařízení;Novohradsko-Doudlebsko;Hotel garni;1.0
2023;Počet hromadných ubytovacích zařízení;Novohradsko-Doudlebsko;Penzion;40.0
2023;Počet hromadných ubytovacích zařízení;Novohradsko-Doudlebsko;Kemp;4.0
2023;Počet hromadných ubytovacích zařízení;Novohradsko-Doudlebsko;Chatová osada;1.0
2023;Počet hromadných ubytovacích zařízení;Novohradsko-Doudlebsko;Turistická ubytovna;6.0
2023;Počet hromadných ubytovacích zařízení;Novohradsko-Doudlebsko;Ostatní HUZ;2.0
2023;Počet hromadných ubytovacích zařízení;Písecko, Blatensko, Strakonicko, Vodňansko;HUZ celkem;127.0
2023;Počet hromadných ubytovacích zařízení;Písecko, Blatensko, Strakonicko, Vodňansko;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Písecko, Blatensko, Strakonicko, Vodňansko;Hotel, motel, botel ****;4.0
2023;Počet hromadných ubytovacích zařízení;Písecko, Blatensko, Strakonicko, Vodňansko;Hotel, motel, botel ***;15.0
2023;Počet hromadných ubytovacích zařízení;Písecko, Blatensko, Strakonicko, Vodňansko;Hotel, motel, botel **;3.0
2023;Počet hromadných ubytovacích zařízení;Písecko, Blatensko, Strakonicko, Vodňansko;Hotel, motel, botel *;
2023;Počet hromadných ubytovacích zařízení;Písecko, Blatensko, Strakonicko, Vodňansko;Hotel garni;3.0
2023;Počet hromadných ubytovacích zařízení;Písecko, Blatensko, Strakonicko, Vodňansko;Penzion;37.0
2023;Počet hromadných ubytovacích zařízení;Písecko, Blatensko, Strakonicko, Vodňansko;Kemp;23.0
2023;Počet hromadných ubytovacích zařízení;Písecko, Blatensko, Strakonicko, Vodňansko;Chatová osada;12.0
2023;Počet hromadných ubytovacích zařízení;Písecko, Blatensko, Strakonicko, Vodňansko;Turistická ubytovna;6.0
2023;Počet hromadných ubytovacích zařízení;Písecko, Blatensko, Strakonicko, Vodňansko;Ostatní HUZ;24.0
2023;Počet hromadných ubytovacích zařízení;Šumavsko;HUZ celkem;174.0
2023;Počet hromadných ubytovacích zařízení;Šumavsko;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Šumavsko;Hotel, motel, botel ****;3.0
2023;Počet hromadných ubytovacích zařízení;Šumavsko;Hotel, motel, botel ***;22.0
2023;Počet hromadných ubytovacích zařízení;Šumavsko;Hotel, motel, botel **;2.0
2023;Počet hromadných ubytovacích zařízení;Šumavsko;Hotel, motel, botel *;1.0
2023;Počet hromadných ubytovacích zařízení;Šumavsko;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Šumavsko;Penzion;96.0
2023;Počet hromadných ubytovacích zařízení;Šumavsko;Kemp;10.0
2023;Počet hromadných ubytovacích zařízení;Šumavsko;Chatová osada;4.0
2023;Počet hromadných ubytovacích zařízení;Šumavsko;Turistická ubytovna;14.0
2023;Počet hromadných ubytovacích zařízení;Šumavsko;Ostatní HUZ;22.0
2023;Počet hromadných ubytovacích zařízení;Toulava - Jihočeský kraj;HUZ celkem;117.0
2023;Počet hromadných ubytovacích zařízení;Toulava - Jihočeský kraj;Hotel *****;
2023;Počet hromadných ubytovacích zařízení;Toulava - Jihočeský kraj;Hotel, motel, botel ****;4.0
2023;Počet hromadných ubytovacích zařízení;Toulava - Jihočeský kraj;Hotel, motel, botel ***;13.0
2023;Počet hromadných ubytovacích zařízení;Toulava - Jihočeský kraj;Hotel, motel, botel **;1.0
2023;Počet hromadných ubytovacích zařízení;Toulava - Jihočeský kraj;Hotel, motel, botel *;1.0
2023;Počet hromadných ubytovacích zařízení;Toulava - Jihočeský kraj;Hotel garni;
2023;Počet hromadných ubytovacích zařízení;Toulava - Jihočeský kraj;Penzion;39.0
2023;Počet hromadných ubytovacích zařízení;Toulava - Jihočeský kraj;Kemp;16.0
2023;Počet hromadných ubytovacích zařízení;Toulava - Jihočeský kraj;Chatová osada;7.0
2023;Počet hromadných ubytovacích zařízení;Toulava - Jihočeský kraj;Turistická ubytovna;10.0
2023;Počet hromadných ubytovacích zařízení;Toulava - Jihočeský kraj;Ostatní HUZ;26.0
