Území;Ukazatel;Typ indexu;Typ zakázek;Vybraná odvětví průmyslu;Čtvrtletí;value
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2017;108.1209134775
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2017;108.3762247843
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2017;107.3441955549
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2016;106.4416747929
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2016;101.9491446859
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2016;107.1316561812
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2016;102.4833916857
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2015;105.2688430825
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2015;106.0473469386
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2015;106.3710040105
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2015;108.5341163004
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2014;108.1754243393
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2014;109.534680217
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2014;113.741317885
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2014;117.9510294786
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2013;114.0205801476
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2013;109.3365427402
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2013;99.2683730906
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2013;94.5209464794
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2012;96.4724606046
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2012;103.8701959416
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2012;102.284034432
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2012;107.6886687869
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2011;101.3386169006
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2011;98.5914675158
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2011;105.1863543185
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2011;111.8064397643
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2010;113.4108327618
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2010;118.8902084111
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2010;117.3815804868
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2010;111.8686279887
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2009;101.0804511338
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2009;83.6043660334
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2009;77.7190804307
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2009;74.8554365868
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2008;80.1022761136
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2008;95.6342738472
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2008;104.9404514181
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2008;108.1583329741
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2007;110.1800255675
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2007;114.3370377167
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2007;107.0396849743
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2007;113.3128237195
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2006;118.6839649123
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2006;118.007357329
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2006;124.1734690176
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2006;119.690861294
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2005;108.5149385991
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2005;102.9968975037
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2005;104.0424539377
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2005;107.0246298349
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2004;120.4566324138
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2004;120.7048810325
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2004;126.7417790823
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2004;114.8625852235
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2003;103.1682214797
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2003;105.3165689766
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2003;103.8919955744
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2003;101.6438767339
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2002;107.6631387068
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2002;108.3221261354
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2002;104.912618788
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2002;104.9249885123
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2001;120.0949840149
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2001;135.6459167797
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2001;132.6844421458
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2001;165.379438707
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;4. čtvrtletí 2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;3. čtvrtletí 2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;2. čtvrtletí 2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;Průmysl;1. čtvrtletí 2000;
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2025;98.4408388048
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2024;99.2912903094
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2024;101.3736666815
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2024;96.8833469335
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2024;96.153389985
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2023;92.9872581354
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2023;88.9628171898
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2023;93.7335996124
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2023;92.9660902746
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2022;104.7872158163
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2022;110.7828644927
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2022;118.5021099638
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2022;122.8867621417
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2021;112.3757781371
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2021;112.0360448559
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2021;119.0814891524
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2021;102.0287551077
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2020;104.4428865543
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2020;98.6464734356
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2020;83.9039010407
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2020;94.3031016284
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2019;93.8778101775
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2019;96.8302373023
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2019;102.9994515278
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2019;103.4500220739
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2018;96.0810088607
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2018;96.1883859849
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2018;93.364304721
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2018;95.3163185881
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2017;104.8368482803
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2017;103.9544136626
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2017;104.8528279654
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2017;104.3680145504
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2016;98.2547152911
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2016;98.4585903514
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2016;100.7754334253
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2016;105.6848398962
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2015;107.4580338167
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2015;109.4791887201
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2015;103.3581067489
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2015;97.3643537152
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2014;102.7914227497
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2014;104.8516828485
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2014;111.6568158692
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2014;113.2285390807
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2013;112.0422240551
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2013;99.9631138193
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2013;97.8063681089
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2013;99.4657105223
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2012;104.8659937517
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2012;107.466363943
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2012;108.720335996
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2012;94.1758111268
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2011;100.8294425568
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2011;104.6686356866
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2011;109.0526171411
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2011;115.6691361556
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2010;104.7941313501
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2010;108.6577474186
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2010;108.9005662444
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2010;96.6108847989
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2009;102.1936252079
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2009;93.0845620574
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2009;81.7935149882
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2009;82.2329052642
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2008;78.7400585234
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2008;80.9333617887
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2008;88.6256511325
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2008;92.804734825
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2007;100.560485023
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2007;111.2403481556
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2007;107.6032069973
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2007;110.623252413
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2006;100.5243771436
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2006;105.0130200908
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2006;104.7623207502
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2006;111.6573282727
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2005;96.2827542083
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2005;93.2205331111
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2005;93.5806386087
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2005;86.2216611528
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2004;99.4049254441
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2004;99.3001022674
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2004;104.3493351135
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2004;105.7720291607
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2003;100.7157858302
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;3. čtvrtletí 2003;101.8700358472
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;2. čtvrtletí 2003;94.6973244115
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;1. čtvrtletí 2003;95.7730618532
Česko;Nové průmyslové zakázky (běžné ceny);Meziroční index, kalendářní očištění;Celkem;13 Výroba textilií;4. čtvrtletí 2002;104.8208020197
