Ukazatel;ČR, kraje, okresy;Druh důchodu;Pohlaví;Roky;value
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu třetího stupně (sólo);žena;2023;16532
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);muž;2014;6945
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);muž;2015;7030
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);muž;2016;7019
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);muž;2017;7199
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);muž;2018;7492
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);muž;2019;8214
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);muž;2020;8832
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);muž;2021;9259
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);muž;2022;10804
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);muž;2023;11780
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);žena;2014;6338
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);žena;2015;6434
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);žena;2016;6444
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);žena;2017;6627
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);žena;2018;6908
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);žena;2019;7628
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);žena;2020;8237
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);žena;2021;8638
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);žena;2022;10101
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu druhého stupně (sólo);žena;2023;11068
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);muž;2014;6222
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);muž;2015;6243
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);muž;2016;6183
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);muž;2017;6294
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);muž;2018;6504
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);muž;2019;7147
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);muž;2020;7664
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);muž;2021;7946
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);muž;2022;9220
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);muž;2023;10023
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);žena;2014;5598
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);žena;2015;5626
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);žena;2016;5597
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);žena;2017;5724
Průměrná hodnota vyplaceného (měsíčního) důchodu (Kč);Česko;Invalidní důchod pro invaliditu prvního stupně (sólo);žena;2018;5940
