Území;Ukazatel;Měsíce;Věkové skupiny (roky);value
Česko;Zemřelí;březen 2021;45-64;2387
Česko;Zemřelí;březen 2021;65-74;4539
Česko;Zemřelí;březen 2021;75-84;5427
Česko;Zemřelí;březen 2021;85 a více;4060
Česko;Zemřelí;únor 2021;celkem;13820
Česko;Zemřelí;únor 2021;0-14;42
Česko;Zemřelí;únor 2021;15-44;305
Česko;Zemřelí;únor 2021;45-64;1810
Česko;Zemřelí;únor 2021;65-74;3545
Česko;Zemřelí;únor 2021;75-84;4306
Česko;Zemřelí;únor 2021;85 a více;3812
Česko;Zemřelí;leden 2021;celkem;16211
Česko;Zemřelí;leden 2021;0-14;30
Česko;Zemřelí;leden 2021;15-44;328
Česko;Zemřelí;leden 2021;45-64;1958
Česko;Zemřelí;leden 2021;65-74;3809
Česko;Zemřelí;leden 2021;75-84;5204
Česko;Zemřelí;leden 2021;85 a více;4882
Česko;Zemřelí;prosinec 2020;celkem;14165
Česko;Zemřelí;prosinec 2020;0-14;41
Česko;Zemřelí;prosinec 2020;15-44;296
Česko;Zemřelí;prosinec 2020;45-64;1592
Česko;Zemřelí;prosinec 2020;65-74;3163
Česko;Zemřelí;prosinec 2020;75-84;4644
Česko;Zemřelí;prosinec 2020;85 a více;4429
Česko;Zemřelí;listopad 2020;celkem;15751
Česko;Zemřelí;listopad 2020;0-14;11
Česko;Zemřelí;listopad 2020;15-44;285
Česko;Zemřelí;listopad 2020;45-64;1700
Česko;Zemřelí;listopad 2020;65-74;3456
Česko;Zemřelí;listopad 2020;75-84;5161
Česko;Zemřelí;listopad 2020;85 a více;5138
Česko;Zemřelí;říjen 2020;celkem;14189
Česko;Zemřelí;říjen 2020;0-14;32
Česko;Zemřelí;říjen 2020;15-44;274
Česko;Zemřelí;říjen 2020;45-64;1623
Česko;Zemřelí;říjen 2020;65-74;3255
Česko;Zemřelí;říjen 2020;75-84;4555
Česko;Zemřelí;říjen 2020;85 a více;4450
Česko;Zemřelí;září 2020;celkem;9459
Česko;Zemřelí;září 2020;0-14;38
Česko;Zemřelí;září 2020;15-44;260
Česko;Zemřelí;září 2020;45-64;1238
Česko;Zemřelí;září 2020;65-74;2234
Česko;Zemřelí;září 2020;75-84;2891
Česko;Zemřelí;září 2020;85 a více;2798
Česko;Zemřelí;srpen 2020;celkem;9379
Česko;Zemřelí;srpen 2020;0-14;34
Česko;Zemřelí;srpen 2020;15-44;306
Česko;Zemřelí;srpen 2020;45-64;1271
Česko;Zemřelí;srpen 2020;65-74;2211
Česko;Zemřelí;srpen 2020;75-84;2762
Česko;Zemřelí;srpen 2020;85 a více;2795
Česko;Zemřelí;červenec 2020;celkem;9178
Česko;Zemřelí;červenec 2020;0-14;35
Česko;Zemřelí;červenec 2020;15-44;276
Česko;Zemřelí;červenec 2020;45-64;1315
Česko;Zemřelí;červenec 2020;65-74;2204
Česko;Zemřelí;červenec 2020;75-84;2637
Česko;Zemřelí;červenec 2020;85 a více;2711
Česko;Zemřelí;červen 2020;celkem;8847
Česko;Zemřelí;červen 2020;0-14;29
Česko;Zemřelí;červen 2020;15-44;235
Česko;Zemřelí;červen 2020;45-64;1267
Česko;Zemřelí;červen 2020;65-74;2155
Česko;Zemřelí;červen 2020;75-84;2582
Česko;Zemřelí;červen 2020;85 a více;2579
Česko;Zemřelí;květen 2020;celkem;8795
Česko;Zemřelí;květen 2020;0-14;43
Česko;Zemřelí;květen 2020;15-44;235
Česko;Zemřelí;květen 2020;45-64;1169
Česko;Zemřelí;květen 2020;65-74;2184
Česko;Zemřelí;květen 2020;75-84;2481
Česko;Zemřelí;květen 2020;85 a více;2683
Česko;Zemřelí;duben 2020;celkem;9279
Česko;Zemřelí;duben 2020;0-14;27
Česko;Zemřelí;duben 2020;15-44;276
Česko;Zemřelí;duben 2020;45-64;1255
Česko;Zemřelí;duben 2020;65-74;2166
Česko;Zemřelí;duben 2020;75-84;2794
Česko;Zemřelí;duben 2020;85 a více;2761
Česko;Zemřelí;březen 2020;celkem;10219
Česko;Zemřelí;březen 2020;0-14;33
Česko;Zemřelí;březen 2020;15-44;234
Česko;Zemřelí;březen 2020;45-64;1424
Česko;Zemřelí;březen 2020;65-74;2435
Česko;Zemřelí;březen 2020;75-84;2954
Česko;Zemřelí;březen 2020;85 a více;3139
Česko;Zemřelí;únor 2020;celkem;9802
Česko;Zemřelí;únor 2020;0-14;33
Česko;Zemřelí;únor 2020;15-44;226
Česko;Zemřelí;únor 2020;45-64;1250
Česko;Zemřelí;únor 2020;65-74;2251
Česko;Zemřelí;únor 2020;75-84;2899
Česko;Zemřelí;únor 2020;85 a více;3143
Česko;Zemřelí;leden 2020;celkem;10226
Česko;Zemřelí;leden 2020;0-14;41
Česko;Zemřelí;leden 2020;15-44;274
Česko;Zemřelí;leden 2020;45-64;1367
Česko;Zemřelí;leden 2020;65-74;2331
Česko;Zemřelí;leden 2020;75-84;2988
Česko;Zemřelí;leden 2020;85 a více;3225
Česko;Zemřelí;prosinec 2019;celkem;9745
Česko;Zemřelí;prosinec 2019;0-14;36
Česko;Zemřelí;prosinec 2019;15-44;249
Česko;Zemřelí;prosinec 2019;45-64;1299
Česko;Zemřelí;prosinec 2019;65-74;2281
Česko;Zemřelí;prosinec 2019;75-84;2858
Česko;Zemřelí;prosinec 2019;85 a více;3022
Česko;Zemřelí;listopad 2019;celkem;9238
Česko;Zemřelí;listopad 2019;0-14;33
Česko;Zemřelí;listopad 2019;15-44;237
Česko;Zemřelí;listopad 2019;45-64;1293
Česko;Zemřelí;listopad 2019;65-74;2136
Česko;Zemřelí;listopad 2019;75-84;2660
Česko;Zemřelí;listopad 2019;85 a více;2879
Česko;Zemřelí;říjen 2019;celkem;9445
Česko;Zemřelí;říjen 2019;0-14;37
Česko;Zemřelí;říjen 2019;15-44;258
Česko;Zemřelí;říjen 2019;45-64;1263
Česko;Zemřelí;říjen 2019;65-74;2192
Česko;Zemřelí;říjen 2019;75-84;2778
Česko;Zemřelí;říjen 2019;85 a více;2917
Česko;Zemřelí;září 2019;celkem;8673
Česko;Zemřelí;září 2019;0-14;22
Česko;Zemřelí;září 2019;15-44;250
Česko;Zemřelí;září 2019;45-64;1147
Česko;Zemřelí;září 2019;65-74;2076
Česko;Zemřelí;září 2019;75-84;2595
Česko;Zemřelí;září 2019;85 a více;2583
Česko;Zemřelí;srpen 2019;celkem;9017
Česko;Zemřelí;srpen 2019;0-14;51
Česko;Zemřelí;srpen 2019;15-44;289
Česko;Zemřelí;srpen 2019;45-64;1269
Česko;Zemřelí;srpen 2019;65-74;2116
Česko;Zemřelí;srpen 2019;75-84;2552
Česko;Zemřelí;srpen 2019;85 a více;2740
Česko;Zemřelí;červenec 2019;celkem;9104
Česko;Zemřelí;červenec 2019;0-14;27
Česko;Zemřelí;červenec 2019;15-44;255
Česko;Zemřelí;červenec 2019;45-64;1284
Česko;Zemřelí;červenec 2019;65-74;2210
Česko;Zemřelí;červenec 2019;75-84;2574
Česko;Zemřelí;červenec 2019;85 a více;2754
Česko;Zemřelí;červen 2019;celkem;8821
Česko;Zemřelí;červen 2019;0-14;42
Česko;Zemřelí;červen 2019;15-44;263
Česko;Zemřelí;červen 2019;45-64;1289
Česko;Zemřelí;červen 2019;65-74;2097
Česko;Zemřelí;červen 2019;75-84;2471
Česko;Zemřelí;červen 2019;85 a více;2659
Česko;Zemřelí;květen 2019;celkem;9035
Česko;Zemřelí;květen 2019;0-14;44
Česko;Zemřelí;květen 2019;15-44;252
Česko;Zemřelí;květen 2019;45-64;1279
Česko;Zemřelí;květen 2019;65-74;2144
Česko;Zemřelí;květen 2019;75-84;2610
Česko;Zemřelí;květen 2019;85 a více;2706
Česko;Zemřelí;duben 2019;celkem;9086
Česko;Zemřelí;duben 2019;0-14;43
Česko;Zemřelí;duben 2019;15-44;273
Česko;Zemřelí;duben 2019;45-64;1308
Česko;Zemřelí;duben 2019;65-74;2142
Česko;Zemřelí;duben 2019;75-84;2561
Česko;Zemřelí;duben 2019;85 a více;2759
Česko;Zemřelí;březen 2019;celkem;9917
Česko;Zemřelí;březen 2019;0-14;39
Česko;Zemřelí;březen 2019;15-44;275
Česko;Zemřelí;březen 2019;45-64;1373
Česko;Zemřelí;březen 2019;65-74;2329
