Území;Šetření;Ukazatel;Čtvrtletí;value
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2017;3957.5355955675
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2016;3970.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2016;3932.5
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2016;3925.6
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2016;3873.8
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2015;3909.6
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2015;3872.8
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2015;3851.8
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2015;3793.5
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2014;3825.8
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2014;3794.8
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2014;3773.2
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2014;3720.2
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2013;3760.7
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2013;3748.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2013;3736.3
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2013;3704.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2012;3792.3
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2012;3787.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2012;3783.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2012;3736.8
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2011;3785.3
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2011;3784.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2011;3790.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2011;3732.5
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2010;3811.1
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2010;3801.8
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2010;3789.5
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2010;3741.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2009;3783.3
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2009;3780.0
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2009;3824.7
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2009;3875.7
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2008;4030.1
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2008;4046.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2008;4051.6
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2008;4020.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2007;4058.2
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2007;4014.7
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2007;3993.8
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2007;3946.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2006;3984.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2006;3954.1
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2006;3928.5
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2006;3872.6
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2005;3943.2
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2005;3923.3
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2005;3908.8
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2005;3853.0
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2004;3890.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2004;3859.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2004;3846.8
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2004;3789.2
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2003;3856.5
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2003;3846.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2003;3839.1
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2003;3807.7
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2002;3847.3
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2002;3846.1
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2002;3842.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2002;3809.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2001;3984.3
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2001;3952.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2001;3951.1
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2001;3858.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);4. čtvrtletí 2000;3929.0
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3. čtvrtletí 2000;3915.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);2. čtvrtletí 2000;3889.9
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1. čtvrtletí 2000;3842.8
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2024;49228.5154016238
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2024;45464.1045426303
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2024;45888.5521572772
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2024;44047.1145059751
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2023;45906.5144951867
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2023;42438.859054782
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2023;43057.2875439434
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2023;41057.6128975968
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2022;42877.8497942408
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2022;39386.1216829615
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2022;39725.6721447282
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2022;37691.3807346825
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2021;40600.7605233702
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2021;37896.3643556729
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2021;38769.6749527043
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2021;35804.0985481774
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2020;39092.0628896787
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2020;35975.2646847444
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2020;34874.8346564019
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2020;34760.5876038044
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2019;36634.1086215806
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2019;34127.0489123393
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2019;34576.0599645212
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2019;32950.972626854
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2018;34057.485626046
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2018;31684.8980694264
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2018;32003.4306530443
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2018;30426.9372312714
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2017;31802.1014884151
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2017;29234.2408169657
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2017;29432.4453963964
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2017;28033.5913552409
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2016;29491.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2016;27396.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2016;27452.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2016;26683.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2015;28258.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2015;26163.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2015;26287.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2015;25327.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2014;27107.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2014;25127.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2014;25411.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2014;24754.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2013;26525.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2013;24735.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2013;24877.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2013;23985.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2012;27055.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2012;24439.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2012;24627.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2012;24131.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2011;26211.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2011;24107.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2011;24116.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2011;23372.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2010;25591.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2010;23600.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2010;23504.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2010;22738.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2009;25418.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2009;23092.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2009;22796.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2009;22108.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2008;24309.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2008;22181.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2008;22246.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2008;21632.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2007;22641.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2007;20721.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2007;20740.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2007;19687.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2006;21269.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2006;19305.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2006;19300.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2006;18270.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2005;19963.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2005;18203.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2005;18112.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2005;17067.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2004;19183.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2004;17190.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2004;17223.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2004;16231.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2003;18096.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2003;16088.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2003;16529.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2003;14986.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2002;17133.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2002;15268.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2002;15599.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2002;14083.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2001;15908.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2001;14117.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2001;14391.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2001;13052.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);4. čtvrtletí 2000;14717.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);3. čtvrtletí 2000;12963.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);2. čtvrtletí 2000;13227.0
Česko;ČR;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);1. čtvrtletí 2000;11941.0
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2024;100.1304168448
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2024;99.946693092
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2024;99.8211858239
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2024;99.8990917271
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2023;99.4295424118
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2023;99.6403958275
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2023;99.9126342501
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2023;100.4779113149
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2022;100.7807379813
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2022;100.6844589921
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2022;100.8773311976
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2022;100.5039088395
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2021;100.774560404
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2021;101.0258825339
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2021;100.7698679008
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2021;98.330074214
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2020;97.9743162819
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2020;97.7982210027
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2020;97.4635259254
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2020;99.9251088275
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2019;99.4978629991
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2019;99.3824391238
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2019;99.8824104468
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2019;100.0703254726
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2018;100.9682072006
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2018;101.4051643963
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2018;101.7269605147
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2018;102.0347687758
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2017;102.4
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);3. čtvrtletí 2017;102.2
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);2. čtvrtletí 2017;102.0
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);1. čtvrtletí 2017;102.2
Česko;ČR;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);4. čtvrtletí 2016;101.6
