Území,Země,Měsíce,Ukazatel,value
Česko,Svět celkem,březen 2025,Bilance - pohyb zboží (v mil. Kč),71791.34749
Česko,Svět celkem,březen 2025,Obrat - pohyb zboží (v mil. Kč),1033885.948
Česko,Svět celkem,březen 2025,Pohyb zboží z ČR (meziroční index ),106.7931635445
Česko,Svět celkem,březen 2025,Pohyb zboží do ČR (meziroční index),109.0945443442
Česko,Svět celkem,březen 2025,Obrat pohybu zboží (meziroční index),107.8517536066
Česko,Svět celkem,únor 2025,"Pohyb zboží z ČR (v mil. Kč, FOB)",506201.022419
Česko,Svět celkem,únor 2025,"Pohyb zboží do ČR (v mil. Kč, CIF)",440250.03483
Česko,Svět celkem,únor 2025,Bilance - pohyb zboží (v mil. Kč),65950.987589
Česko,Svět celkem,únor 2025,Obrat - pohyb zboží (v mil. Kč),946451.057249
Česko,Svět celkem,únor 2025,Pohyb zboží z ČR (meziroční index ),98.3972076316
Česko,Svět celkem,únor 2025,Pohyb zboží do ČR (meziroční index),98.8784006517
Česko,Svět celkem,únor 2025,Obrat pohybu zboží (meziroční index),98.6204548856
Česko,Svět celkem,leden 2025,"Pohyb zboží z ČR (v mil. Kč, FOB)",520772.678899
Česko,Svět celkem,leden 2025,"Pohyb zboží do ČR (v mil. Kč, CIF)",466104.912274
Česko,Svět celkem,leden 2025,Bilance - pohyb zboží (v mil. Kč),54667.766625
Česko,Svět celkem,leden 2025,Obrat - pohyb zboží (v mil. Kč),986877.591173
Česko,Svět celkem,leden 2025,Pohyb zboží z ČR (meziroční index ),108.0592446084
Česko,Svět celkem,leden 2025,Pohyb zboží do ČR (meziroční index),106.7365077034
Česko,Svět celkem,leden 2025,Obrat pohybu zboží (meziroční index),107.4304507777
Česko,Svět celkem,prosinec 2024,"Pohyb zboží z ČR (v mil. Kč, FOB)",458729.228566
Česko,Svět celkem,prosinec 2024,"Pohyb zboží do ČR (v mil. Kč, CIF)",406739.508691
Česko,Svět celkem,prosinec 2024,Bilance - pohyb zboží (v mil. Kč),51989.719875
Česko,Svět celkem,prosinec 2024,Obrat - pohyb zboží (v mil. Kč),865468.737257
Česko,Svět celkem,prosinec 2024,Pohyb zboží z ČR (meziroční index ),112.0259052522
Česko,Svět celkem,prosinec 2024,Pohyb zboží do ČR (meziroční index),107.4357327193
Česko,Svět celkem,prosinec 2024,Obrat pohybu zboží (meziroční index),109.8207974412
Česko,Svět celkem,listopad 2024,"Pohyb zboží z ČR (v mil. Kč, FOB)",566560.608325
Česko,Svět celkem,listopad 2024,"Pohyb zboží do ČR (v mil. Kč, CIF)",506377.992448
Česko,Svět celkem,listopad 2024,Bilance - pohyb zboží (v mil. Kč),60182.615877
Česko,Svět celkem,listopad 2024,Obrat - pohyb zboží (v mil. Kč),1072938.600773
Česko,Svět celkem,listopad 2024,Pohyb zboží z ČR (meziroční index ),106.300513007
Česko,Svět celkem,listopad 2024,Pohyb zboží do ČR (meziroční index),108.492533852
Česko,Svět celkem,listopad 2024,Obrat pohybu zboží (meziroční index),107.3239031717
Česko,Svět celkem,říjen 2024,"Pohyb zboží z ČR (v mil. Kč, FOB)",566299.208265
Česko,Svět celkem,říjen 2024,"Pohyb zboží do ČR (v mil. Kč, CIF)",512980.679794
Česko,Svět celkem,říjen 2024,Bilance - pohyb zboží (v mil. Kč),53318.528471
Česko,Svět celkem,říjen 2024,Obrat - pohyb zboží (v mil. Kč),1079279.888059
Česko,Svět celkem,říjen 2024,Pohyb zboží z ČR (meziroční index ),106.8081659754
Česko,Svět celkem,říjen 2024,Pohyb zboží do ČR (meziroční index),107.1631379091
Česko,Svět celkem,říjen 2024,Obrat pohybu zboží (meziroční index),106.9765900887
Česko,Svět celkem,září 2024,"Pohyb zboží z ČR (v mil. Kč, FOB)",526981.208976
Česko,Svět celkem,září 2024,"Pohyb zboží do ČR (v mil. Kč, CIF)",457064.528714
Česko,Svět celkem,září 2024,Bilance - pohyb zboží (v mil. Kč),69916.680262
Česko,Svět celkem,září 2024,Obrat - pohyb zboží (v mil. Kč),984045.73769
Česko,Svět celkem,září 2024,Pohyb zboží z ČR (meziroční index ),109.5639472116
Česko,Svět celkem,září 2024,Pohyb zboží do ČR (meziroční index),106.8081445673
Česko,Svět celkem,září 2024,Obrat pohybu zboží (meziroční index),108.2664693688
Česko,Svět celkem,srpen 2024,"Pohyb zboží z ČR (v mil. Kč, FOB)",474306.701729
Česko,Svět celkem,srpen 2024,"Pohyb zboží do ČR (v mil. Kč, CIF)",423628.667173
Česko,Svět celkem,srpen 2024,Bilance - pohyb zboží (v mil. Kč),50678.034556
Česko,Svět celkem,srpen 2024,Obrat - pohyb zboží (v mil. Kč),897935.368902
Česko,Svět celkem,srpen 2024,Pohyb zboží z ČR (meziroční index ),109.7990028501
Česko,Svět celkem,srpen 2024,Pohyb zboží do ČR (meziroční index),104.8808416435
Česko,Svět celkem,srpen 2024,Obrat pohybu zboží (meziroční index),107.4224797905
Česko,Svět celkem,červenec 2024,"Pohyb zboží z ČR (v mil. Kč, FOB)",475309.83548
Česko,Svět celkem,červenec 2024,"Pohyb zboží do ČR (v mil. Kč, CIF)",440984.207613
Česko,Svět celkem,červenec 2024,Bilance - pohyb zboží (v mil. Kč),34325.627867
Česko,Svět celkem,červenec 2024,Obrat - pohyb zboží (v mil. Kč),916294.043093
Česko,Svět celkem,červenec 2024,Pohyb zboží z ČR (meziroční index ),115.4621191464
Česko,Svět celkem,červenec 2024,Pohyb zboží do ČR (meziroční index),110.8623896986
Česko,Svět celkem,červenec 2024,Obrat pohybu zboží (meziroční index),113.2016989938
Česko,Svět celkem,červen 2024,"Pohyb zboží z ČR (v mil. Kč, FOB)",490701.948889
Česko,Svět celkem,červen 2024,"Pohyb zboží do ČR (v mil. Kč, CIF)",420978.431928
Česko,Svět celkem,červen 2024,Bilance - pohyb zboží (v mil. Kč),69723.516961
Česko,Svět celkem,červen 2024,Obrat - pohyb zboží (v mil. Kč),911680.380817
Česko,Svět celkem,červen 2024,Pohyb zboží z ČR (meziroční index ),98.5497196698
Česko,Svět celkem,červen 2024,Pohyb zboží do ČR (meziroční index),96.3320778674
Česko,Svět celkem,červen 2024,Obrat pohybu zboží (meziroční index),97.5131443386
Česko,Svět celkem,květen 2024,"Pohyb zboží z ČR (v mil. Kč, FOB)",497495.330753
Česko,Svět celkem,květen 2024,"Pohyb zboží do ČR (v mil. Kč, CIF)",452020.290329
Česko,Svět celkem,květen 2024,Bilance - pohyb zboží (v mil. Kč),45475.040424
Česko,Svět celkem,květen 2024,Obrat - pohyb zboží (v mil. Kč),949515.621082
Česko,Svět celkem,květen 2024,Pohyb zboží z ČR (meziroční index ),104.1746757456
Česko,Svět celkem,květen 2024,Pohyb zboží do ČR (meziroční index),102.9065744902
Česko,Svět celkem,květen 2024,Obrat pohybu zboží (meziroční index),103.5671166707
Česko,Svět celkem,duben 2024,"Pohyb zboží z ČR (v mil. Kč, FOB)",538387.524488
Česko,Svět celkem,duben 2024,"Pohyb zboží do ČR (v mil. Kč, CIF)",469783.357134
Česko,Svět celkem,duben 2024,Bilance - pohyb zboží (v mil. Kč),68604.167354
Česko,Svět celkem,duben 2024,Obrat - pohyb zboží (v mil. Kč),1008170.881622
Česko,Svět celkem,duben 2024,Pohyb zboží z ČR (meziroční index ),123.6985063363
Česko,Svět celkem,duben 2024,Pohyb zboží do ČR (meziroční index),117.2999284049
Česko,Svět celkem,duben 2024,Obrat pohybu zboží (meziroční index),120.6322213322
Česko,Svět celkem,březen 2024,"Pohyb zboží z ČR (v mil. Kč, FOB)",517672.320396
Česko,Svět celkem,březen 2024,"Pohyb zboží do ČR (v mil. Kč, CIF)",440945.331544
Česko,Svět celkem,březen 2024,Bilance - pohyb zboží (v mil. Kč),76726.988852
Česko,Svět celkem,březen 2024,Obrat - pohyb zboží (v mil. Kč),958617.65194
Česko,Svět celkem,březen 2024,Pohyb zboží z ČR (meziroční index ),99.0959813108
Česko,Svět celkem,březen 2024,Pohyb zboží do ČR (meziroční index),93.4147990786
Česko,Svět celkem,březen 2024,Obrat pohybu zboží (meziroční index),96.3992600233
Česko,Svět celkem,únor 2024,"Pohyb zboží z ČR (v mil. Kč, FOB)",514446.532176
Česko,Svět celkem,únor 2024,"Pohyb zboží do ČR (v mil. Kč, CIF)",445243.887369
Česko,Svět celkem,únor 2024,Bilance - pohyb zboží (v mil. Kč),69202.644807
Česko,Svět celkem,únor 2024,Obrat - pohyb zboží (v mil. Kč),959690.419545
Česko,Svět celkem,únor 2024,Pohyb zboží z ČR (meziroční index ),112.5670021044
Česko,Svět celkem,únor 2024,Pohyb zboží do ČR (meziroční index),107.4016570844
Česko,Svět celkem,únor 2024,Obrat pohybu zboží (meziroční index),110.1101306302
Česko,Svět celkem,leden 2024,"Pohyb zboží z ČR (v mil. Kč, FOB)",481932.555411
Česko,Svět celkem,leden 2024,"Pohyb zboží do ČR (v mil. Kč, CIF)",436687.429918
Česko,Svět celkem,leden 2024,Bilance - pohyb zboží (v mil. Kč),45245.125493
Česko,Svět celkem,leden 2024,Obrat - pohyb zboží (v mil. Kč),918619.985329
Česko,Svět celkem,leden 2024,Pohyb zboží z ČR (meziroční index ),98.8538216485
Česko,Svět celkem,leden 2024,Pohyb zboží do ČR (meziroční index),101.2023575076
Česko,Svět celkem,leden 2024,Obrat pohybu zboží (meziroční index),99.9565091396
Česko,Svět celkem,prosinec 2023,"Pohyb zboží z ČR (v mil. Kč, FOB)",409484.955764
Česko,Svět celkem,prosinec 2023,"Pohyb zboží do ČR (v mil. Kč, CIF)",378588.667286
Česko,Svět celkem,prosinec 2023,Bilance - pohyb zboží (v mil. Kč),30896.288478
Česko,Svět celkem,prosinec 2023,Obrat - pohyb zboží (v mil. Kč),788073.62305
Česko,Svět celkem,prosinec 2023,Pohyb zboží z ČR (meziroční index ),93.1127039319
Česko,Svět celkem,prosinec 2023,Pohyb zboží do ČR (meziroční index),90.3731156482
Česko,Svět celkem,prosinec 2023,Obrat pohybu zboží (meziroční index),91.7761796955
Česko,Svět celkem,listopad 2023,"Pohyb zboží z ČR (v mil. Kč, FOB)",532980.126152
Česko,Svět celkem,listopad 2023,"Pohyb zboží do ČR (v mil. Kč, CIF)",466739.944648
Česko,Svět celkem,listopad 2023,Bilance - pohyb zboží (v mil. Kč),66240.181504
Česko,Svět celkem,listopad 2023,Obrat - pohyb zboží (v mil. Kč),999720.0708
Česko,Svět celkem,listopad 2023,Pohyb zboží z ČR (meziroční index ),97.4055064642
Česko,Svět celkem,listopad 2023,Pohyb zboží do ČR (meziroční index),87.8744171167
Česko,Svět celkem,listopad 2023,Obrat pohybu zboží (meziroční index),92.710815146
Česko,Svět celkem,říjen 2023,"Pohyb zboží z ČR (v mil. Kč, FOB)",530202.164875
Česko,Svět celkem,říjen 2023,"Pohyb zboží do ČR (v mil. Kč, CIF)",478691.357684
Česko,Svět celkem,říjen 2023,Bilance - pohyb zboží (v mil. Kč),51510.807191
Česko,Svět celkem,říjen 2023,Obrat - pohyb zboží (v mil. Kč),1008893.522559
Česko,Svět celkem,říjen 2023,Pohyb zboží z ČR (meziroční index ),104.1728499253
Česko,Svět celkem,říjen 2023,Pohyb zboží do ČR (meziroční index),96.1329951669
Česko,Svět celkem,říjen 2023,Obrat pohybu zboží (meziroční index),100.1969056212
Česko,Svět celkem,září 2023,"Pohyb zboží z ČR (v mil. Kč, FOB)",480980.488918
Česko,Svět celkem,září 2023,"Pohyb zboží do ČR (v mil. Kč, CIF)",427930.407897
Česko,Svět celkem,září 2023,Bilance - pohyb zboží (v mil. Kč),53050.081021
Česko,Svět celkem,září 2023,Obrat - pohyb zboží (v mil. Kč),908910.896815
Česko,Svět celkem,září 2023,Pohyb zboží z ČR (meziroční index ),90.5141778976
Česko,Svět celkem,září 2023,Pohyb zboží do ČR (meziroční index),84.7367870486
Česko,Svět celkem,září 2023,Obrat pohybu zboží (meziroční index),87.6989975443
Česko,Svět celkem,srpen 2023,"Pohyb zboží z ČR (v mil. Kč, FOB)",431977.239699
Česko,Svět celkem,srpen 2023,"Pohyb zboží do ČR (v mil. Kč, CIF)",403914.25215
Česko,Svět celkem,srpen 2023,Bilance - pohyb zboží (v mil. Kč),28062.987549
Česko,Svět celkem,srpen 2023,Obrat - pohyb zboží (v mil. Kč),835891.491849
Česko,Svět celkem,srpen 2023,Pohyb zboží z ČR (meziroční index ),94.0985027093
Česko,Svět celkem,srpen 2023,Pohyb zboží do ČR (meziroční index),87.5347341148
Česko,Svět celkem,srpen 2023,Obrat pohybu zboží (meziroční index),90.808190279
Česko,Svět celkem,červenec 2023,"Pohyb zboží z ČR (v mil. Kč, FOB)",411658.679915
Česko,Svět celkem,červenec 2023,"Pohyb zboží do ČR (v mil. Kč, CIF)",397776.20599
Česko,Svět celkem,červenec 2023,Bilance - pohyb zboží (v mil. Kč),13882.473925
Česko,Svět celkem,červenec 2023,Obrat - pohyb zboží (v mil. Kč),809434.885905
Česko,Svět celkem,červenec 2023,Pohyb zboží z ČR (meziroční index ),97.1744448826
Česko,Svět celkem,červenec 2023,Pohyb zboží do ČR (meziroční index),93.6074619216
Česko,Svět celkem,červenec 2023,Obrat pohybu zboží (meziroční index),95.3881955433
Česko,Svět celkem,červen 2023,"Pohyb zboží z ČR (v mil. Kč, FOB)",497923.231576
Česko,Svět celkem,červen 2023,"Pohyb zboží do ČR (v mil. Kč, CIF)",437007.52776
Česko,Svět celkem,červen 2023,Bilance - pohyb zboží (v mil. Kč),60915.703816
Česko,Svět celkem,červen 2023,Obrat - pohyb zboží (v mil. Kč),934930.759336
Česko,Svět celkem,červen 2023,Pohyb zboží z ČR (meziroční index ),98.6177007102
Česko,Svět celkem,červen 2023,Pohyb zboží do ČR (meziroční index),89.4372269097
Česko,Svět celkem,červen 2023,Obrat pohybu zboží (meziroční index),94.1026950233
Česko,Svět celkem,květen 2023,"Pohyb zboží z ČR (v mil. Kč, FOB)",477558.799384
Česko,Svět celkem,květen 2023,"Pohyb zboží do ČR (v mil. Kč, CIF)",439253.072574
Česko,Svět celkem,květen 2023,Bilance - pohyb zboží (v mil. Kč),38305.72681
Česko,Svět celkem,květen 2023,Obrat - pohyb zboží (v mil. Kč),916811.871958
Česko,Svět celkem,květen 2023,Pohyb zboží z ČR (meziroční index ),98.8510175458
Česko,Svět celkem,květen 2023,Pohyb zboží do ČR (meziroční index),90.2770482242
Česko,Svět celkem,květen 2023,Obrat pohybu zboží (meziroční index),94.5487733901
Česko,Svět celkem,duben 2023,"Pohyb zboží z ČR (v mil. Kč, FOB)",435241.734467
Česko,Svět celkem,duben 2023,"Pohyb zboží do ČR (v mil. Kč, CIF)",400497.565107
Česko,Svět celkem,duben 2023,Bilance - pohyb zboží (v mil. Kč),34744.16936
Česko,Svět celkem,duben 2023,Obrat - pohyb zboží (v mil. Kč),835739.299574
Česko,Svět celkem,duben 2023,Pohyb zboží z ČR (meziroční index ),102.0588978562
Česko,Svět celkem,duben 2023,Pohyb zboží do ČR (meziroční index),91.8522625696
Česko,Svět celkem,duben 2023,Obrat pohybu zboží (meziroční index),96.8990001843
Česko,Svět celkem,březen 2023,"Pohyb zboží z ČR (v mil. Kč, FOB)",522394.867631
Česko,Svět celkem,březen 2023,"Pohyb zboží do ČR (v mil. Kč, CIF)",472029.417066
Česko,Svět celkem,březen 2023,Bilance - pohyb zboží (v mil. Kč),50365.450565
Česko,Svět celkem,březen 2023,Obrat - pohyb zboží (v mil. Kč),994424.284697
Česko,Svět celkem,březen 2023,Pohyb zboží z ČR (meziroční index ),105.9690115247
Česko,Svět celkem,březen 2023,Pohyb zboží do ČR (meziroční index),98.292698912
Česko,Svět celkem,březen 2023,Obrat pohybu zboží (meziroční index),102.181104347
Česko,Svět celkem,únor 2023,"Pohyb zboží z ČR (v mil. Kč, FOB)",457013.620829
Česko,Svět celkem,únor 2023,"Pohyb zboží do ČR (v mil. Kč, CIF)",414559.606859
Česko,Svět celkem,únor 2023,Bilance - pohyb zboží (v mil. Kč),42454.01397
Česko,Svět celkem,únor 2023,Obrat - pohyb zboží (v mil. Kč),871573.227688
Česko,Svět celkem,únor 2023,Pohyb zboží z ČR (meziroční index ),111.3226058046
Česko,Svět celkem,únor 2023,Pohyb zboží do ČR (meziroční index),103.2195523724
Česko,Svět celkem,únor 2023,Obrat pohybu zboží (meziroční index),107.3154868607
Česko,Svět celkem,leden 2023,"Pohyb zboží z ČR (v mil. Kč, FOB)",487520.408796
Česko,Svět celkem,leden 2023,"Pohyb zboží do ČR (v mil. Kč, CIF)",431499.266097
Česko,Svět celkem,leden 2023,Bilance - pohyb zboží (v mil. Kč),56021.142699
Česko,Svět celkem,leden 2023,Obrat - pohyb zboží (v mil. Kč),919019.674893
Česko,Svět celkem,leden 2023,Pohyb zboží z ČR (meziroční index ),114.0156015982
Česko,Svět celkem,leden 2023,Pohyb zboží do ČR (meziroční index),108.1290113977
Česko,Svět celkem,leden 2023,Obrat pohybu zboží (meziroční index),111.173892391
Česko,Svět celkem,prosinec 2022,"Pohyb zboží z ČR (v mil. Kč, FOB)",439773.455686
Česko,Svět celkem,prosinec 2022,"Pohyb zboží do ČR (v mil. Kč, CIF)",418917.35675
Česko,Svět celkem,prosinec 2022,Bilance - pohyb zboží (v mil. Kč),20856.098936
Česko,Svět celkem,prosinec 2022,Obrat - pohyb zboží (v mil. Kč),858690.812436
Česko,Svět celkem,prosinec 2022,Pohyb zboží z ČR (meziroční index ),108.1128728759
Česko,Svět celkem,prosinec 2022,Pohyb zboží do ČR (meziroční index),104.8227405916
Česko,Svět celkem,prosinec 2022,Obrat pohybu zboží (meziroční index),106.4823495603
Česko,Svět celkem,listopad 2022,"Pohyb zboží z ČR (v mil. Kč, FOB)",547176.58734
Česko,Svět celkem,listopad 2022,"Pohyb zboží do ČR (v mil. Kč, CIF)",531144.285177
Česko,Svět celkem,listopad 2022,Bilance - pohyb zboží (v mil. Kč),16032.302163
Česko,Svět celkem,listopad 2022,Obrat - pohyb zboží (v mil. Kč),1078320.872517
Česko,Svět celkem,listopad 2022,Pohyb zboží z ČR (meziroční index ),114.8555325622
Česko,Svět celkem,listopad 2022,Pohyb zboží do ČR (meziroční index),120.6430729396
Česko,Svět celkem,listopad 2022,Obrat pohybu zboží (meziroční index),117.6352039343
Česko,Svět celkem,říjen 2022,"Pohyb zboží z ČR (v mil. Kč, FOB)",508963.86655
Česko,Svět celkem,říjen 2022,"Pohyb zboží do ČR (v mil. Kč, CIF)",497946.991928
Česko,Svět celkem,říjen 2022,Bilance - pohyb zboží (v mil. Kč),11016.874622
Česko,Svět celkem,říjen 2022,Obrat - pohyb zboží (v mil. Kč),1006910.858478
Česko,Svět celkem,říjen 2022,Pohyb zboží z ČR (meziroční index ),121.2499119561
Česko,Svět celkem,říjen 2022,Pohyb zboží do ČR (meziroční index),123.875419774
Česko,Svět celkem,říjen 2022,Obrat pohybu zboží (meziroční index),122.5342452639
Česko,Svět celkem,září 2022,"Pohyb zboží z ČR (v mil. Kč, FOB)",531386.905444
Česko,Svět celkem,září 2022,"Pohyb zboží do ČR (v mil. Kč, CIF)",505011.3685
Česko,Svět celkem,září 2022,Bilance - pohyb zboží (v mil. Kč),26375.536944
Česko,Svět celkem,září 2022,Obrat - pohyb zboží (v mil. Kč),1036398.273944
Česko,Svět celkem,září 2022,Pohyb zboží z ČR (meziroční index ),129.1800424797
Česko,Svět celkem,září 2022,Pohyb zboží do ČR (meziroční index),126.6075946202
Česko,Svět celkem,září 2022,Obrat pohybu zboží (meziroční index),127.9136215138
Česko,Svět celkem,srpen 2022,"Pohyb zboží z ČR (v mil. Kč, FOB)",459069.195855
Česko,Svět celkem,srpen 2022,"Pohyb zboží do ČR (v mil. Kč, CIF)",461433.117076
Česko,Svět celkem,srpen 2022,Bilance - pohyb zboží (v mil. Kč),-2363.921221
Česko,Svět celkem,srpen 2022,Obrat - pohyb zboží (v mil. Kč),920502.312931
Česko,Svět celkem,srpen 2022,Pohyb zboží z ČR (meziroční index ),130.9537789667
Česko,Svět celkem,srpen 2022,Pohyb zboží do ČR (meziroční index),130.2402631896
Česko,Svět celkem,srpen 2022,Obrat pohybu zboží (meziroční index),130.5951303376
Česko,Svět celkem,červenec 2022,"Pohyb zboží z ČR (v mil. Kč, FOB)",423628.537742
Česko,Svět celkem,červenec 2022,"Pohyb zboží do ČR (v mil. Kč, CIF)",424940.702188
Česko,Svět celkem,červenec 2022,Bilance - pohyb zboží (v mil. Kč),-1312.164446
Česko,Svět celkem,červenec 2022,Obrat - pohyb zboží (v mil. Kč),848569.23993
Česko,Svět celkem,červenec 2022,Pohyb zboží z ČR (meziroční index ),113.5460515915
Česko,Svět celkem,červenec 2022,Pohyb zboží do ČR (meziroční index),117.6285789659
Česko,Svět celkem,červenec 2022,Obrat pohybu zboží (meziroční index),115.5544222689
Česko,Svět celkem,červen 2022,"Pohyb zboží z ČR (v mil. Kč, FOB)",504902.495181
Česko,Svět celkem,červen 2022,"Pohyb zboží do ČR (v mil. Kč, CIF)",488619.272824
Česko,Svět celkem,červen 2022,Bilance - pohyb zboží (v mil. Kč),16283.222357
Česko,Svět celkem,červen 2022,Obrat - pohyb zboží (v mil. Kč),993521.768005
Česko,Svět celkem,červen 2022,Pohyb zboží z ČR (meziroční index ),118.9484896299
Česko,Svět celkem,červen 2022,Pohyb zboží do ČR (meziroční index),120.1792354868
Česko,Svět celkem,červen 2022,Obrat pohybu zboží (meziroční index),119.5506108753
Česko,Svět celkem,květen 2022,"Pohyb zboží z ČR (v mil. Kč, FOB)",483109.644433
Česko,Svět celkem,květen 2022,"Pohyb zboží do ČR (v mil. Kč, CIF)",486561.181623
Česko,Svět celkem,květen 2022,Bilance - pohyb zboží (v mil. Kč),-3451.53719
Česko,Svět celkem,květen 2022,Obrat - pohyb zboží (v mil. Kč),969670.826056
Česko,Svět celkem,květen 2022,Pohyb zboží z ČR (meziroční index ),118.4209249651
Česko,Svět celkem,květen 2022,Pohyb zboží do ČR (meziroční index),128.8551204669
Česko,Svět celkem,květen 2022,Obrat pohybu zboží (meziroční index),123.4364191468
Česko,Svět celkem,duben 2022,"Pohyb zboží z ČR (v mil. Kč, FOB)",426461.33126
Česko,Svět celkem,duben 2022,"Pohyb zboží do ČR (v mil. Kč, CIF)",436023.625225
Česko,Svět celkem,duben 2022,Bilance - pohyb zboží (v mil. Kč),-9562.293965
Česko,Svět celkem,duben 2022,Obrat - pohyb zboží (v mil. Kč),862484.956485
Česko,Svět celkem,duben 2022,Pohyb zboží z ČR (meziroční index ),98.9737946123
Česko,Svět celkem,duben 2022,Pohyb zboží do ČR (meziroční index),114.3078463068
Česko,Svět celkem,duben 2022,Obrat pohybu zboží (meziroční index),106.1742253019
Česko,Svět celkem,březen 2022,"Pohyb zboží z ČR (v mil. Kč, FOB)",492969.463539
Česko,Svět celkem,březen 2022,"Pohyb zboží do ČR (v mil. Kč, CIF)",480228.3611
Česko,Svět celkem,březen 2022,Bilance - pohyb zboží (v mil. Kč),12741.102439
Česko,Svět celkem,březen 2022,Obrat - pohyb zboží (v mil. Kč),973197.824639
Česko,Svět celkem,březen 2022,Pohyb zboží z ČR (meziroční index ),105.8319348636
Česko,Svět celkem,březen 2022,Pohyb zboží do ČR (meziroční index),113.0596324918
Česko,Svět celkem,březen 2022,Obrat pohybu zboží (meziroční index),109.2792155829
Česko,Svět celkem,únor 2022,"Pohyb zboží z ČR (v mil. Kč, FOB)",410530.832912
Česko,Svět celkem,únor 2022,"Pohyb zboží do ČR (v mil. Kč, CIF)",401628.952394
Česko,Svět celkem,únor 2022,Bilance - pohyb zboží (v mil. Kč),8901.880518
Česko,Svět celkem,únor 2022,Obrat - pohyb zboží (v mil. Kč),812159.785306
Česko,Svět celkem,únor 2022,Pohyb zboží z ČR (meziroční index ),107.3818228797
Česko,Svět celkem,únor 2022,Pohyb zboží do ČR (meziroční index),118.9554262038
Česko,Svět celkem,únor 2022,Obrat pohybu zboží (meziroční index),112.8094939173
Česko,Svět celkem,leden 2022,"Pohyb zboží z ČR (v mil. Kč, FOB)",427590.962958
Česko,Svět celkem,leden 2022,"Pohyb zboží do ČR (v mil. Kč, CIF)",399059.660788
Česko,Svět celkem,leden 2022,Bilance - pohyb zboží (v mil. Kč),28531.30217
Česko,Svět celkem,leden 2022,Obrat - pohyb zboží (v mil. Kč),826650.623746
