Území,Zdroj znečišťování ovzduší,Roky,Ukazatel,Druh látky znečišťující ovzduší,value
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2016,Emise znečišťujících látek (t),Tuhé látky,105871.78180406
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2016,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),115138.88383189
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2016,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),195204.26969629
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2016,Emise znečišťujících látek (t),Oxid uhelnatý (CO),1168260.07383832
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2016,Měrné emise znečišťujících látek (t/km²),Tuhé látky,1.34235113
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2016,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),1.45984896
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2016,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2.47500012
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2016,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),14.81240048
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2017,Emise znečišťujících látek (t),Tuhé látky,105762.16992597
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2017,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),109971.28318695
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2017,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),191782.67174232
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2017,Emise znečišťujících látek (t),Oxid uhelnatý (CO),1167887.00464758
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2017,Měrné emise znečišťujících látek (t/km²),Tuhé látky,1.34096374
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2017,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),1.39433129
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2017,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2.4316219
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2017,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),14.8076966
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2018,Emise znečišťujících látek (t),Tuhé látky,100399.04985139
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2018,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),96594.268793
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2018,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),184576.10135667
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2018,Emise znečišťujících látek (t),Oxid uhelnatý (CO),1135874.38494688
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2018,Měrné emise znečišťujících látek (t/km²),Tuhé látky,1.27295253
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2018,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),1.22471198
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2018,Měrné emise znečišťujících látek (t/km²),Oxidy dusíku (NOₓ),2.34022748
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2018,Měrné emise znečišťujících látek (t/km²),Oxid uhelnatý (CO),14.40167189
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2019,Emise znečišťujících látek (t),Tuhé látky,94249.8305773
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2019,Emise znečišťujících látek (t),Oxid siřičitý (SO₂),79934.25189092
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2019,Emise znečišťujících látek (t),Oxidy dusíku (NOₓ),171570.62980661
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2019,Emise znečišťujících látek (t),Oxid uhelnatý (CO),1080969.68573026
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2019,Měrné emise znečišťujících látek (t/km²),Tuhé látky,1.19500172
Česko,Emise hlavních znečišťujících látek do ovzduší - REZZO 1 - 4,2019,Měrné emise znečišťujících látek (t/km²),Oxid siřičitý (SO₂),1.01349327
