Stát,Ukazatel,Typ ceny,Čtvrtletí,Typ indexu,Očištění,value
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2022,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",109.7031306633
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2022,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",106.0495129867
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2022,Meziroční index,Bez očištění,113.2099271283
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2022,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",112.6370223273
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2022,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",110.4877468688
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2022,Bazický index (2021 = 100),Bez očištění,72.78648265
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2022,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",72.3440395233
Česko,Index stavební produkce - Celkem (%),Stálé ceny,1. čtvrtletí 2022,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",106.6167213167
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2021,Meziroční index,Bez očištění,105.0381258816
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2021,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",104.3536830159
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2021,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",105.5496353743
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2021,Bazický index (2021 = 100),Bez očištění,118.5818722867
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2021,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",118.367736
Česko,Index stavební produkce - Celkem (%),Stálé ceny,4. čtvrtletí 2021,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",102.2130622233
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2021,Meziroční index,Bez očištění,102.6253908567
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2021,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",103.2207682022
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2021,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",104.5328263161
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2021,Bazický index (2021 = 100),Bez očištění,112.1520819167
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2021,Bazický index (2021 = 100),"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",112.7978033667
Česko,Index stavební produkce - Celkem (%),Stálé ceny,3. čtvrtletí 2021,Bazický index (2021 = 100),"Sezónně očištěno, včetně očištění o kalendářní vlivy",100.42402211
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2021,Meziroční index,Bez očištění,105.6509327228
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2021,Meziroční index,"Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy",104.3554760944
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2021,Meziroční index,"Sezónně očištěno, včetně očištění o kalendářní vlivy",103.9489029708
Česko,Index stavební produkce - Celkem (%),Stálé ceny,2. čtvrtletí 2021,Bazický index (2021 = 100),Bez očištění,104.9726710967
