Roky;Kategorie ubytovacího zařízení;Oblasti destinačního managementu nečleněné;Ukazatel;value
2023;HUZ celkem;Krušnohoří;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;756.0
2023;HUZ celkem;Západočeské lázně;Počet hromadných ubytovacích zařízení;445.0
2023;HUZ celkem;Západočeské lázně;Počet pokojů v hromadných ubytovacích zařízeních;14444.0
2023;HUZ celkem;Západočeské lázně;Počet lůžek v hromadných ubytovacích zařízeních;29930.0
2023;HUZ celkem;Západočeské lázně;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1369.0
2023;HUZ celkem;České Středohoří;Počet hromadných ubytovacích zařízení;80.0
2023;HUZ celkem;České Středohoří;Počet pokojů v hromadných ubytovacích zařízeních;2335.0
2023;HUZ celkem;České Středohoří;Počet lůžek v hromadných ubytovacích zařízeních;6284.0
2023;HUZ celkem;České Středohoří;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;358.0
2023;HUZ celkem;České Švýcarsko;Počet hromadných ubytovacích zařízení;177.0
2023;HUZ celkem;České Švýcarsko;Počet pokojů v hromadných ubytovacích zařízeních;2540.0
2023;HUZ celkem;České Švýcarsko;Počet lůžek v hromadných ubytovacích zařízeních;7385.0
2023;HUZ celkem;České Švýcarsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;739.0
2023;HUZ celkem;Dolní Poohří;Počet hromadných ubytovacích zařízení;73.0
2023;HUZ celkem;Dolní Poohří;Počet pokojů v hromadných ubytovacích zařízeních;1317.0
2023;HUZ celkem;Dolní Poohří;Počet lůžek v hromadných ubytovacích zařízeních;3538.0
2023;HUZ celkem;Dolní Poohří;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;239.0
2023;HUZ celkem;Český ráj;Počet hromadných ubytovacích zařízení;197.0
2023;HUZ celkem;Český ráj;Počet pokojů v hromadných ubytovacích zařízeních;3143.0
2023;HUZ celkem;Český ráj;Počet lůžek v hromadných ubytovacích zařízeních;9909.0
2023;HUZ celkem;Český ráj;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;2167.0
2023;HUZ celkem;Jizerské hory;Počet hromadných ubytovacích zařízení;367.0
2023;HUZ celkem;Jizerské hory;Počet pokojů v hromadných ubytovacích zařízeních;5770.0
2023;HUZ celkem;Jizerské hory;Počet lůžek v hromadných ubytovacích zařízeních;16711.0
2023;HUZ celkem;Jizerské hory;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;266.0
2023;HUZ celkem;Lužické hory;Počet hromadných ubytovacích zařízení;105.0
2023;HUZ celkem;Lužické hory;Počet pokojů v hromadných ubytovacích zařízeních;1681.0
2023;HUZ celkem;Lužické hory;Počet lůžek v hromadných ubytovacích zařízeních;5206.0
2023;HUZ celkem;Lužické hory;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1398.0
2023;HUZ celkem;Máchův kraj;Počet hromadných ubytovacích zařízení;89.0
2023;HUZ celkem;Máchův kraj;Počet pokojů v hromadných ubytovacích zařízeních;1970.0
2023;HUZ celkem;Máchův kraj;Počet lůžek v hromadných ubytovacích zařízeních;6459.0
2023;HUZ celkem;Máchův kraj;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1089.0
2023;HUZ celkem;Broumovsko;Počet hromadných ubytovacích zařízení;63.0
2023;HUZ celkem;Broumovsko;Počet pokojů v hromadných ubytovacích zařízeních;824.0
2023;HUZ celkem;Broumovsko;Počet lůžek v hromadných ubytovacích zařízeních;2572.0
2023;HUZ celkem;Broumovsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;374.0
2023;HUZ celkem;Hradecko;Počet hromadných ubytovacích zařízení;54.0
2023;HUZ celkem;Hradecko;Počet pokojů v hromadných ubytovacích zařízeních;1828.0
2023;HUZ celkem;Hradecko;Počet lůžek v hromadných ubytovacích zařízeních;4229.0
2023;HUZ celkem;Hradecko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;330.0
2023;HUZ celkem;Kladské pomezí;Počet hromadných ubytovacích zařízení;88.0
2023;HUZ celkem;Kladské pomezí;Počet pokojů v hromadných ubytovacích zařízeních;1437.0
2023;HUZ celkem;Kladské pomezí;Počet lůžek v hromadných ubytovacích zařízeních;4010.0
2023;HUZ celkem;Kladské pomezí;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1356.0
2023;HUZ celkem;Krkonoše;Počet hromadných ubytovacích zařízení;973.0
2023;HUZ celkem;Krkonoše;Počet pokojů v hromadných ubytovacích zařízeních;14535.0
2023;HUZ celkem;Krkonoše;Počet lůžek v hromadných ubytovacích zařízeních;41987.0
2023;HUZ celkem;Krkonoše;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1166.0
2023;HUZ celkem;Orlické hory a Podorlicko;Počet hromadných ubytovacích zařízení;256.0
2023;HUZ celkem;Orlické hory a Podorlicko;Počet pokojů v hromadných ubytovacích zařízeních;3570.0
2023;HUZ celkem;Orlické hory a Podorlicko;Počet lůžek v hromadných ubytovacích zařízeních;11107.0
2023;HUZ celkem;Orlické hory a Podorlicko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;540.0
2023;HUZ celkem;Podkrkonoší - Podzvičinsko;Počet hromadných ubytovacích zařízení;60.0
2023;HUZ celkem;Podkrkonoší - Podzvičinsko;Počet pokojů v hromadných ubytovacích zařízeních;1225.0
2023;HUZ celkem;Podkrkonoší - Podzvičinsko;Počet lůžek v hromadných ubytovacích zařízeních;3679.0
2023;HUZ celkem;Podkrkonoší - Podzvičinsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;655.0
2023;HUZ celkem;Českomoravské pomezí;Počet hromadných ubytovacích zařízení;94.0
2023;HUZ celkem;Českomoravské pomezí;Počet pokojů v hromadných ubytovacích zařízeních;1645.0
2023;HUZ celkem;Českomoravské pomezí;Počet lůžek v hromadných ubytovacích zařízeních;4886.0
2023;HUZ celkem;Českomoravské pomezí;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;132.0
2023;HUZ celkem;Chrudimsko-Hlinecko;Počet hromadných ubytovacích zařízení;81.0
2023;HUZ celkem;Chrudimsko-Hlinecko;Počet pokojů v hromadných ubytovacích zařízeních;1455.0
2023;HUZ celkem;Chrudimsko-Hlinecko;Počet lůžek v hromadných ubytovacích zařízeních;4382.0
2023;HUZ celkem;Chrudimsko-Hlinecko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;634.0
2023;HUZ celkem;Králický Sněžník;Počet hromadných ubytovacích zařízení;40.0
2023;HUZ celkem;Králický Sněžník;Počet pokojů v hromadných ubytovacích zařízeních;595.0
2023;HUZ celkem;Králický Sněžník;Počet lůžek v hromadných ubytovacích zařízeních;1798.0
2023;HUZ celkem;Králický Sněžník;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;50.0
2023;HUZ celkem;Pardubicko;Počet hromadných ubytovacích zařízení;65.0
2023;HUZ celkem;Pardubicko;Počet pokojů v hromadných ubytovacích zařízeních;1906.0
2023;HUZ celkem;Pardubicko;Počet lůžek v hromadných ubytovacích zařízeních;4427.0
2023;HUZ celkem;Pardubicko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;480.0
2023;HUZ celkem;Koruna Vysočiny;Počet hromadných ubytovacích zařízení;131.0
2023;HUZ celkem;Koruna Vysočiny;Počet pokojů v hromadných ubytovacích zařízeních;2385.0
2023;HUZ celkem;Koruna Vysočiny;Počet lůžek v hromadných ubytovacích zařízeních;7040.0
2023;HUZ celkem;Koruna Vysočiny;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;786.0
2023;HUZ celkem;Třebíčsko;Počet hromadných ubytovacích zařízení;72.0
2023;HUZ celkem;Třebíčsko;Počet pokojů v hromadných ubytovacích zařízeních;1756.0
2023;HUZ celkem;Třebíčsko;Počet lůžek v hromadných ubytovacích zařízeních;4975.0
2023;HUZ celkem;Třebíčsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;733.0
2023;HUZ celkem;Brno a okolí;Počet hromadných ubytovacích zařízení;244.0
2023;HUZ celkem;Brno a okolí;Počet pokojů v hromadných ubytovacích zařízeních;7779.0
2023;HUZ celkem;Brno a okolí;Počet lůžek v hromadných ubytovacích zařízeních;17155.0
2023;HUZ celkem;Brno a okolí;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;457.0
2023;HUZ celkem;Moravský kras a okolí;Počet hromadných ubytovacích zařízení;86.0
2023;HUZ celkem;Moravský kras a okolí;Počet pokojů v hromadných ubytovacích zařízeních;1268.0
2023;HUZ celkem;Moravský kras a okolí;Počet lůžek v hromadných ubytovacích zařízeních;3787.0
2023;HUZ celkem;Moravský kras a okolí;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1072.0
2023;HUZ celkem;Slovácko;Počet hromadných ubytovacích zařízení;237.0
2023;HUZ celkem;Slovácko;Počet pokojů v hromadných ubytovacích zařízeních;4202.0
2023;HUZ celkem;Slovácko;Počet lůžek v hromadných ubytovacích zařízeních;10783.0
2023;HUZ celkem;Slovácko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1123.0
2023;HUZ celkem;Znojemsko a Podyjí;Počet hromadných ubytovacích zařízení;177.0
2023;HUZ celkem;Znojemsko a Podyjí;Počet pokojů v hromadných ubytovacích zařízeních;2563.0
2023;HUZ celkem;Znojemsko a Podyjí;Počet lůžek v hromadných ubytovacích zařízeních;7242.0
2023;HUZ celkem;Znojemsko a Podyjí;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1111.0
2023;HUZ celkem;Jeseníky-západ;Počet hromadných ubytovacích zařízení;335.0
2023;HUZ celkem;Jeseníky-západ;Počet pokojů v hromadných ubytovacích zařízeních;5681.0
2023;HUZ celkem;Jeseníky-západ;Počet lůžek v hromadných ubytovacích zařízeních;15878.0
2023;HUZ celkem;Jeseníky-západ;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;761.0
2023;HUZ celkem;Střední Morava;Počet hromadných ubytovacích zařízení;206.0
2023;HUZ celkem;Střední Morava;Počet pokojů v hromadných ubytovacích zařízeních;4639.0
2023;HUZ celkem;Střední Morava;Počet lůžek v hromadných ubytovacích zařízeních;10806.0
2023;HUZ celkem;Střední Morava;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1014.0
2023;HUZ celkem;Valašsko;Počet hromadných ubytovacích zařízení;189.0
2023;HUZ celkem;Valašsko;Počet pokojů v hromadných ubytovacích zařízeních;3297.0
2023;HUZ celkem;Valašsko;Počet lůžek v hromadných ubytovacích zařízeních;9279.0
2023;HUZ celkem;Valašsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;720.0
2023;HUZ celkem;Kroměřížsko;Počet hromadných ubytovacích zařízení;69.0
2023;HUZ celkem;Kroměřížsko;Počet pokojů v hromadných ubytovacích zařízeních;1332.0
2023;HUZ celkem;Kroměřížsko;Počet lůžek v hromadných ubytovacích zařízeních;3837.0
2023;HUZ celkem;Kroměřížsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;220.0
2023;HUZ celkem;Zlínsko - Luhačovicko;Počet hromadných ubytovacích zařízení;158.0
2023;HUZ celkem;Zlínsko - Luhačovicko;Počet pokojů v hromadných ubytovacích zařízeních;4129.0
2023;HUZ celkem;Zlínsko - Luhačovicko;Počet lůžek v hromadných ubytovacích zařízeních;8914.0
2023;HUZ celkem;Zlínsko - Luhačovicko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;230.0
2023;HUZ celkem;Beskydy;Počet hromadných ubytovacích zařízení;191.0
2023;HUZ celkem;Beskydy;Počet pokojů v hromadných ubytovacích zařízeních;3112.0
2023;HUZ celkem;Beskydy;Počet lůžek v hromadných ubytovacích zařízeních;8640.0
2023;HUZ celkem;Beskydy;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1328.0
2023;HUZ celkem;Jeseníky-východ;Počet hromadných ubytovacích zařízení;173.0
2023;HUZ celkem;Jeseníky-východ;Počet pokojů v hromadných ubytovacích zařízeních;2428.0
2023;HUZ celkem;Jeseníky-východ;Počet lůžek v hromadných ubytovacích zařízeních;7065.0
2023;HUZ celkem;Jeseníky-východ;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;180.0
2023;HUZ celkem;Opavské Slezsko;Počet hromadných ubytovacích zařízení;68.0
2023;HUZ celkem;Opavské Slezsko;Počet pokojů v hromadných ubytovacích zařízeních;1117.0
2023;HUZ celkem;Opavské Slezsko;Počet lůžek v hromadných ubytovacích zařízeních;3328.0
2023;HUZ celkem;Opavské Slezsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;526.0
2023;HUZ celkem;Ostrava a okolí;Počet hromadných ubytovacích zařízení;81.0
2023;HUZ celkem;Ostrava a okolí;Počet pokojů v hromadných ubytovacích zařízeních;2694.0
2023;HUZ celkem;Ostrava a okolí;Počet lůžek v hromadných ubytovacích zařízeních;5344.0
2023;HUZ celkem;Ostrava a okolí;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;95.0
2023;HUZ celkem;Poodří;Počet hromadných ubytovacích zařízení;38.0
2023;HUZ celkem;Poodří;Počet pokojů v hromadných ubytovacích zařízeních;839.0
2023;HUZ celkem;Poodří;Počet lůžek v hromadných ubytovacích zařízeních;2102.0
2023;HUZ celkem;Poodří;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;15.0
2023;HUZ celkem;Těšínské Slezsko;Počet hromadných ubytovacích zařízení;114.0
2023;HUZ celkem;Těšínské Slezsko;Počet pokojů v hromadných ubytovacích zařízeních;2014.0
2023;HUZ celkem;Těšínské Slezsko;Počet lůžek v hromadných ubytovacích zařízeních;4723.0
2023;HUZ celkem;Těšínské Slezsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;192.0
2023;HUZ celkem;Pobrdí;Počet hromadných ubytovacích zařízení;50.0
2023;HUZ celkem;Pobrdí;Počet pokojů v hromadných ubytovacích zařízeních;943.0
2023;HUZ celkem;Pobrdí;Počet lůžek v hromadných ubytovacích zařízeních;2905.0
2023;HUZ celkem;Pobrdí;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;415.0
2023;HUZ celkem;Jižní Plzeňsko;Počet hromadných ubytovacích zařízení;16.0
2023;HUZ celkem;Jižní Plzeňsko;Počet pokojů v hromadných ubytovacích zařízeních;190.0
2023;HUZ celkem;Jižní Plzeňsko;Počet lůžek v hromadných ubytovacích zařízeních;511.0
2023;HUZ celkem;Jižní Plzeňsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;
2023;HUZ celkem;Kraj pod Javořicí;Počet hromadných ubytovacích zařízení;50.0
2023;HUZ celkem;Kraj pod Javořicí;Počet pokojů v hromadných ubytovacích zařízeních;971.0
2023;HUZ celkem;Kraj pod Javořicí;Počet lůžek v hromadných ubytovacích zařízeních;2743.0
2023;HUZ celkem;Kraj pod Javořicí;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;149.0
2023;HUZ celkem;Střední Vysočina - Jihlavsko;Počet hromadných ubytovacích zařízení;67.0
2023;HUZ celkem;Střední Vysočina - Jihlavsko;Počet pokojů v hromadných ubytovacích zařízeních;1413.0
2023;HUZ celkem;Střední Vysočina - Jihlavsko;Počet lůžek v hromadných ubytovacích zařízeních;3737.0
2023;HUZ celkem;Střední Vysočina - Jihlavsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;161.0
2023;HUZ celkem;Vysočina west;Počet hromadných ubytovacích zařízení;134.0
2023;HUZ celkem;Vysočina west;Počet pokojů v hromadných ubytovacích zařízeních;2189.0
2023;HUZ celkem;Vysočina west;Počet lůžek v hromadných ubytovacích zařízeních;6727.0
2023;HUZ celkem;Vysočina west;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;651.0
2023;HUZ celkem;Havlíčkobrodsko - Ledečsko;Počet hromadných ubytovacích zařízení;
2023;HUZ celkem;Havlíčkobrodsko - Ledečsko;Počet pokojů v hromadných ubytovacích zařízeních;
2023;HUZ celkem;Havlíčkobrodsko - Ledečsko;Počet lůžek v hromadných ubytovacích zařízeních;
2023;HUZ celkem;Havlíčkobrodsko - Ledečsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;
2023;HUZ celkem;LVA a Hustopečsko;Počet hromadných ubytovacích zařízení;196.0
2023;HUZ celkem;LVA a Hustopečsko;Počet pokojů v hromadných ubytovacích zařízeních;3056.0
2023;HUZ celkem;LVA a Hustopečsko;Počet lůžek v hromadných ubytovacích zařízeních;7958.0
2023;HUZ celkem;LVA a Hustopečsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;339.0
2023;HUZ celkem;Pálava;Počet hromadných ubytovacích zařízení;170.0
2023;HUZ celkem;Pálava;Počet pokojů v hromadných ubytovacích zařízeních;2153.0
2023;HUZ celkem;Pálava;Počet lůžek v hromadných ubytovacích zařízeních;5843.0
2023;HUZ celkem;Pálava;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1604.0
2023;HUZ celkem;Šumava žije;Počet hromadných ubytovacích zařízení;
2023;HUZ celkem;Šumava žije;Počet pokojů v hromadných ubytovacích zařízeních;
2023;HUZ celkem;Šumava žije;Počet lůžek v hromadných ubytovacích zařízeních;
2023;HUZ celkem;Šumava žije;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;
2023;HUZ celkem;Plzeň a okolí jihozápad;Počet hromadných ubytovacích zařízení;
2023;HUZ celkem;Plzeň a okolí jihozápad;Počet pokojů v hromadných ubytovacích zařízeních;
2023;HUZ celkem;Plzeň a okolí jihozápad;Počet lůžek v hromadných ubytovacích zařízeních;
