Ukazatel,Území,Roky,Způsob vyplacení důchodu,value
Průměrný vdovský důchod (Kč),Plzeňský kraj,2014,Kombinace,11898.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2013,Sólo,7110.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2013,Kombinace,11803.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2012,Sólo,6992.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2012,Kombinace,11619.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2011,Sólo,6868.0
Průměrný vdovský důchod (Kč),Plzeňský kraj,2011,Kombinace,11394.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2023,Sólo,12110.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2023,Kombinace,21918.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2022,Sólo,11099.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2022,Kombinace,19054.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2021,Sólo,9580.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2021,Kombinace,16312.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2020,Sólo,9070.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2020,Kombinace,15329.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2019,Sólo,8514.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2019,Kombinace,14312.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2018,Sólo,7658.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2018,Kombinace,13134.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2017,Sólo,7429.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2017,Kombinace,12585.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2016,Sólo,7224.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2016,Kombinace,12216.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2015,Sólo,7194.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2015,Kombinace,12144.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2014,Sólo,7059.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2014,Kombinace,11890.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2013,Sólo,6999.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2013,Kombinace,11806.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2012,Sólo,6877.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2012,Kombinace,11630.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2011,Sólo,6767.0
Průměrný vdovský důchod (Kč),Karlovarský kraj,2011,Kombinace,11419.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2023,Sólo,12334.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2023,Kombinace,21975.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2022,Sólo,11370.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2022,Kombinace,19132.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2021,Sólo,9809.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2021,Kombinace,16395.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2020,Sólo,9321.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2020,Kombinace,15415.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2019,Sólo,8702.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2019,Kombinace,14411.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2018,Sólo,7888.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2018,Kombinace,13242.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2017,Sólo,7545.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2017,Kombinace,12691.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2016,Sólo,7327.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2016,Kombinace,12313.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2015,Sólo,7286.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2015,Kombinace,12229.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2014,Sólo,7159.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2014,Kombinace,11968.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2013,Sólo,7143.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2013,Kombinace,11886.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2012,Sólo,7052.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2012,Kombinace,11706.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2011,Sólo,6944.0
Průměrný vdovský důchod (Kč),Ústecký kraj,2011,Kombinace,11481.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2023,Sólo,12306.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2023,Kombinace,22085.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2022,Sólo,11431.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2022,Kombinace,19237.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2021,Sólo,9752.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2021,Kombinace,16472.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2020,Sólo,9225.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2020,Kombinace,15474.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2019,Sólo,8559.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2019,Kombinace,14453.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2018,Sólo,7810.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2018,Kombinace,13241.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2017,Sólo,7456.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2017,Kombinace,12668.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2016,Sólo,7220.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2016,Kombinace,12283.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2015,Sólo,7198.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2015,Kombinace,12201.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2014,Sólo,7050.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2014,Kombinace,11936.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2013,Sólo,7014.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2013,Kombinace,11839.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2012,Sólo,6877.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2012,Kombinace,11660.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2011,Sólo,6734.0
Průměrný vdovský důchod (Kč),Liberecký kraj,2011,Kombinace,11437.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2023,Sólo,12579.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2023,Kombinace,21999.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2022,Sólo,11515.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2022,Kombinace,19151.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2021,Sólo,9902.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2021,Kombinace,16407.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2020,Sólo,9401.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2020,Kombinace,15411.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2019,Sólo,8664.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2019,Kombinace,14398.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2018,Sólo,7892.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2018,Kombinace,13172.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2017,Sólo,7478.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2017,Kombinace,12619.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2016,Sólo,7238.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2016,Kombinace,12247.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2015,Sólo,7192.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2015,Kombinace,12163.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2014,Sólo,7074.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2014,Kombinace,11901.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2013,Sólo,7019.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2013,Kombinace,11810.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2012,Sólo,6909.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2012,Kombinace,11629.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2011,Sólo,6805.0
Průměrný vdovský důchod (Kč),Královéhradecký kraj,2011,Kombinace,11405.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2023,Sólo,12509.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2023,Kombinace,21829.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2022,Sólo,11510.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2022,Kombinace,18961.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2021,Sólo,9843.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2021,Kombinace,16227.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2020,Sólo,9348.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2020,Kombinace,15264.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2019,Sólo,8714.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2019,Kombinace,14254.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2018,Sólo,7841.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2018,Kombinace,13044.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2017,Sólo,7505.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2017,Kombinace,12499.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2016,Sólo,7313.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2016,Kombinace,12120.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2015,Sólo,7238.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2015,Kombinace,12038.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2014,Sólo,7070.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2014,Kombinace,11781.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2013,Sólo,7037.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2013,Kombinace,11693.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2012,Sólo,6931.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2012,Kombinace,11517.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2011,Sólo,6831.0
Průměrný vdovský důchod (Kč),Pardubický kraj,2011,Kombinace,11298.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2023,Sólo,12743.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2023,Kombinace,21762.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2022,Sólo,11723.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2022,Kombinace,18834.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2021,Sólo,9944.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2021,Kombinace,16120.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2020,Sólo,9426.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2020,Kombinace,15167.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2019,Sólo,8759.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2019,Kombinace,14167.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2018,Sólo,7929.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2018,Kombinace,12957.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2017,Sólo,7593.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2017,Kombinace,12412.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2016,Sólo,7370.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2016,Kombinace,12048.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2015,Sólo,7315.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2015,Kombinace,11964.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2014,Sólo,7147.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2014,Kombinace,11713.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2013,Sólo,7118.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2013,Kombinace,11629.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2012,Sólo,6992.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2012,Kombinace,11455.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2011,Sólo,6868.0
Průměrný vdovský důchod (Kč),Kraj Vysočina,2011,Kombinace,11234.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2023,Sólo,12506.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2023,Kombinace,21922.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2022,Sólo,11463.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2022,Kombinace,19059.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2021,Sólo,9819.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2021,Kombinace,16312.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2020,Sólo,9363.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2020,Kombinace,15331.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2019,Sólo,8723.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2019,Kombinace,14315.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2018,Sólo,7877.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2018,Kombinace,13095.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2017,Sólo,7545.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2017,Kombinace,12537.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2016,Sólo,7289.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2016,Kombinace,12162.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2015,Sólo,7268.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2015,Kombinace,12072.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2014,Sólo,7114.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2014,Kombinace,11814.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2013,Sólo,7107.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2013,Kombinace,11723.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2012,Sólo,6992.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2012,Kombinace,11542.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2011,Sólo,6878.0
Průměrný vdovský důchod (Kč),Jihomoravský kraj,2011,Kombinace,11316.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2023,Sólo,12460.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2023,Kombinace,21727.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2022,Sólo,11493.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2022,Kombinace,18845.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2021,Sólo,9832.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2021,Kombinace,16134.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2020,Sólo,9310.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2020,Kombinace,15166.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2019,Sólo,8655.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2019,Kombinace,14164.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2018,Sólo,7857.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2018,Kombinace,12955.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2017,Sólo,7530.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2017,Kombinace,12410.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2016,Sólo,7298.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2016,Kombinace,12045.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2015,Sólo,7225.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2015,Kombinace,11965.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2014,Sólo,7073.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2014,Kombinace,11720.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2013,Sólo,7027.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2013,Kombinace,11649.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2012,Sólo,6911.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2012,Kombinace,11470.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2011,Sólo,6796.0
Průměrný vdovský důchod (Kč),Olomoucký kraj,2011,Kombinace,11259.0
Průměrný vdovský důchod (Kč),Zlínský kraj,2023,Sólo,12693.0
Průměrný vdovský důchod (Kč),Zlínský kraj,2023,Kombinace,21762.0
Průměrný vdovský důchod (Kč),Zlínský kraj,2022,Sólo,11657.0
Průměrný vdovský důchod (Kč),Zlínský kraj,2022,Kombinace,18854.0
Průměrný vdovský důchod (Kč),Zlínský kraj,2021,Sólo,9987.0
Průměrný vdovský důchod (Kč),Zlínský kraj,2021,Kombinace,16144.0
Průměrný vdovský důchod (Kč),Zlínský kraj,2020,Sólo,9488.0
Průměrný vdovský důchod (Kč),Zlínský kraj,2020,Kombinace,15165.0
Průměrný vdovský důchod (Kč),Zlínský kraj,2019,Sólo,8783.0
Průměrný vdovský důchod (Kč),Zlínský kraj,2019,Kombinace,14159.0
Průměrný vdovský důchod (Kč),Zlínský kraj,2018,Sólo,7940.0
