Ukazatel;Plocha bytu;ČR, kraje, okresy;Roky;value
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihočeský kraj;2009;70.3712737127371
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihočeský kraj;2008;71.175
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihočeský kraj;2007;66.7635135135135
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihočeský kraj;2006;66.056
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Plzeňský kraj;2022;58.8880157170923
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Plzeňský kraj;2021;58.606334841629
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Plzeňský kraj;2020;66.0597156398104
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Plzeňský kraj;2019;61.8663716814159
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Plzeňský kraj;2018;54.9721627408994
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Plzeňský kraj;2017;68.3249027237354
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Plzeňský kraj;2016;65.8768472906404
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Plzeňský kraj;2015;78.9828571428571
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Plzeňský kraj;2014;73.0671140939597
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Plzeňský kraj;2013;76.2142857142857
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Plzeňský kraj;2012;55.0212765957447
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Plzeňský kraj;2011;69.3968871595331
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Plzeňský kraj;2010;66.6312292358804
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Plzeňský kraj;2009;62.5281954887218
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Plzeňský kraj;2008;70.3301075268817
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Plzeňský kraj;2007;66.9713375796178
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Plzeňský kraj;2006;63.1177394034537
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Karlovarský kraj;2022;61.3551912568306
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Karlovarský kraj;2021;87.248275862069
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Karlovarský kraj;2020;59.6941176470588
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Karlovarský kraj;2019;69.6758620689655
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Karlovarský kraj;2018;96.475
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Karlovarský kraj;2017;58.0384615384615
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Karlovarský kraj;2016;67.4362416107383
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Karlovarský kraj;2015;74.7551020408163
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Karlovarský kraj;2014;118.5
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Karlovarský kraj;2013;82.8023255813954
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Karlovarský kraj;2012;77.3387096774194
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Karlovarský kraj;2011;98.9724770642202
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Karlovarský kraj;2010;101.190476190476
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Karlovarský kraj;2009;66.8
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Karlovarský kraj;2008;83.1470588235294
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Karlovarský kraj;2007;92.609756097561
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Karlovarský kraj;2006;58.3529411764706
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Ústecký kraj;2022;65.0142857142857
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Ústecký kraj;2021;70.7741935483871
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Ústecký kraj;2020;76.8
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Ústecký kraj;2019;77.0245901639344
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Ústecký kraj;2018;70.1212121212121
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Ústecký kraj;2017;78.5882352941177
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Ústecký kraj;2016;57.9166666666667
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Ústecký kraj;2015;80.9285714285714
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Ústecký kraj;2014;72.0
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Ústecký kraj;2013;78.7898550724638
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Ústecký kraj;2012;66.6764705882353
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Ústecký kraj;2011;51.5855855855856
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Ústecký kraj;2010;84.5322580645161
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Ústecký kraj;2009;56.4324324324324
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Ústecký kraj;2008;73.1428571428571
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Ústecký kraj;2007;67.1944444444444
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Ústecký kraj;2006;53.7203389830508
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Liberecký kraj;2022;77.0666666666667
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Liberecký kraj;2021;61.468085106383
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Liberecký kraj;2020;59.0217391304348
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Liberecký kraj;2019;78.9906542056075
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Liberecký kraj;2018;78.024
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Liberecký kraj;2017;61.3260869565217
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Liberecký kraj;2016;58.7426900584795
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Liberecký kraj;2015;59.4583333333333
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Liberecký kraj;2014;62.6984126984127
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Liberecký kraj;2013;53.6538461538462
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Liberecký kraj;2012;54.953667953668
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Liberecký kraj;2011;65.5593220338983
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Liberecký kraj;2010;70.9380530973451
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Liberecký kraj;2009;65.1074380165289
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Liberecký kraj;2008;58.5183673469388
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Liberecký kraj;2007;63.635775862069
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Liberecký kraj;2006;56.750593824228
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Královéhradecký kraj;2022;70.0913793103448
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Královéhradecký kraj;2021;75.9043062200957
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Královéhradecký kraj;2020;74.3548387096774
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Královéhradecký kraj;2019;81.0567765567766
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Královéhradecký kraj;2018;73.7234513274336
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Královéhradecký kraj;2017;81.0710382513661
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Královéhradecký kraj;2016;73.3186813186813
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Královéhradecký kraj;2015;81.5983606557377
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Královéhradecký kraj;2014;61.7384615384615
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Královéhradecký kraj;2013;100.15
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Královéhradecký kraj;2012;61.9222222222222
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Královéhradecký kraj;2011;65.0526315789474
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Královéhradecký kraj;2010;67.8526315789474
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Královéhradecký kraj;2009;64.3392405063291
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Královéhradecký kraj;2008;83.9468267581475
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Královéhradecký kraj;2007;68.1047904191617
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Královéhradecký kraj;2006;57.864406779661
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Pardubický kraj;2022;56.827027027027
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Pardubický kraj;2021;60.4962962962963
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Pardubický kraj;2020;64.7926421404682
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Pardubický kraj;2019;73.1421052631579
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Pardubický kraj;2018;70.2191142191142
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Pardubický kraj;2017;61.4722222222222
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Pardubický kraj;2016;76.5867158671587
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Pardubický kraj;2015;59.9303797468354
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Pardubický kraj;2014;47.0796460176991
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Pardubický kraj;2013;58.9850746268657
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Pardubický kraj;2012;75.8988095238095
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Pardubický kraj;2011;59.4029850746269
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Pardubický kraj;2010;62.7103174603175
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Pardubický kraj;2009;58.3521505376344
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Pardubický kraj;2008;56.977366255144
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Pardubický kraj;2007;61.3544303797468
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Pardubický kraj;2006;60.8687089715536
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Kraj Vysočina;2022;71.8650602409639
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Kraj Vysočina;2021;69.9055555555556
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Kraj Vysočina;2020;62.018315018315
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Kraj Vysočina;2019;67.6228070175439
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Kraj Vysočina;2018;59.2957746478873
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Kraj Vysočina;2017;50.3731343283582
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Kraj Vysočina;2016;61.48
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Kraj Vysočina;2015;62.2295081967213
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Kraj Vysočina;2014;58.4024390243902
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Kraj Vysočina;2013;64.1880341880342
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Kraj Vysočina;2012;58.68
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Kraj Vysočina;2011;75.5921052631579
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Kraj Vysočina;2010;69.2313829787234
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Kraj Vysočina;2009;57.0566037735849
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Kraj Vysočina;2008;64.0324189526185
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Kraj Vysočina;2007;62.840108401084
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Kraj Vysočina;2006;64.6537585421412
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihomoravský kraj;2022;62.8987421383648
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihomoravský kraj;2021;59.5445605408728
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihomoravský kraj;2020;61.9076923076923
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihomoravský kraj;2019;64.7939609236234
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihomoravský kraj;2018;58.0281690140845
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihomoravský kraj;2017;59.3060824068018
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihomoravský kraj;2016;69.1350040420372
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihomoravský kraj;2015;63.3049472830495
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihomoravský kraj;2014;62.4651457541191
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihomoravský kraj;2013;67.0286561264822
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihomoravský kraj;2012;58.7822878228782
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihomoravský kraj;2011;66.8908582089552
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihomoravský kraj;2010;66.8754398311049
Průměrná plocha 1 dokončeného bytu (m2) - Byty v bytových domech - nová výstavba;Užitná plocha;Jihomoravský kraj;2009;66.8894259818731
