Ukazatel;Rok sčítání;Území;Státní občanství;Pohlaví;value
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Obyvatelstvo s cizím státním občanstvím;Ženy;6581
Počet obyvatel (obvyklý pobyt);2021;Pardubický kraj;Obyvatelstvo s cizím státním občanstvím;Muži;9141
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Obyvatelstvo celkem;Celkem;497661
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Obyvatelstvo celkem;Ženy;250293
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Obyvatelstvo celkem;Muži;247368
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Obyvatelstvo s českým státním občanstvím;Celkem;486797
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Obyvatelstvo s českým státním občanstvím;Ženy;245739
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Obyvatelstvo s českým státním občanstvím;Muži;241058
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Obyvatelstvo s cizím státním občanstvím;Celkem;10370
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Obyvatelstvo s cizím státním občanstvím;Ženy;4341
Počet obyvatel (obvyklý pobyt);2021;Kraj Vysočina;Obyvatelstvo s cizím státním občanstvím;Muži;6029
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Obyvatelstvo celkem;Celkem;1197651
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Obyvatelstvo celkem;Ženy;608098
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Obyvatelstvo celkem;Muži;589553
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Obyvatelstvo s českým státním občanstvím;Celkem;1146119
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Obyvatelstvo s českým státním občanstvím;Ženy;585214
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Obyvatelstvo s českým státním občanstvím;Muži;560905
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Obyvatelstvo s cizím státním občanstvím;Celkem;46511
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Obyvatelstvo s cizím státním občanstvím;Ženy;20593
Počet obyvatel (obvyklý pobyt);2021;Jihomoravský kraj;Obyvatelstvo s cizím státním občanstvím;Muži;25918
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Obyvatelstvo celkem;Celkem;619788
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Obyvatelstvo celkem;Ženy;315893
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Obyvatelstvo celkem;Muži;303895
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Obyvatelstvo s českým státním občanstvím;Celkem;608348
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Obyvatelstvo s českým státním občanstvím;Ženy;310899
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Obyvatelstvo s českým státním občanstvím;Muži;297449
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Obyvatelstvo s cizím státním občanstvím;Celkem;10499
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Obyvatelstvo s cizím státním občanstvím;Ženy;4548
Počet obyvatel (obvyklý pobyt);2021;Olomoucký kraj;Obyvatelstvo s cizím státním občanstvím;Muži;5951
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Obyvatelstvo celkem;Celkem;564331
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Obyvatelstvo celkem;Ženy;287185
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Obyvatelstvo celkem;Muži;277146
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Obyvatelstvo s českým státním občanstvím;Celkem;553853
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Obyvatelstvo s českým státním občanstvím;Ženy;282679
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Obyvatelstvo s českým státním občanstvím;Muži;271174
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Obyvatelstvo s cizím státním občanstvím;Celkem;9889
Počet obyvatel (obvyklý pobyt);2021;Zlínský kraj;Obyvatelstvo s cizím státním občanstvím;Ženy;4234
