Roky,"ČR, kraje",Ukazatel,value
2023,Zlínský kraj,Náklady práce celkem,53213.6643848211
2023,Zlínský kraj,Přímé náklady celkem,38433.329864462
2023,Zlínský kraj,Přímé náklady - mzdy za vykonanou práci,33964.8782492857
2023,Zlínský kraj,Přímé náklady - náhrady mzdy,4468.4516151762
2023,Zlínský kraj,Nepřímé náklady - sociální požitky,511.1747501656
2023,Zlínský kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,13196.9569921248
2023,Zlínský kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní,724.6457647539
2023,Zlínský kraj,Nepřímé náklady - personální náklady/výdaje,408.9243189131
2023,Zlínský kraj,Nepřímé náklady - daně a dotace,-61.3673055983
2023,Moravskoslezský kraj,Náklady práce celkem,52855.070475517
2023,Moravskoslezský kraj,Přímé náklady celkem,38160.6176842069
2023,Moravskoslezský kraj,Přímé náklady - mzdy za vykonanou práci,33787.5125050873
2023,Moravskoslezský kraj,Přímé náklady - náhrady mzdy,4373.1051791196
2023,Moravskoslezský kraj,Nepřímé náklady - sociální požitky,556.7477772251
2023,Moravskoslezský kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,13065.9056762892
2023,Moravskoslezský kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní,796.7326678171
2023,Moravskoslezský kraj,Nepřímé náklady - personální náklady/výdaje,449.8512727402
2023,Moravskoslezský kraj,Nepřímé náklady - daně a dotace,-174.7846027614
