Ukazatel;Území;Rodinný stav ženicha;Rodinný stav nevěsty;Roky;value
Sňatky;Česko;Rozvedený;Svobodná;2009;4799.0
Sňatky;Česko;Rozvedený;Svobodná;2008;5200.0
Sňatky;Česko;Rozvedený;Svobodná;2007;5699.0
Sňatky;Česko;Rozvedený;Svobodná;2006;5289.0
Sňatky;Česko;Rozvedený;Svobodná;2005;5057.0
Sňatky;Česko;Rozvedený;Svobodná;2004;5025.0
Sňatky;Česko;Rozvedený;Svobodná;2003;4793.0
Sňatky;Česko;Rozvedený;Svobodná;2002;5136.0
Sňatky;Česko;Rozvedený;Svobodná;2001;5195.0
Sňatky;Česko;Rozvedený;Rozvedená;2023;7085.0
Sňatky;Česko;Rozvedený;Rozvedená;2022;7913.0
Sňatky;Česko;Rozvedený;Rozvedená;2021;6748.0
Sňatky;Česko;Rozvedený;Rozvedená;2020;6611.0
Sňatky;Česko;Rozvedený;Rozvedená;2019;7411.0
Sňatky;Česko;Rozvedený;Rozvedená;2018;7362.0
Sňatky;Česko;Rozvedený;Rozvedená;2017;7003.0
Sňatky;Česko;Rozvedený;Rozvedená;2016;6763.0
Sňatky;Česko;Rozvedený;Rozvedená;2015;6261.0
Sňatky;Česko;Rozvedený;Rozvedená;2014;5851.0
Sňatky;Česko;Rozvedený;Rozvedená;2013;5964.0
Sňatky;Česko;Rozvedený;Rozvedená;2012;6191.0
Sňatky;Česko;Rozvedený;Rozvedená;2011;6658.0
Sňatky;Česko;Rozvedený;Rozvedená;2010;6871.0
Sňatky;Česko;Rozvedený;Rozvedená;2009;7214.0
Sňatky;Česko;Rozvedený;Rozvedená;2008;8104.0
Sňatky;Česko;Rozvedený;Rozvedená;2007;8655.0
Sňatky;Česko;Rozvedený;Rozvedená;2006;7467.0
Sňatky;Česko;Rozvedený;Rozvedená;2005;7403.0
Sňatky;Česko;Rozvedený;Rozvedená;2004;7394.0
Sňatky;Česko;Rozvedený;Rozvedená;2003;7111.0
Sňatky;Česko;Rozvedený;Rozvedená;2002;7446.0
Sňatky;Česko;Rozvedený;Rozvedená;2001;7269.0
Sňatky;Česko;Rozvedený;Ovdovělá;2023;401.0
Sňatky;Česko;Rozvedený;Ovdovělá;2022;454.0
