Území,Právní forma,Ukazatel,Výdaje územních rozpočtů,Roky,value
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2016,1441837.14345
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2015,1646303.76362
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2014,1945506.13
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2013,2137394.77
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2012,2495794.59
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2011,2411571.91
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2010,2457197.69
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2009,3158361.57
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2008,3391686.74
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2007,2847161.55
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2023,99910883.19546
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2022,112913170.4475
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2021,79279072.07072
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2020,76855905.52014
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2019,76170766.01485
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2018,73570038.78291
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2017,68085662.12141
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2016,62426795.27795
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2015,59097865.31953
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2014,60933507.22
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2013,60390580.13
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2012,57604383.33
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2011,59294469.77
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2010,62291292.92
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2009,59297755.44
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2008,55777509.57
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2007,50237803.36
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2023,
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2022,393.27044
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2021,47609570.85111
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2020,44411464.79854
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2019,39746958.0846
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2018,37514664.26472
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2017,35280855.57989
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2016,18125998.06172
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2015,17656303.29682
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2014,18646285.32
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2013,18204521.98
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2012,17782186.17
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2011,16939113.21
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2010,16767188.17
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2009,15142555.56
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2008,11234352.4
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2007,10389626.11
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery podnikatelským subjektům,2023,66311483.05005
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery podnikatelským subjektům,2022,41375142.16483
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery podnikatelským subjektům,2021,13574618.68328
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery podnikatelským subjektům,2020,13243974.02375
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery podnikatelským subjektům,2019,10965237.91774
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery podnikatelským subjektům,2018,9915903.52026
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery podnikatelským subjektům,2017,9084006.30748
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery podnikatelským subjektům,2016,23117164.42681
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery podnikatelským subjektům,2015,22852530.07678
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery podnikatelským subjektům,2014,22286400.12
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery podnikatelským subjektům,2013,21095052.58
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery podnikatelským subjektům,2012,20589126.52
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery podnikatelským subjektům,2011,21030003.96
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery podnikatelským subjektům,2010,21506702.66
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery podnikatelským subjektům,2009,19591085.4
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery podnikatelským subjektům,2008,17938422.41
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery podnikatelským subjektům,2007,17469515.96
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery neziskovým a podobným organizacím,2023,26345271.08494
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery neziskovým a podobným organizacím,2022,23402255.70408
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery neziskovým a podobným organizacím,2021,20316840.90284
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery neziskovým a podobným organizacím,2020,18854347.73943
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery neziskovým a podobným organizacím,2019,17634976.21912
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery neziskovým a podobným organizacím,2018,16109740.51564
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery neziskovým a podobným organizacím,2017,13925910.85845
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery neziskovým a podobným organizacím,2016,12181595.28038
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery neziskovým a podobným organizacím,2015,11234199.57751
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery neziskovým a podobným organizacím,2014,7905299.94
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery neziskovým a podobným organizacím,2013,7428708.65
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery neziskovým a podobným organizacím,2012,6926934.98
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery neziskovým a podobným organizacím,2011,47452151.05
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery neziskovým a podobným organizacím,2010,48718039.32
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery neziskovým a podobným organizacím,2009,51971898.74
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery neziskovým a podobným organizacím,2008,49092325.04
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery neziskovým a podobným organizacím,2007,47461982.23
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery příspěvkovým a podobným organizacím,2023,301416130.87103
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery příspěvkovým a podobným organizacím,2022,274429156.73019
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery příspěvkovým a podobným organizacím,2021,258269599.27156
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery příspěvkovým a podobným organizacím,2020,239633513.00269
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery příspěvkovým a podobným organizacím,2019,213542655.66885
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery příspěvkovým a podobným organizacím,2018,185260953.03384
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery příspěvkovým a podobným organizacím,2017,164500594.66955
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery příspěvkovým a podobným organizacím,2016,146777655.50325
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Neinvestiční transfery příspěvkovým a podobným organizacím,2015,139495429.43358
