Roky,Pohlaví,Území,Ukazatel,value
2024,Celkem,Olomoucký kraj,Nezaměstnaní (tis. osob),9.7612648142
2024,Celkem,Olomoucký kraj,Ekonomicky neaktivní (tis. osob),217.67123517
2024,Celkem,Olomoucký kraj,Míra ekonomické aktivity (%),58.08931885
2024,Celkem,Olomoucký kraj,Míra zaměstnanosti (%),56.209873195
2024,Celkem,Olomoucký kraj,Obecná míra nezaměstnanosti (%),3.2354410287
2024,Celkem,Zlínský kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),481.28760644
2024,Celkem,Zlínský kraj,Pracovní síla ekonomicky aktivní (tis. osob),280.98991852
2024,Celkem,Zlínský kraj,Zaměstnaní (tis. osob),275.51027126
2024,Celkem,Zlínský kraj,Nezaměstnaní (tis. osob),5.4796472673
2024,Celkem,Zlínský kraj,Ekonomicky neaktivní (tis. osob),200.29768792
2024,Celkem,Zlínský kraj,Míra ekonomické aktivity (%),58.382953303
2024,Celkem,Zlínský kraj,Míra zaměstnanosti (%),57.244414269
2024,Celkem,Zlínský kraj,Obecná míra nezaměstnanosti (%),1.9501223731
2024,Celkem,Moravskoslezský kraj,Obyvatelstvo ve věku 15 a více let (tis.osob),987.40915564
2024,Celkem,Moravskoslezský kraj,Pracovní síla ekonomicky aktivní (tis. osob),571.34534936
2024,Celkem,Moravskoslezský kraj,Zaměstnaní (tis. osob),548.00152121
2024,Celkem,Moravskoslezský kraj,Nezaměstnaní (tis. osob),23.343828155
2024,Celkem,Moravskoslezský kraj,Ekonomicky neaktivní (tis. osob),416.06380628
2024,Celkem,Moravskoslezský kraj,Míra ekonomické aktivity (%),57.86307997
2024,Celkem,Moravskoslezský kraj,Míra zaměstnanosti (%),55.498930517
2024,Celkem,Moravskoslezský kraj,Obecná míra nezaměstnanosti (%),4.0857649723
