Kategorie,Čtvrtletí,Území,Ukazatel,Rezidence,value
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jihomoravský kraj,Průměrný počet přenocování ,Nerezidenti,1.7551619835
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Olomoucký kraj,Počet hostů,Celkem,225196.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Olomoucký kraj,Počet hostů,Rezidenti,182789.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Olomoucký kraj,Počet hostů,Nerezidenti,42407.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Olomoucký kraj,Počet přenocování,Celkem,610407.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Olomoucký kraj,Počet přenocování,Rezidenti,513365.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Olomoucký kraj,Počet přenocování,Nerezidenti,97042.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Olomoucký kraj,Průměrný počet přenocování ,Celkem,2.7105588021
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Olomoucký kraj,Průměrný počet přenocování ,Rezidenti,2.8085114531
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Olomoucký kraj,Průměrný počet přenocování ,Nerezidenti,2.2883486217
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Zlínský kraj,Počet hostů,Celkem,234784.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Zlínský kraj,Počet hostů,Rezidenti,198788.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Zlínský kraj,Počet hostů,Nerezidenti,35996.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Zlínský kraj,Počet přenocování,Celkem,610625.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Zlínský kraj,Počet přenocování,Rezidenti,539145.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Zlínský kraj,Počet přenocování,Nerezidenti,71480.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Zlínský kraj,Průměrný počet přenocování ,Celkem,2.6007947731
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Zlínský kraj,Průměrný počet přenocování ,Rezidenti,2.7121606938
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Zlínský kraj,Průměrný počet přenocování ,Nerezidenti,1.9857761974
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Moravskoslezský kraj,Počet hostů,Celkem,288426.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Moravskoslezský kraj,Počet hostů,Rezidenti,227390.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Moravskoslezský kraj,Počet hostů,Nerezidenti,61036.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Moravskoslezský kraj,Počet přenocování,Celkem,717059.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Moravskoslezský kraj,Počet přenocování,Rezidenti,588085.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Moravskoslezský kraj,Počet přenocování,Nerezidenti,128974.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Moravskoslezský kraj,Průměrný počet přenocování ,Celkem,2.4861108222
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Moravskoslezský kraj,Průměrný počet přenocování ,Rezidenti,2.5862395004
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Moravskoslezský kraj,Průměrný počet přenocování ,Nerezidenti,2.1130808048
