Území;Ukazatel;Druh energetického pochodu;Roky;value
Česko;Vsázka do procesů zušlechťování paliv celkem;Vysokopecní proces;2022;17680.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Vysokopecní proces;2021;20140.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Vysokopecní proces;2020;17847.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Vysokopecní proces;2019;17571.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Vysokopecní proces;2018;19796.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Výroba generátorového plynu v průmyslových generátorových stanicích;2023;38.272
Česko;Vsázka do procesů zušlechťování paliv celkem;Výroba generátorového plynu v průmyslových generátorových stanicích;2022;22.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Výroba generátorového plynu v průmyslových generátorových stanicích;2021;34.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Výroba generátorového plynu v průmyslových generátorových stanicích;2020;1748.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Výroba generátorového plynu v průmyslových generátorových stanicích;2019;1212.0
Česko;Vsázka do procesů zušlechťování paliv celkem;Výroba generátorového plynu v průmyslových generátorových stanicích;2018;1216.0
Česko;Výroba v procesech zušlechťování paliv celkem;Celkem;2023;418973.67
Česko;Výroba v procesech zušlechťování paliv celkem;Celkem;2022;438880.0
Česko;Výroba v procesech zušlechťování paliv celkem;Celkem;2021;425234.0
Česko;Výroba v procesech zušlechťování paliv celkem;Celkem;2020;378066.0
Česko;Výroba v procesech zušlechťování paliv celkem;Celkem;2019;475140.0
Česko;Výroba v procesech zušlechťování paliv celkem;Celkem;2018;469644.0
Česko;Výroba v procesech zušlechťování paliv celkem;Briketování hnědého uhlí / výroba hnědouhelného multiprachu;2023;4029.28
Česko;Výroba v procesech zušlechťování paliv celkem;Briketování hnědého uhlí / výroba hnědouhelného multiprachu;2022;3694.0
Česko;Výroba v procesech zušlechťování paliv celkem;Briketování hnědého uhlí / výroba hnědouhelného multiprachu;2021;3156.0
Česko;Výroba v procesech zušlechťování paliv celkem;Briketování hnědého uhlí / výroba hnědouhelného multiprachu;2020;3576.0
Česko;Výroba v procesech zušlechťování paliv celkem;Briketování hnědého uhlí / výroba hnědouhelného multiprachu;2019;3140.0
Česko;Výroba v procesech zušlechťování paliv celkem;Briketování hnědého uhlí / výroba hnědouhelného multiprachu;2018;3316.0
Česko;Výroba v procesech zušlechťování paliv celkem;Vysokoteplotní karbonizace v koksovnách;2023;70176.849
Česko;Výroba v procesech zušlechťování paliv celkem;Vysokoteplotní karbonizace v koksovnách;2022;87347.0
Česko;Výroba v procesech zušlechťování paliv celkem;Vysokoteplotní karbonizace v koksovnách;2021;97098.0
Česko;Výroba v procesech zušlechťování paliv celkem;Vysokoteplotní karbonizace v koksovnách;2020;84304.0
Česko;Výroba v procesech zušlechťování paliv celkem;Vysokoteplotní karbonizace v koksovnách;2019;89341.0
Česko;Výroba v procesech zušlechťování paliv celkem;Vysokoteplotní karbonizace v koksovnách;2018;96305.0
Česko;Výroba v procesech zušlechťování paliv celkem;Tlakové zplynování uhlí;2023;
Česko;Výroba v procesech zušlechťování paliv celkem;Tlakové zplynování uhlí;2022;0.0
Česko;Výroba v procesech zušlechťování paliv celkem;Tlakové zplynování uhlí;2021;0.0
Česko;Výroba v procesech zušlechťování paliv celkem;Tlakové zplynování uhlí;2020;10294.0
Česko;Výroba v procesech zušlechťování paliv celkem;Tlakové zplynování uhlí;2019;15551.0
Česko;Výroba v procesech zušlechťování paliv celkem;Tlakové zplynování uhlí;2018;16943.0
Česko;Výroba v procesech zušlechťování paliv celkem;Výroba kapalných paliv z ropy ;2023;330962.822
Česko;Výroba v procesech zušlechťování paliv celkem;Výroba kapalných paliv z ropy ;2022;330137.0
Česko;Výroba v procesech zušlechťování paliv celkem;Výroba kapalných paliv z ropy ;2021;304818.0
Česko;Výroba v procesech zušlechťování paliv celkem;Výroba kapalných paliv z ropy ;2020;260297.0
Česko;Výroba v procesech zušlechťování paliv celkem;Výroba kapalných paliv z ropy ;2019;348325.0
Česko;Výroba v procesech zušlechťování paliv celkem;Výroba kapalných paliv z ropy ;2018;334293.0
Česko;Výroba v procesech zušlechťování paliv celkem;Vysokopecní proces;2023;13780.957
Česko;Výroba v procesech zušlechťování paliv celkem;Vysokopecní proces;2022;17680.0
Česko;Výroba v procesech zušlechťování paliv celkem;Vysokopecní proces;2021;20140.0
Česko;Výroba v procesech zušlechťování paliv celkem;Vysokopecní proces;2020;17847.0
Česko;Výroba v procesech zušlechťování paliv celkem;Vysokopecní proces;2019;17571.0
Česko;Výroba v procesech zušlechťování paliv celkem;Vysokopecní proces;2018;19796.0
Česko;Výroba v procesech zušlechťování paliv celkem;Výroba generátorového plynu v průmyslových generátorových stanicích;2023;23.762
Česko;Výroba v procesech zušlechťování paliv celkem;Výroba generátorového plynu v průmyslových generátorových stanicích;2022;22.0
Česko;Výroba v procesech zušlechťování paliv celkem;Výroba generátorového plynu v průmyslových generátorových stanicích;2021;22.0
Česko;Výroba v procesech zušlechťování paliv celkem;Výroba generátorového plynu v průmyslových generátorových stanicích;2020;1748.0
Česko;Výroba v procesech zušlechťování paliv celkem;Výroba generátorového plynu v průmyslových generátorových stanicích;2019;1212.0
Česko;Výroba v procesech zušlechťování paliv celkem;Výroba generátorového plynu v průmyslových generátorových stanicích;2018;1216.0
Česko;Ztráty při zušlechťování paliv celkem;Celkem;2023;34972.782774209
Česko;Ztráty při zušlechťování paliv celkem;Celkem;2022;36738.0
Česko;Ztráty při zušlechťování paliv celkem;Celkem;2021;37714.0
Česko;Ztráty při zušlechťování paliv celkem;Celkem;2020;38723.0
Česko;Ztráty při zušlechťování paliv celkem;Celkem;2019;40067.0
Česko;Ztráty při zušlechťování paliv celkem;Celkem;2018;42996.0
Česko;Ztráty při zušlechťování paliv celkem;Briketování hnědého uhlí / výroba hnědouhelného multiprachu;2023;869.271922845
Česko;Ztráty při zušlechťování paliv celkem;Briketování hnědého uhlí / výroba hnědouhelného multiprachu;2022;619.0
Česko;Ztráty při zušlechťování paliv celkem;Briketování hnědého uhlí / výroba hnědouhelného multiprachu;2021;574.0
Česko;Ztráty při zušlechťování paliv celkem;Briketování hnědého uhlí / výroba hnědouhelného multiprachu;2020;742.0
Česko;Ztráty při zušlechťování paliv celkem;Briketování hnědého uhlí / výroba hnědouhelného multiprachu;2019;637.0
Česko;Ztráty při zušlechťování paliv celkem;Briketování hnědého uhlí / výroba hnědouhelného multiprachu;2018;642.0
Česko;Ztráty při zušlechťování paliv celkem;Vysokoteplotní karbonizace v koksovnách;2023;11459.397271885
Česko;Ztráty při zušlechťování paliv celkem;Vysokoteplotní karbonizace v koksovnách;2022;14784.0
Česko;Ztráty při zušlechťování paliv celkem;Vysokoteplotní karbonizace v koksovnách;2021;15478.0
Česko;Ztráty při zušlechťování paliv celkem;Vysokoteplotní karbonizace v koksovnách;2020;13210.0
Česko;Ztráty při zušlechťování paliv celkem;Vysokoteplotní karbonizace v koksovnách;2019;13241.0
Česko;Ztráty při zušlechťování paliv celkem;Vysokoteplotní karbonizace v koksovnách;2018;15285.0
Česko;Ztráty při zušlechťování paliv celkem;Tlakové zplynování uhlí;2023;
Česko;Ztráty při zušlechťování paliv celkem;Tlakové zplynování uhlí;2022;0.0
Česko;Ztráty při zušlechťování paliv celkem;Tlakové zplynování uhlí;2021;0.0
Česko;Ztráty při zušlechťování paliv celkem;Tlakové zplynování uhlí;2020;4855.0
Česko;Ztráty při zušlechťování paliv celkem;Tlakové zplynování uhlí;2019;5032.0
Česko;Ztráty při zušlechťování paliv celkem;Tlakové zplynování uhlí;2018;4118.0
Česko;Ztráty při zušlechťování paliv celkem;Výroba kapalných paliv z ropy ;2023;22629.423579409
Česko;Ztráty při zušlechťování paliv celkem;Výroba kapalných paliv z ropy ;2022;21324.0
Česko;Ztráty při zušlechťování paliv celkem;Výroba kapalných paliv z ropy ;2021;21650.0
Česko;Ztráty při zušlechťování paliv celkem;Výroba kapalných paliv z ropy ;2020;19081.0
Česko;Ztráty při zušlechťování paliv celkem;Výroba kapalných paliv z ropy ;2019;20470.0
Česko;Ztráty při zušlechťování paliv celkem;Výroba kapalných paliv z ropy ;2018;22351.0
Česko;Ztráty při zušlechťování paliv celkem;Vysokopecní proces;2023;0.0
Česko;Ztráty při zušlechťování paliv celkem;Vysokopecní proces;2022;0.0
Česko;Ztráty při zušlechťování paliv celkem;Vysokopecní proces;2021;0.0
Česko;Ztráty při zušlechťování paliv celkem;Vysokopecní proces;2020;0.0
Česko;Ztráty při zušlechťování paliv celkem;Vysokopecní proces;2019;0.0
Česko;Ztráty při zušlechťování paliv celkem;Vysokopecní proces;2018;0.0
Česko;Ztráty při zušlechťování paliv celkem;Výroba generátorového plynu v průmyslových generátorových stanicích;2023;14.69000007
Česko;Ztráty při zušlechťování paliv celkem;Výroba generátorového plynu v průmyslových generátorových stanicích;2022;11.0
Česko;Ztráty při zušlechťování paliv celkem;Výroba generátorového plynu v průmyslových generátorových stanicích;2021;12.0
Česko;Ztráty při zušlechťování paliv celkem;Výroba generátorového plynu v průmyslových generátorových stanicích;2020;835.0
Česko;Ztráty při zušlechťování paliv celkem;Výroba generátorového plynu v průmyslových generátorových stanicích;2019;687.0
Česko;Ztráty při zušlechťování paliv celkem;Výroba generátorového plynu v průmyslových generátorových stanicích;2018;600.0
